"","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",21.625,19.558,3.228,2.271,-4.801,-9.093,-11.634,0.823,-2.287,-3.022,-1.343,2.296,-10.594,2.015,17.813,9.17,5.345,0.458,14.782,-29.084,-24.997,-35.127,-27.648,-23.286,-7.651,2.445,-2.817,4.385,21.897,21.717,37.982,107.858,128.715,145.132,121.562,89.505,64.523,67.003,107.704,63.855,24.942,25.625,15.671,14.078,28.41,10.166,-7.113,1.936,6.858,-3.009
"B Annualized Returns",13.389,9.536,1.945,2.112,1.971,-0.19,1.609,10.528,8.623,2.675,8.351,5.828,-5.45,-4.603,6.533,8.533,8.425,11.497,14.205,-20.196,-22.484,-18.273,-14.759,-8.516,2.646,7.195,1.597,6.864,13.166,18.582,27.429,62.399,61.546,70.632,60.176,50.294,47.791,52.789,56.254,42.108,27.171,29.043,13.632,14.049,24.224,6.852,-2.498,1.466,8.47,2.819
"AR DIFF(P-B)",8.236,10.022,1.283,0.159,-6.772,-8.903,-13.243,-9.705,-10.91,-5.697,-9.694,-3.532,-5.144,6.618,11.28,0.637,-3.08,-11.039,0.577,-8.888,-2.513,-16.854,-12.889,-14.77,-10.297,-4.75,-4.414,-2.479,8.731,3.135,10.553,45.459,67.169,74.5,61.386,39.211,16.732,14.214,51.45,21.747,-2.229,-3.418,2.039,0.0289999999999999,4.186,3.314,-4.615,0.47,-1.612,-5.828
"P Volatility",12.99,16.21,16.16,17.63,15.94,15.91,12.94,12.98,12.06,12.26,13.72,12.84,16.23,13.54,17.6,18.22,18.99,18.44,18.77,22.03,36.96,47.27,50.02,50.13,56.99,55.41,52.4,51.87,52.93,51.83,48.61,34.01,31.7,32.94,33.07,30.08,28.63,25.72,26.96,21.27,22.82,19.27,15.36,18.7,19.57,17.48,15.08,14.71,18.03,13.16
"B Volatility",13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",-0.6,2.88,1.49,1.96,-0.139999999999999,0.449999999999999,-1.6,-1.19,-2.64,-2.47,-0.809999999999999,0.0299999999999994,2.22,1.3,5.78,6.57,7.27,6.85,7.19,10.95,7.6,14.8,17.55,16.57,22.6,21.24,18.41,17.79,16.93,15.23,12.41,17.49,14.78,16.58,17.43,14.69,12.97,10.09,11.32,7.84,8.72,5.43,4.07,5.17,4.3,2.69,-0.950000000000001,-2.41,0.859999999999999,-3.99
"P Tracking Error",11.63,11.93,11.48,12.37,12.65,12.38,11.32,12.87,8.59,7.13,8.52,4.78,5.57,6.56,9.07,9.29,10.63,9.75,9.69,13.12,14.41,21.23,23.12,20.79,27.22,26.92,24.98,25.04,25.1,25.28,20.31,22.47,22.08,22.89,23.93,18.92,17.54,15.13,17.71,15.46,15.74,13.11,11.76,11.75,12,12.33,11.11,10.7,12.57,10.71
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
