"","1 Y 2018-05-15 to 2019-05-16","1 Y 2018-06-15 to 2019-06-16","1 Y 2018-07-16 to 2019-07-16","1 Y 2018-08-16 to 2019-08-16","1 Y 2018-09-17 to 2019-09-16","1 Y 2018-10-15 to 2019-10-16","1 Y 2018-11-15 to 2019-11-16","1 Y 2018-12-17 to 2019-12-16","1 Y 2019-01-15 to 2020-01-16","1 Y 2019-02-15 to 2020-02-16","1 Y 2019-03-15 to 2020-03-16","1 Y 2019-04-15 to 2020-04-16","1 Y 2019-05-15 to 2020-05-16","1 Y 2019-06-17 to 2020-06-16","1 Y 2019-07-15 to 2020-07-16","1 Y 2019-08-16 to 2020-08-16","1 Y 2019-09-16 to 2020-09-16","1 Y 2019-10-15 to 2020-10-16","1 Y 2019-11-15 to 2020-11-16","1 Y 2019-12-16 to 2020-12-16","1 Y 2020-01-15 to 2021-01-16","1 Y 2020-02-17 to 2021-02-16","1 Y 2020-03-16 to 2021-03-16","1 Y 2020-04-15 to 2021-04-16","1 Y 2020-05-15 to 2021-05-16","1 Y 2020-06-15 to 2021-06-16","1 Y 2020-07-15 to 2021-07-16","1 Y 2020-08-17 to 2021-08-16","1 Y 2020-09-15 to 2021-09-16","1 Y 2020-10-15 to 2021-10-16","1 Y 2020-11-17 to 2021-11-16","1 Y 2020-12-15 to 2021-12-16","1 Y 2021-01-15 to 2022-01-16","1 Y 2021-02-15 to 2022-02-16","1 Y 2021-03-15 to 2022-03-16","1 Y 2021-04-15 to 2022-04-16","1 Y 2021-05-17 to 2022-05-16","1 Y 2021-06-15 to 2022-06-16","1 Y 2021-07-15 to 2022-07-16","1 Y 2021-08-16 to 2022-08-16","1 Y 2021-09-15 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.676,11.1,7.007,-10.477,-1.353,16.481,21.869,22.164,32.806,39.212,3.052,0.315,12.666,7.493,12.483,33.307,38.945,33.575,32.552,43.727,45.441,37.568,83.899,91.229,116.466,118.93,111.571,100.324,111.347,93.248,94.968,72.487,75.87,42.982,30.998,34.61,5.401,-4.059,10.996,28.113,4.815
"B Annualized Returns",1.37,8.351,5.105,-5.45,-4.847,7.041,9.844,7.743,11.404,14.205,-17.106,-23.585,-17.557,-15.54,-9.3,2.646,4.61,1.597,6.864,13.216,18.662,27.504,62.659,62.758,70.632,62.645,51.683,46.935,53.005,58.189,42.975,28.197,29.043,13.813,11.841,22.109,6.499,-1.087,0.495,7.389,3.402
"AR DIFF(P-B)",1.306,2.749,1.902,-5.027,3.494,9.44,12.025,14.421,21.402,25.007,20.158,23.9,30.223,23.033,21.783,30.661,34.335,31.978,25.688,30.511,26.779,10.064,21.24,28.471,45.834,56.285,59.888,53.389,58.342,35.059,51.993,44.29,46.827,29.169,19.157,12.501,-1.098,-2.972,10.501,20.724,1.413
"P Volatility",20.52,20.02,17.61,18.68,14.04,15.07,17.24,17.47,16.59,14.87,17.19,30.82,34.42,35.5,37.1,33.9,33.66,32.97,33.51,36.55,37.29,38.55,23.98,19.74,19.47,20.12,21.21,21.75,25.1,28.6,32.25,31.06,29.89,24.24,22.11,21.85,19.63,23.38,26.53,25.57,24.13
"B Volatility",14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",5.79,5.49,4.8,4.67,1.8,3.25,5.59,5.75,5,3.29,6.11,1.46,1.95,3.03,3.54,-0.490000000000002,-0.510000000000005,-1.02,-0.57,0.549999999999997,0.689999999999998,2.34999999999999,7.46,2.82,3.11,4.48,5.82,6.09,9.47,12.96,18.82,16.96,16.05,12.95,8.58,6.58,4.84,7.35,9.41,8.4,6.98
"P Tracking Error",11,9.59,8.43,7.82,8.13,7.51,10.78,10.42,9.16,9.94,10.93,10.74,10.76,10.51,9.41,10.81,12.44,12.15,10.67,9.86,10.83,13.16,14.04,18.69,19,17.91,16.42,17.11,18.14,22.31,27.53,27.91,27.2,22.25,17.21,16.16,14.9,16,19.28,16.36,13.93
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.12,0.29,0.23,-0.64,0.43,1.26,1.12,1.38,2.34,2.52,1.84,2.23,2.81,2.19,2.31,2.84,2.76,2.63,2.41,3.09,2.47,0.76,1.51,1.52,2.41,3.14,3.65,3.12,3.22,1.57,1.89,1.59,1.72,1.31,1.11,0.77,-0.07,-0.19,0.54,1.27,0.1
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.1,-0.2,0.09,-0.75,0.42,0.57,0.95,0.94,1.02,1.49,1.37,2.09,2.89,2.32,2.04,1.95,2.32,2.33,2.03,2.06,1.93,0.51,-0.08,3.23,4.15,4.6,3.87,3.29,2.34,1.18,1.79,2.96,3.66,2.86,0.85,1,0.87,-0.18,0.2,1.1,1.4
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.19,1.23,1.23,1.23,0.94,1.11,1.17,1.22,1.21,0.96,1.22,0.98,1.01,1.05,1.07,0.94,0.92,0.91,0.93,0.98,0.98,1,1.19,0.57,0.53,0.67,0.88,0.87,1.12,1.15,1.28,0.97,0.9,0.86,1.03,0.96,0.87,1.07,1.07,1.15,1.16
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",70.19,77.65,77.61,83.92,63.06,73.21,57.93,62.82,68.58,50.51,57.25,86.53,89.16,90.45,93.33,89.17,85.59,85.94,89.23,91.97,90.69,87.05,63.89,15.51,11.25,19.23,34.22,32.25,42.56,33.19,20.53,10.32,8.17,6.84,32.65,39.28,36.98,48.21,41.47,55.73,64.41
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.5079,-18.7956,-18.2496,-18.5283,-12.0924,-10.434,-10.684,-10.3972,-9.0759,-9.0127,-19.5956,-32.5731,-32.7637,-33.8349,-35.1296,-31.708,-30.9682,-31.4593,-32.3357,-33.371,-32.8448,-33.5813,-13.3948,-7.9245,-7.8844,-8.3867,-8.407,-8.7268,-8.4068,-10.6358,-12.0509,-11.5548,-11.4911,-10.4316,-14.0656,-14.2674,-17.947,-19.8556,-21.6072,-22.5729,-22.5545
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9017,-6.9018,-6.9017,-6.9018,-6.9018,-6.3375,-6.3375,-8.294,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-14.9277,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-4.529,-4.8167,-4.2707,-4.5494,-0.8019,0.843500000000001,0.593500000000001,0.8803,2.2016,2.2648,2.6962,5.73240000000001,5.5418,4.4706,3.1759,6.5975,7.3373,6.8462,5.9698,4.9345,5.4607,3.5805,3.9777,-0.5774,-0.9827,-1.4849,-1.5053,-1.825,-1.505,-4.2983,-5.7134,-3.2608,-1.2489,-0.189399999999999,0.267799999999999,0.0659999999999989,-3.6136,-4.9279,-4.4143,-5.38,-5.3616
