"","2 Y 2016-11-16 to 2018-11-17","2 Y 2016-12-16 to 2018-12-17","2 Y 2017-01-16 to 2019-01-17","2 Y 2017-02-16 to 2019-02-17","2 Y 2017-03-16 to 2019-03-17","2 Y 2017-04-17 to 2019-04-17","2 Y 2017-05-16 to 2019-05-17","2 Y 2017-06-16 to 2019-06-17","2 Y 2017-07-17 to 2019-07-17","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",28.902,25.876,21.613,7.706,5.89,15.945,6.761,4.917,8.132,2.411,1.14,-5.803,2.513,-3.725,-4.679,-7.284,-11.58,-10.879,-2.086,-0.646,2.07,-4.607,-0.521,1.09,-4.813,10.404,14.265,84.776,69.641,34.842,81.764,24.042,18.831,39.366,29.527,45.022,35.161,28.529,23.019,21.738,63.914,68.381,73.524,59.706,72.052,71.253,35.601
"B Annualized Returns",14.396,15.337,13.47,9.735,10.555,11.927,7.156,9.772,7.18,3.581,2.61,4.214,5.907,5.639,5.492,6.971,-5.756,-8.635,-8.381,-4.961,-1.928,-0.913,0.262,4.036,7.719,11.265,14.98,19.804,13.898,12.131,15.459,16.848,17.293,22.849,27.977,26.696,23.877,19.964,22.079,20.333,36.093,40.504,34.691,24.97,22.898,26.586,25.372
"AR DIFF(P-B)",14.506,10.539,8.143,-2.029,-4.665,4.018,-0.395,-4.855,0.952,-1.17,-1.47,-10.017,-3.394,-9.364,-10.171,-14.255,-5.824,-2.244,6.295,4.315,3.998,-3.694,-0.783,-2.946,-12.532,-0.861000000000001,-0.715,64.972,55.743,22.711,66.305,7.194,1.538,16.517,1.55,18.326,11.284,8.565,0.939999999999998,1.405,27.821,27.877,38.833,34.736,49.154,44.667,10.229
"P Volatility",18.39,15.63,15.92,16.22,13.95,14.91,12.59,13.63,13.27,13.61,14.27,13.53,17.33,13.36,13.91,13.5,17.46,22.71,27.55,27.97,31.53,31.22,29.83,31.34,35.7,35.04,36.89,44.6,45.43,34.89,46.38,36.23,33.32,35.54,38.94,39.54,30.98,30.3,32.33,28.39,24.5,26.22,30.19,31.17,29.77,31.85,24.98
"B Volatility",13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",4.71,1.99,2.81,3.23,1.05,1.54,-0.74,0.340000000000002,0.52,-0.0500000000000007,0.639999999999999,0.209999999999999,3.83,-0.110000000000001,0.710000000000001,0.869999999999999,4.7,-0.0799999999999983,3.13,3.57,6.87,6.08,5.12,6.93,11.36,9.5,10.92,18.62,19.03,8.32,19.82,9.59,7.34,9.65,12.77,13.39,4.82,3.8,5.87,2.25,7.68,10.21,14.26,14.95,13.18,14.66,7.9
"P Tracking Error",11.78,8.46,10.48,10.46,10.28,11.61,12.12,13.57,12.19,12,8.98,8.14,10.41,10.18,10.2,5.82,7.39,9.33,9.37,9.21,10.91,10.75,12.22,10.77,16.36,14.37,16.07,31.56,32.1,18.67,30.67,16.56,17.2,17.4,19.69,20.39,14.74,12.81,15.16,12.01,14.66,17.19,21.11,20.98,19.32,20.13,13.14
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.23,1.25,0.78,-0.19,-0.45,0.35,-0.03,-0.36,0.08,-0.1,-0.16,-1.23,-0.33,-0.92,-1,-2.45,-0.79,-0.24,0.67,0.47,0.37,-0.34,-0.06,-0.27,-0.77,-0.06,-0.04,2.06,1.74,1.22,2.16,0.43,0.09,0.95,0.08,0.9,0.77,0.67,0.06,0.12,1.9,1.62,1.84,1.66,2.54,2.22,0.78
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.04,0.74,0.63,0.01,-0.04,0.51,0.6,0.13,0.56,0.04,-0.15,-1.06,-0.14,-0.61,-0.64,-1.11,-0.62,-0.81,0.66,0.48,0.39,-0.48,0.04,-0.25,-1,-0.09,-0.23,3.82,3.68,1.54,4.01,0.37,0.37,0.97,0.03,0.34,0.74,0.63,0.12,0.4,1.27,1.15,1.19,1.02,2.5,1.63,0.24
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.03,0.96,0.92,0.96,0.77,0.74,0.53,0.5,0.58,0.61,0.83,0.83,1.03,0.71,0.76,0.97,1.27,0.91,1.06,1.09,1.22,1.18,1.11,1.23,1.35,1.28,1.32,1.24,1.24,1.12,1.36,1.23,1.1,1.22,1.32,1.34,1.04,1.04,1.08,0.98,1.18,1.26,1.42,1.51,1.43,1.53,1.27
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",57.1,69.45,55.08,56.58,47.98,41.97,28.56,20.58,28.27,34.55,61.25,65.07,62.24,48.31,49.3,80.65,85.27,83.13,88.21,89.23,90.54,89.79,83.22,90.9,83.97,86.82,85.35,49.53,49.78,70.8,58.6,81.14,72.75,77.48,78.2,77.39,76.42,81.38,77.44,81.26,64.1,57.72,53.87,59.91,61.95,66.73,74.68
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.5837,-17.196,-17.6906,-17.5872,-14.6436,-15.3841,-11.0819,-11.797,-12.449,-14.2551,-14.9874,-25.5192,-20.243,-22.6205,-20.7507,-20.724,-26.9742,-38.0336,-35.943,-38.2188,-42.0557,-44.4007,-41.7478,-43.1504,-49.7322,-43.2607,-44.754,-41.9756,-42.2552,-39.4329,-43.3479,-43.5085,-42.7296,-43.8385,-49.6223,-50.456,-42.2392,-41.5515,-42.5938,-35.6484,-13.8816,-14.1734,-19.5891,-19.744,-17.557,-19.241,-23.2569
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",0.395199999999999,-3.2171,-3.7117,-3.6083,-0.6647,-1.4052,2.897,2.1819,1.5299,-0.276200000000001,-1.0085,-11.5403,-6.2641,-8.6416,-6.7718,-6.7451,-1.6401,0.271900000000002,2.3625,0.0867000000000004,-3.7502,-6.0952,-3.4423,-4.8449,-11.4267,-4.9552,-6.4485,-3.6701,-3.9497,-1.12739999999999,-5.0424,-5.203,-4.4241,-5.533,-11.3168,-12.1505,-3.93369999999999,-3.246,-4.2883,1.5134,3.4909,0.159999999999998,-5.2557,-3.0539,-0.364099999999997,-2.0481,-6.064
