"","3 Y 2016-08-17 to 2019-08-18","3 Y 2016-09-19 to 2019-09-18","3 Y 2016-10-17 to 2019-10-18","3 Y 2016-11-17 to 2019-11-18","3 Y 2016-12-19 to 2019-12-18","3 Y 2017-01-17 to 2020-01-18","3 Y 2017-02-17 to 2020-02-18","3 Y 2017-03-17 to 2020-03-18","3 Y 2017-04-17 to 2020-04-18","3 Y 2017-05-17 to 2020-05-18","3 Y 2017-06-19 to 2020-06-18","3 Y 2017-07-17 to 2020-07-18","3 Y 2017-08-17 to 2020-08-18","3 Y 2017-09-18 to 2020-09-18","3 Y 2017-10-17 to 2020-10-18","3 Y 2017-11-17 to 2020-11-18","3 Y 2017-12-18 to 2020-12-18","3 Y 2018-01-17 to 2021-01-18","3 Y 2018-02-19 to 2021-02-18","3 Y 2018-03-19 to 2021-03-18","3 Y 2018-04-17 to 2021-04-18","3 Y 2018-05-17 to 2021-05-18","3 Y 2018-06-18 to 2021-06-18","3 Y 2018-07-17 to 2021-07-18","3 Y 2018-08-17 to 2021-08-18","3 Y 2018-09-17 to 2021-09-18","3 Y 2018-10-17 to 2021-10-18","3 Y 2018-11-19 to 2021-11-18","3 Y 2018-12-17 to 2021-12-18","3 Y 2019-01-17 to 2022-01-18","3 Y 2019-02-18 to 2022-02-18","3 Y 2019-03-18 to 2022-03-18","3 Y 2019-04-18 to 2022-04-18","3 Y 2019-05-17 to 2022-05-18","3 Y 2019-06-17 to 2022-06-18","3 Y 2019-07-17 to 2022-07-18","3 Y 2019-08-19 to 2022-08-18","3 Y 2019-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.308,13.555,18.819,20.707,23.087,23.241,17.103,2.758,3.787,3.623,7.502,7.069,10.874,11.248,10.22,15.379,17.493,18.21,21.044,15.922,25.573,30.224,21.808,18.043,23.848,29.393,44.354,47.817,39.612,32.304,62.662,53.021,59.767,52.998,21.258,41.407,59.481,49.025
"B Annualized Returns",7.594,6.591,9.916,12.955,13.619,12.876,9.745,-1.267,-1.199,-2.102,0.075,1.721,3.461,3.273,3.302,6.331,8.507,9.39,12.693,12.487,10.442,11.263,12.906,13.04,12.517,15.377,21.02,18.355,16.333,18.463,17.679,13.948,15.363,11.747,10.007,11.361,18.113,18.988
"AR DIFF(P-B)",3.714,6.964,8.903,7.752,9.468,10.365,7.358,4.025,4.986,5.725,7.427,5.348,7.413,7.975,6.918,9.048,8.986,8.82,8.351,3.435,15.131,18.961,8.902,5.003,11.331,14.016,23.334,29.462,23.279,13.841,44.983,39.073,44.404,41.251,11.251,30.046,41.368,30.037
"P Volatility",17.37,16.04,18.13,17.13,17.82,15.71,15.95,14.12,22.02,23.05,23.18,25.4,24,24.34,25,24.4,26.3,25.98,25.48,25.09,27.73,26.56,23.84,25.87,28.21,26.3,29.03,31.82,28.27,29.28,32.26,32.58,30.7,32.12,29.57,35.05,31.5,30.16
"B Volatility",13.02,12.96,13.17,12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",4.35,3.08,4.96,4.29,5.11,3.38,3.72,1.71,2.07,2.04,2.18,4.11,2.32,2.66,3.58,2.93,3.95,3.31,3.05,2.29,4.89,3.72,0.960000000000001,3.26,5.63,3.87,6.92,9.75,5.95,7.01,10.02,9.98,7.78,9.19,6.39,11.99,8.17,6.9
"P Tracking Error",9.56,7.46,10.01,9.07,9.88,9.22,9.52,6.77,8.45,8.87,9.04,9.79,9.43,8.87,10.21,9.61,9.43,7.96,7.78,7.29,10.94,11.2,8.62,8.25,11.04,9.31,15.51,17.06,16.32,12.79,20.4,19.01,17.79,21.47,11.75,21.24,19.67,18.62
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.39,0.93,0.89,0.85,0.96,1.12,0.77,0.59,0.59,0.65,0.82,0.55,0.79,0.9,0.68,0.94,0.95,1.11,1.07,0.47,1.38,1.69,1.03,0.61,1.03,1.51,1.5,1.73,1.43,1.08,2.21,2.06,2.5,1.92,0.96,1.41,2.1,1.61
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.23,0.39,0.53,0.46,0.49,0.62,0.56,0.46,0.32,0.56,0.65,0.52,0.42,0.55,0.64,0.71,0.62,0.72,0.41,0.15,1.01,1.16,0.7,0.24,0.79,0.94,1.23,1.55,1.69,0.87,2.74,2.61,2.45,2.95,0.78,1.99,2.64,2.37
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.12,1.1,1.16,1.14,1.18,1.03,1.05,1,1.02,1.01,1.02,1.11,1.02,1.05,1.07,1.05,1.1,1.1,1.09,1.05,1.12,1.06,0.97,1.09,1.16,1.1,1.12,1.24,1.03,1.2,1.13,1.18,1.1,1.04,1.19,1.23,1.06,1.02
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",69.68,78.4,69.94,72.23,70.01,64.57,63.43,76.34,84.86,84.76,84.34,85.51,84.14,86.5,83.17,84.19,87.53,91.05,90.98,91.56,85.02,81.91,86.62,90.13,85.95,87.86,71.39,73.29,65.74,82.72,59.63,66.59,65.96,54.09,85.89,64.51,60.03,60.76
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-16.1911,-15.79,-19.695,-18.6916,-17.9632,-16.3032,-18.1591,-30.7456,-37.51,-34.5403,-34.1933,-36.8999,-35.2149,-36.4119,-37.3567,-36.0619,-36.9191,-37.5787,-36.0624,-36.217,-36.5783,-34.6369,-34.7354,-37.5441,-38.6877,-38.507,-37.7481,-40.2578,-34.8164,-40.3681,-38.9987,-39.2093,-37.9938,-35.4996,-41.4118,-41.0661,-37.1916,-35.5969
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.979,-27.0129,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-2.2122,-1.8111,-5.7161,-4.7127,-3.9843,-2.3243,-4.1801,-3.7327,0.795500000000004,3.7652,4.1122,1.4056,3.0906,1.8936,0.948800000000006,2.2436,1.3864,0.726800000000004,2.24310000000001,2.0885,1.7272,3.6686,3.5701,0.761400000000002,-0.382199999999997,-0.201499999999996,0.557400000000001,-1.9523,3.4891,-2.0626,-0.693199999999997,-0.903799999999997,0.311700000000002,2.8059,-3.1063,-2.7606,1.1139,2.7086
