"","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",16.531,7.926,2.196,0.974,3.431,-2.083,-1.054,7.586,6.148,1.084,7.167,7.661,-6.466,-7.678,10.364,7.972,8.315,17.726,21.325,-14.79,-13.512,-7.306,-4.13,2.976,6.432,9.465,2.993,8.834,15.999,25.282,32.467,90.774,98.333,115.568,106.436,92.092,65.962,88.182,94.825,57.486,35.06,33.869,18.68,16.181,21.073,1.631,-9.113,-4.594,3.258,-4.04
"B Annualized Returns",13.389,9.536,1.945,2.112,1.971,-0.19,1.609,10.528,8.623,2.675,8.351,5.828,-5.45,-4.603,6.533,8.533,8.425,11.497,14.205,-20.196,-22.484,-18.273,-14.759,-8.516,2.646,7.195,1.597,6.864,13.166,18.582,27.429,62.399,61.546,70.632,60.176,50.294,47.791,52.789,56.254,42.108,27.171,29.043,13.632,14.049,24.224,6.852,-2.498,1.466,8.47,2.819
"AR DIFF(P-B)",3.142,-1.61,0.251,-1.138,1.46,-1.893,-2.663,-2.942,-2.475,-1.591,-1.184,1.833,-1.016,-3.075,3.831,-0.560999999999999,-0.110000000000001,6.229,7.12,5.406,8.972,10.967,10.629,11.492,3.786,2.27,1.396,1.97,2.833,6.7,5.038,28.375,36.787,44.936,46.26,41.798,18.171,35.393,38.571,15.378,7.889,4.826,5.048,2.132,-3.151,-5.221,-6.615,-6.06,-5.212,-6.859
"P Volatility",15.26,14.38,16.81,16.06,16.38,15.47,15.64,15.08,14.82,15.3,13.95,14.22,14.89,12.43,12.42,11.81,12.87,11.66,11.49,12.41,29.57,36.07,34.99,34.1,34.17,35.86,35.76,35.6,36.38,38.29,36.39,17.86,16.6,15.31,16,19.49,16.69,18.65,19.21,9.56,9.85,11.58,8.78,12.05,12.35,12.21,12.7,13.56,16.27,17.57
"B Volatility",13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",1.67,1.05,2.14,0.389999999999999,0.300000000000001,0.00999999999999979,1.1,0.91,0.120000000000001,0.57,-0.58,1.41,0.880000000000001,0.19,0.6,0.16,1.15,0.0700000000000003,-0.0899999999999999,1.33,0.210000000000001,3.6,2.52,0.539999999999999,-0.219999999999999,1.69,1.77,1.52,0.380000000000003,1.69,0.189999999999998,1.34,-0.32,-1.05,0.359999999999999,4.1,1.03,3.02,3.57,-3.87,-4.25,-2.26,-2.51,-1.48,-2.92,-2.58,-3.33,-3.56,-0.900000000000002,0.420000000000002
"P Tracking Error",7.24,7.38,7.84,7.55,7.19,5.03,5.57,4.75,5.85,6.03,5.7,6.6,5.88,5.64,4.6,5.17,4.35,5.64,5.36,7.14,5.91,8.35,8.8,10.43,9.43,8.62,8.02,7.56,8.26,6.9,7.46,7.29,13.73,13.47,14.09,15.26,9.64,12.78,13.68,8.81,9.67,9.44,8.69,7.39,6.73,6.65,6.17,4.96,5.49,4.55
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
