"","1 Y 2016-11-16 to 2017-11-17","1 Y 2016-12-16 to 2017-12-17","1 Y 2017-01-16 to 2018-01-17","1 Y 2017-02-16 to 2018-02-17","1 Y 2017-03-16 to 2018-03-17","1 Y 2017-04-17 to 2018-04-17","1 Y 2017-05-16 to 2018-05-17","1 Y 2017-06-16 to 2018-06-17","1 Y 2017-07-17 to 2018-07-17","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",56.569,59.165,49.093,40.775,31.545,26.006,13.742,17.627,27.2,27.078,17.241,3.497,8.881,4.505,2.494,3.373,12.396,9.494,-0.731,2.978,-0.619,-5.192,-6.887,6.841,24.91,20.995,41.968,27.475,-5.817,-2.079,-14.124,-8.725,30.508,51.268,75.654,40.384,67.208,65.204,47.717,69.91,92.521,68.878,62.782,59.056,52.479,44.718,100.774,134.134,143.295,113.614,108.597,47.822,54.423,70.712,24.754,6.896,18.05,7.559,0.637
"B Annualized Returns",28.118,28.93,28.998,20.609,13.508,15.332,11.833,11.584,8.552,13.389,9.536,1.945,2.112,1.971,-0.19,1.609,10.528,8.623,2.675,8.351,5.828,-5.45,-4.603,6.533,8.533,8.425,11.497,14.205,-20.196,-22.484,-18.273,-14.759,-8.516,2.646,7.195,1.597,6.864,13.166,18.582,27.429,62.399,61.546,70.632,60.176,50.294,47.791,52.789,56.254,42.108,27.171,29.043,13.632,14.049,24.224,6.852,-2.498,1.466,8.47,2.819
"AR DIFF(P-B)",28.451,30.235,20.095,20.166,18.037,10.674,1.909,6.043,18.648,13.689,7.705,1.552,6.769,2.534,2.684,1.764,1.868,0.871,-3.406,-5.373,-6.447,0.258,-2.284,0.308,16.377,12.57,30.471,13.27,14.379,20.405,4.149,6.034,39.024,48.622,68.459,38.787,60.344,52.038,29.135,42.481,30.122,7.332,-7.85000000000001,-1.12,2.185,-3.07299999999999,47.985,77.88,101.187,86.443,79.554,34.19,40.374,46.488,17.902,9.394,16.584,-0.911,-2.182
"P Volatility",16.67,19.25,17.24,16.08,17.75,19.21,16.43,15.18,15.46,16.59,15.43,19.25,20.47,16.3,19.31,19.96,20.71,16.27,15.18,16.74,16.03,16.83,11.72,10.02,15.12,13.29,15.68,10.59,14.78,34.24,39.95,40.27,42.96,41.73,35.45,32.95,37.66,35.94,37.96,40.4,24.18,15.13,13.19,13.42,11.94,13.24,25.04,25.18,26.25,26.8,28.96,23.44,20.99,22.09,18.24,21.21,25.99,25.04,24.79
"B Volatility",11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",5.24,8.38,7.37,6.2,5.69,6.49,3.28,2.2,3.59,3,2.1,4.58,4.8,0.220000000000002,3.85,5.42,6.54,1.57,0.449999999999999,2.21,3.22,2.82,-0.52,-1.8,3.47,1.57,4.09,-0.99,3.7,4.88,7.48,7.8,9.4,7.34,1.28,-1.04,3.58,-0.0600000000000023,1.36,4.2,7.66,-1.79,-3.17,-2.22,-3.45,-2.42,9.41,9.54,12.82,12.7,15.12,12.15,7.46,6.82,3.45,5.18,8.87,7.87,7.64
"P Tracking Error",11.13,12.86,13.14,13.24,12.26,12.34,9.23,9.23,9.64,11.82,12.76,14.13,15.14,11.67,13.31,13.07,14.03,10.18,5.77,4.65,4.85,6.91,9.7,11.45,11.04,11.47,10.7,7.76,6.77,8.41,10.26,10.02,13.95,13.8,14.35,16.31,18.26,16.87,14.32,15.86,17.44,14.88,14.85,12.6,13.02,15,20.4,20.94,22.57,21.83,24.5,20.64,15.15,13.95,11.03,10.99,15.48,14.85,12.56
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
