"","3 Y 2016-08-17 to 2019-08-18","3 Y 2016-09-19 to 2019-09-18","3 Y 2016-10-17 to 2019-10-18","3 Y 2016-11-17 to 2019-11-18","3 Y 2016-12-19 to 2019-12-18","3 Y 2017-01-17 to 2020-01-18","3 Y 2017-02-17 to 2020-02-18","3 Y 2017-03-17 to 2020-03-18","3 Y 2017-04-17 to 2020-04-18","3 Y 2017-05-17 to 2020-05-18","3 Y 2017-06-19 to 2020-06-18","3 Y 2017-07-17 to 2020-07-18","3 Y 2017-08-17 to 2020-08-18","3 Y 2017-09-18 to 2020-09-18","3 Y 2017-10-17 to 2020-10-18","3 Y 2017-11-17 to 2020-11-18","3 Y 2017-12-18 to 2020-12-18","3 Y 2018-01-17 to 2021-01-18","3 Y 2018-02-19 to 2021-02-18","3 Y 2018-03-19 to 2021-03-18","3 Y 2018-04-17 to 2021-04-18","3 Y 2018-05-17 to 2021-05-18","3 Y 2018-06-18 to 2021-06-18","3 Y 2018-07-17 to 2021-07-18","3 Y 2018-08-17 to 2021-08-18","3 Y 2018-09-17 to 2021-09-18","3 Y 2018-10-17 to 2021-10-18","3 Y 2018-11-19 to 2021-11-18","3 Y 2018-12-17 to 2021-12-18","3 Y 2019-01-17 to 2022-01-18","3 Y 2019-02-18 to 2022-02-18","3 Y 2019-03-18 to 2022-03-18","3 Y 2019-04-18 to 2022-04-18","3 Y 2019-05-17 to 2022-05-18","3 Y 2019-06-17 to 2022-06-18","3 Y 2019-07-17 to 2022-07-18","3 Y 2019-08-19 to 2022-08-18","3 Y 2019-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",7.984,16.736,18.391,22.305,26.143,26.376,11.025,-1.069,1.861,1.337,8.5,1.958,6.972,7.779,9.527,5.561,10.005,8.942,14.552,11.997,32.15,39.196,24.231,18.657,9.678,15.615,23.51,53.637,47.298,33.154,81.39,69.338,37.921,24.388,15.955,12.492,24.415,44.555
"B Annualized Returns",7.594,6.591,9.916,12.955,13.619,12.876,9.745,-1.267,-1.199,-2.102,0.075,1.721,3.461,3.273,3.302,6.331,8.507,9.39,12.693,12.487,10.442,11.263,12.906,13.04,12.517,15.377,21.02,18.355,16.333,18.463,17.679,13.948,15.363,11.747,10.007,11.361,18.113,18.988
"AR DIFF(P-B)",0.39,10.145,8.475,9.35,12.524,13.5,1.28,0.198,3.06,3.439,8.425,0.237,3.511,4.506,6.225,-0.77,1.498,-0.448,1.859,-0.49,21.708,27.933,11.325,5.617,-2.839,0.238,2.49,35.282,30.965,14.691,63.711,55.39,22.558,12.641,5.948,1.131,6.302,25.567
"P Volatility",14.44,15.08,16.91,16.97,18.62,14.97,12.23,12.27,18.51,22.54,22.54,26.81,25.32,24.26,25.33,23.17,24.47,26.55,28.27,28.65,31.91,31.54,26.22,29.26,30.37,25.57,28.66,38.29,38.44,31.24,40.22,35.58,24.85,24.05,32.16,32.01,29.93,35.02
"B Volatility",13.02,12.96,13.17,12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",1.42,2.12,3.74,4.13,5.91,2.64,0,-0.140000000000001,-1.44,1.53,1.54,5.52,3.64,2.58,3.91,1.7,2.12,3.88,5.84,5.85,9.07,8.7,3.34,6.65,7.79,3.14,6.55,16.22,16.12,8.97,17.98,12.98,1.93,1.12,8.98,8.95,6.6,11.76
"P Tracking Error",10.18,7.77,8.87,9.03,10.56,9.18,9.42,10.49,12.95,15.12,12.83,11.88,12.52,10.83,11.59,8.51,7.6,8.94,8.91,9.5,16.88,17.65,12.47,11.49,13.15,9.6,12.07,25.22,27.29,17.35,30.03,25.2,13.48,12.4,16.53,16.11,14.72,18.85
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
