"","1 Y 2018-05-15 to 2019-05-16","1 Y 2018-06-15 to 2019-06-16","1 Y 2018-07-16 to 2019-07-16","1 Y 2018-08-16 to 2019-08-16","1 Y 2018-09-17 to 2019-09-16","1 Y 2018-10-15 to 2019-10-16","1 Y 2018-11-15 to 2019-11-16","1 Y 2018-12-17 to 2019-12-16","1 Y 2019-01-15 to 2020-01-16","1 Y 2019-02-15 to 2020-02-16","1 Y 2019-03-15 to 2020-03-16","1 Y 2019-04-15 to 2020-04-16","1 Y 2019-05-15 to 2020-05-16","1 Y 2019-06-17 to 2020-06-16","1 Y 2019-07-15 to 2020-07-16","1 Y 2019-08-16 to 2020-08-16","1 Y 2019-09-16 to 2020-09-16","1 Y 2019-10-15 to 2020-10-16","1 Y 2019-11-15 to 2020-11-16","1 Y 2019-12-16 to 2020-12-16","1 Y 2020-01-15 to 2021-01-16","1 Y 2020-02-17 to 2021-02-16","1 Y 2020-03-16 to 2021-03-16","1 Y 2020-04-15 to 2021-04-16","1 Y 2020-05-15 to 2021-05-16","1 Y 2020-06-15 to 2021-06-16","1 Y 2020-07-15 to 2021-07-16","1 Y 2020-08-17 to 2021-08-16","1 Y 2020-09-15 to 2021-09-16","1 Y 2020-10-15 to 2021-10-16","1 Y 2020-11-17 to 2021-11-16","1 Y 2020-12-15 to 2021-12-16","1 Y 2021-01-15 to 2022-01-16","1 Y 2021-02-15 to 2022-02-16","1 Y 2021-03-15 to 2022-03-16","1 Y 2021-04-15 to 2022-04-16","1 Y 2021-05-17 to 2022-05-16","1 Y 2021-06-15 to 2022-06-16","1 Y 2021-07-15 to 2022-07-16","1 Y 2021-08-16 to 2022-08-16","1 Y 2021-09-15 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-0.398,7.136,6.387,-3.317,-1.246,8.111,9.157,6.04,12.066,19.079,-12.082,-17.651,-14.666,-11.451,-6.708,3.404,6.548,-2.521,7.002,17.032,21.457,36.189,74.139,70.132,78.871,69.531,64.149,58.097,65.139,73.392,49.975,36.002,34.017,18.176,16.466,20.894,4.014,-6.067,0.812,2.678,-0.114
"B Annualized Returns",1.37,8.351,5.105,-5.45,-4.847,7.041,9.844,7.743,11.404,14.205,-17.106,-23.585,-17.557,-15.54,-9.3,2.646,4.61,1.597,6.864,13.216,18.662,27.504,62.659,62.758,70.632,62.645,51.683,46.935,53.005,58.189,42.975,28.197,29.043,13.813,11.841,22.109,6.499,-1.087,0.495,7.389,3.402
"AR DIFF(P-B)",-1.768,-1.215,1.282,2.133,3.601,1.07,-0.686999999999999,-1.703,0.662000000000001,4.874,5.024,5.934,2.891,4.089,2.592,0.758,1.938,-4.118,0.138,3.816,2.795,8.685,11.48,7.374,8.23899999999999,6.886,12.466,11.162,12.134,15.203,7,7.805,4.974,4.363,4.625,-1.215,-2.485,-4.98,0.317,-4.711,-3.516
"P Volatility",15.91,15.12,13.98,14.87,11.75,11.63,12.19,12.21,11.02,11.59,13.06,30.11,36.99,36.58,35.8,37.8,38.62,38.51,37.49,37.27,38.62,36.61,18.19,13.58,14.49,14.55,15.45,14.79,13.29,13.55,9.26,9.95,9.81,8.68,11.57,12.69,11.08,13.13,13.83,16.29,17.02
"B Volatility",14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",1.18,0.59,1.17,0.859999999999999,-0.49,-0.19,0.539999999999999,0.49,-0.57,0.00999999999999979,1.98,0.75,4.52,4.11,2.23999999999999,3.41,4.45,4.52,3.41,1.27,2.02,0.409999999999997,1.67,-3.34,-1.87,-1.09,0.0599999999999987,-0.870000000000001,-2.34,-2.09,-4.17,-4.15,-4.03,-2.61,-1.96,-2.58,-3.71,-2.9,-3.29,-0.880000000000003,-0.129999999999999
"P Tracking Error",5.73,5.38,5.27,4.48,4.89,5.96,4.26,6.08,5.66,5.3,5.61,5.78,8.84,9.12,9.39,9.94,10.16,9.65,9.54,9.14,10.02,9.96,8.88,8.07,8.07,8.14,7.97,8.44,8.48,8.27,8.9,8.61,8.55,9.93,5.11,6.48,6.1,5.85,5.04,5.48,4.93
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
