"","3 Y 2017-02-14 to 2020-02-15","3 Y 2017-03-14 to 2020-03-15","3 Y 2017-04-17 to 2020-04-15","3 Y 2017-05-15 to 2020-05-15","3 Y 2017-06-14 to 2020-06-15","3 Y 2017-07-14 to 2020-07-15","3 Y 2017-08-14 to 2020-08-15","3 Y 2017-09-14 to 2020-09-15","3 Y 2017-10-16 to 2020-10-15","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.397,2.888,3.068,5.567,8.096,6.53,13.804,11.73,3.436,4.795,6.251,3.386,10.578,9.43,7.587,10.284,12.766,21.536,20.891,22.974,37.132,23.514,21.157,19.828,19.715,17.074,18.086,63.653,53.899,15.668,26.995,25.846
"B Annualized Returns",10.596,1.098,-2.267,-1.87,0.25,1.361,3.65,3.18,4.162,6.305,8.527,9.462,11.978,12.366,9.851,10.781,13.105,13.197,12.65,14.89,19.884,18.884,16.583,18.907,16.076,13.931,14.883,12.542,10.846,11.663,17.502,18.5
"AR DIFF(P-B)",2.801,1.79,5.335,7.437,7.846,5.169,10.154,8.55,-0.726,-1.51,-2.276,-6.076,-1.4,-2.936,-2.264,-0.497,-0.339,8.339,8.241,8.084,17.248,4.63,4.574,0.920999999999999,3.639,3.143,3.203,51.111,43.053,4.005,9.493,7.346
"P Volatility",12.24,10.87,19.96,22.43,22.29,22.87,24.33,24.89,22.91,22.08,24.32,22.81,22.79,25.1,25.5,26.81,27.77,31.04,31.61,24.58,29.49,28.86,28.3,32.14,29.49,31.59,28.56,46.18,46.48,30.49,34.5,34.37
"B Volatility",12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",0.00999999999999979,-1.54,0.0100000000000016,1.42,1.29,1.58,2.65,3.21,1.49,0.609999999999999,1.97,0.139999999999997,0.359999999999999,2.3,2.66,3.97,4.89,8.43,9.03,2.15,7.38,6.79,5.98,9.87,7.25,8.99,5.64,23.25,23.3,7.43,11.17,11.11
"P Tracking Error",9.24,10.01,10.94,12.22,11.78,13.74,15.37,15.34,12.14,11.58,15.4,10.26,8.58,10.6,10.2,9.94,11.4,15.72,15.87,9.92,14.25,13.64,12.6,15.39,14.73,15.24,15.3,37.29,36.93,16.77,18.66,18.69
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
