"","2 Y 2020-05-06 to 2022-05-07","2 Y 2020-06-08 to 2022-06-07","2 Y 2020-07-06 to 2022-07-07","2 Y 2020-08-06 to 2022-08-07","2 Y 2020-09-07 to 2022-09-07"
"1",NA,NA,NA,NA,NA
"P Annualized Returns",72.222,53.678,47.65,56.729,50.43
"B Annualized Returns",35.28,28.043,22.652,25.446,25.904
"AR DIFF(P-B)",36.942,25.635,24.998,31.283,24.526
"P Volatility",19.55,22.05,23.03,23.16,22.12
"B Volatility",15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",3.62,5.83,6.44,5.97,5.04
"P Tracking Error",11.77,12.24,12.09,11.48,10.55
"B Tracking Error",NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA
"P Information Ratio",3.14,2.09,2.07,2.72,2.32
"B Information Ratio",NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA
"P Alpha Stat",2.1,1.33,1.47,1.53,1.34
"B Alpha Stat",NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA
"P Beta Stat",0.98,1.14,1.2,1.18,1.15
"B Beta Stat",NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA
"P R-Squared",62.09,68.78,73.26,76.24,77.52
"B R-Squared",NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA
"P Max Drawdown",-12.2635,-14.1068,-18.5771,-16.138,-16.8201
"B Max Drawdown",-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",2.0699,0.226599999999999,-1.3842,1.0549,0.372800000000002
