"","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",1.935,2.376,-0.821,11.568,16.041,25.076,29.463,33.377,36.057,30.186,43.295,29.429,41.79,46.636,46.215,48.035,42.878,40.93,40.431,36.93,36.921,15.819,27.38,32.483,55.261,56.017
"B Annualized Returns",3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",-1.715,-1.141,-4.155,5.322,7.623,15.397,16.555,20.352,25.545,19.172,30.176,16.089,28.812,31.259,26.644,29.48,26.545,22.492,22.723,22.982,21.558,3.239,17.373,21.07,37.414,37.73
"P Volatility",28.54,29.29,28.45,29.69,28.29,28.91,29.94,33.38,31.66,25.51,31.56,24.31,26.24,26.58,22.27,26.26,23.61,22.44,22.27,25.02,24.65,24.83,26.81,27.61,30.39,30.52
"B Volatility",21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",6.86,7.61,7.03,8.22,5.94,6.24,7.51,10.58,8.82,2.67,8.68,1.7,3.66,4.15,0.16,4.19,1.29,0.170000000000002,0.0300000000000011,2.42,1.73,1.9,3.63,4.55,7.06,7.26
"P Tracking Error",12.02,11.77,11.24,13.75,12.75,11.7,12.31,14.8,15.92,11.1,15.98,12.5,13.17,12.74,12.19,14.12,15.48,10.9,12.46,10.88,10.99,13.24,12.65,12.66,16.53,17.86
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
