"","1 Y 2016-08-17 to 2017-08-18","1 Y 2016-09-19 to 2017-09-18","1 Y 2016-10-17 to 2017-10-18","1 Y 2016-11-17 to 2017-11-18","1 Y 2016-12-19 to 2017-12-18","1 Y 2017-01-17 to 2018-01-18","1 Y 2017-02-17 to 2018-02-18","1 Y 2017-03-17 to 2018-03-18","1 Y 2017-04-17 to 2018-04-18","1 Y 2017-05-17 to 2018-05-18","1 Y 2017-06-19 to 2018-06-18","1 Y 2017-07-17 to 2018-07-18","1 Y 2017-08-17 to 2018-08-18","1 Y 2017-09-18 to 2018-09-18","1 Y 2017-10-17 to 2018-10-18","1 Y 2017-11-17 to 2018-11-18","1 Y 2017-12-18 to 2018-12-18","1 Y 2018-01-17 to 2019-01-18","1 Y 2018-02-19 to 2019-02-18","1 Y 2018-03-19 to 2019-03-18","1 Y 2018-04-17 to 2019-04-18","1 Y 2018-05-17 to 2019-05-18","1 Y 2018-06-18 to 2019-06-18","1 Y 2018-07-17 to 2019-07-18","1 Y 2018-08-17 to 2019-08-18","1 Y 2018-09-17 to 2019-09-18","1 Y 2018-10-17 to 2019-10-18","1 Y 2018-11-19 to 2019-11-18","1 Y 2018-12-17 to 2019-12-18","1 Y 2019-01-17 to 2020-01-18","1 Y 2019-02-18 to 2020-02-18","1 Y 2019-03-18 to 2020-03-18","1 Y 2019-04-18 to 2020-04-18","1 Y 2019-05-17 to 2020-05-18","1 Y 2019-06-17 to 2020-06-18","1 Y 2019-07-17 to 2020-07-18","1 Y 2019-08-19 to 2020-08-18","1 Y 2019-09-17 to 2020-09-18","1 Y 2019-10-17 to 2020-10-18","1 Y 2019-11-18 to 2020-11-18","1 Y 2019-12-17 to 2020-12-18","1 Y 2020-01-17 to 2021-01-18","1 Y 2020-02-17 to 2021-02-18","1 Y 2020-03-17 to 2021-03-18","1 Y 2020-04-17 to 2021-04-18","1 Y 2020-05-18 to 2021-05-18","1 Y 2020-06-17 to 2021-06-18","1 Y 2020-07-17 to 2021-07-18","1 Y 2020-08-17 to 2021-08-18","1 Y 2020-09-17 to 2021-09-18","1 Y 2020-10-19 to 2021-10-18","1 Y 2020-11-17 to 2021-11-18","1 Y 2020-12-17 to 2021-12-18","1 Y 2021-01-18 to 2022-01-18","1 Y 2021-02-17 to 2022-02-18","1 Y 2021-03-17 to 2022-03-18","1 Y 2021-04-19 to 2022-04-18","1 Y 2021-05-17 to 2022-05-18","1 Y 2021-06-17 to 2022-06-18","1 Y 2021-07-19 to 2022-07-18","1 Y 2021-08-17 to 2022-08-18","1 Y 2021-09-17 to 2022-09-18"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.85,0.8,0.89,1.05,0.97,1.4,1.11,0.64,0.79,0.61,0.3,0.7,0,0.52,-0.27,0.28,-0.26,0.3,-0.38,-0.5,-0.38,-0.12,-0.19,-0.23,-0.5,0.64,0.05,0.54,0.22,0.21,1.19,0.95,1.12,2.05,1.11,2.18,1.55,2.24,1.65,2.25,1.89,0.83,1.38,1.39,3.23,2.54,0.77,2.1,1.77,1.77,2.46,1.66,1.64,1.99,1.88,0.65,0.53,0.6,0.05,0.46,0.42,-0.21
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.92,1.13,1.12,1.12,1.17,1,0.77,0.75,0.74,0.86,0.97,0.89,0.8,0.8,1.17,0.94,0.89,0.82,1.01,0.89,1.11,1.07,1.07,1.2,1.05,0.79,0.91,1.17,1.08,1.24,1.14,1.51,1.04,1.09,1.28,1.32,1.03,1.03,1.09,1.06,1.17,1.15,1.05,1.29,1.02,1.07,1.19,0.99,1,1.05,0.88,1.2,1.04,0.7,0.75,0.92,0.9,0.89,0.95,0.99,1.13,0.91
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",81,84.43,81.46,77.4,67.32,58.27,29.53,63.02,50.77,58.66,61.15,42.25,44.35,54.99,71.84,58.6,57.96,76.91,75.26,79.32,81.4,85.66,92.63,93.57,84.01,68.99,73.89,66.99,59.31,88.79,66.21,81.07,90.64,88.96,92.36,91.98,84.84,81.37,82.78,82.49,88.9,91.9,92.85,71.55,40.94,58.18,76.24,47.76,48.48,52.55,49.52,55.81,45.52,38.26,27.34,68.26,83.86,91.07,78.13,77.23,83.92,85.89
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-8.7702,-11.3405,-11.2881,-6.2611,-6.7467,-6.6936,-7.875,-8.8633,-9.2212,-9.7476,-9.2077,-9.93,-11.5053,-8.6003,-15.0919,-15.3363,-16.0284,-14.3959,-15.4803,-15.7206,-17.3078,-16.6567,-17.0801,-17.9474,-16.7151,-12.7973,-12.1014,-11.7632,-12.8398,-14.3525,-13.3403,-31.6566,-37.9938,-35.4996,-41.4118,-41.0661,-37.1916,-35.5969,-40.3761,-37.6858,-39.3967,-38.7631,-36.0628,-11.3754,-9.3669,-9.3542,-8.2383,-8.1318,-8.7398,-10.384,-9.2033,-11.1715,-8.9849,-9.3955,-8.7456,-12.4592,-13.9869,-15.1018,-15.9983,-16.0265,-20.6629,-22.1503
"B Max Drawdown",-12.0518,-11.1021,-10.1571,-4.7705,-4.4894,-4.4894,-6.1438,-8.9935,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.0962,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-27.0129,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.7074,-37.1618,-15.472,-7.3471,-6.9017,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",3.2816,-0.2384,-1.131,-1.4906,-2.2573,-2.2042,-1.7312,0.130199999999999,0.1471,-0.379300000000001,0.160599999999999,-0.5617,-2.137,0.767999999999999,-1.9957,-1.3574,-2.0495,-0.417,-1.5014,-1.7417,-3.3289,-2.6778,-3.1012,-3.9685,-2.7362,-1.5068,-0.8239,-0.4857,-1.5623,-3.075,-2.0628,-4.6437,0.311700000000002,2.8059,-3.1063,-2.7606,1.1139,2.7086,-2.0706,0.619700000000002,-1.0912,-1.0557,1.099,4.0966,-2.0198,-2.4525,-1.3365,-1.23,-1.838,-4.0465,-2.8658,-4.834,-0.690999999999999,0.8467,1.4966,1.8742,0.346499999999999,-0.768400000000002,0.691800000000001,1.1664,-3.47,-4.9574
