"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.474,1.452,-4.103,-8.936,2.548,1.353,-0.589,-3.347,-2.151,-10.656,-8.545,13.2,8.76,3.725,4.153,12.901,-24.64,-36.414,-29.036,-17.167,-25.097,-7.958,-4.938,-9.662,1.316,15.978,18.864,31.824,131.893,134.878,158.098,141.885,113.018,72.005,67.805,131.755,85.59,48.148,33.604,19.725,11.311,23.207,7.008,-1.538,-1.178,8.509,4.301
"B Annualized Returns",1.963,3.304,-2.022,0.073,7.236,7.85,1.855,8.008,5.044,-5.45,-4.847,6.224,10.191,7.743,12.885,12.552,-16.266,-25.765,-17.557,-15.035,-8.698,2.646,3.809,4.419,6.923,13.141,18.662,26.601,65.75,60.355,63.423,62.214,51.117,46.935,53.015,54.259,41.647,29.133,25.679,10.54,13.177,22.109,6.499,-0.562,0.909,7.389,4.721
"AR DIFF(P-B)",2.511,-1.852,-2.081,-9.009,-4.688,-6.497,-2.444,-11.355,-7.195,-5.206,-3.698,6.976,-1.431,-4.018,-8.732,0.349,-8.374,-10.649,-11.479,-2.132,-16.399,-10.604,-8.747,-14.081,-5.607,2.837,0.202000000000002,5.223,66.143,74.523,94.675,79.671,61.901,25.07,14.79,77.496,43.943,19.015,7.925,9.185,-1.866,1.098,0.509,-0.976,-2.087,1.12,-0.42
"P Volatility",16.3,15.3,16.07,16.28,14.68,14.23,11.97,12.73,11.86,15.35,13.04,17.35,17.44,18.17,16.65,17.23,23.13,35.12,45.82,47.37,49.26,49.6,51.51,54.93,54.85,53.85,52.48,48.95,33.84,30.18,32.13,31.39,29.75,29.92,27.46,27.15,21.67,21.97,21.76,16.82,19.64,19.87,17.63,18.04,20.25,21.52,17.85
"B Volatility",15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",0.630000000000001,-0.779999999999998,0.609999999999999,1.74,0.51,-0.469999999999999,-2.76,-1.8,-0.950000000000001,1.34,0.799999999999999,5.53,5.79,6.45,5.06,5.65,12.05,5.76,13.35,14.9,15.7,15.21,17.34,20.94,20.77,17.85,15.88,12.75,17.32,13.26,15.77,15.75,14.36,14.26,11.83,11.51,8.24,7.87,7.92,5.53,6.11,4.6,2.84,2.01,3.13,4.35,0.700000000000003
"P Tracking Error",13.2,13.61,11.46,11.65,10.89,9.72,7.25,10,6.86,6.47,6.93,8.57,10.36,10.06,8.7,7.3,14,10.4,16.79,20.34,21.23,22.62,24.06,26.21,27.43,24.4,24.81,20.08,22.09,20.49,22.55,22.68,19.55,17.89,17.25,18.16,17.51,16.1,15.62,14.12,13.06,13.4,10.93,13.97,14.12,12.8,9.66
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
