"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.831,-1.24,-5.947,-6.93,1.978,5.517,2.054,3.417,2.118,-4.899,-2.741,15.714,17.027,13.104,15.681,25.331,-10.079,-19.597,-15.031,-8.618,-8.426,7.68,15.058,4.455,12.101,25.097,36.523,47.819,117.993,106.744,134.524,121.659,94.849,85.93,89.597,115.054,93.301,64.143,53.698,33.567,22.859,30.92,8.819,-0.469,8.38,15.261,8.646
"B Annualized Returns",1.963,3.304,-2.022,0.073,7.236,7.85,1.855,8.008,5.044,-5.45,-4.847,6.224,10.191,7.743,12.885,12.552,-16.266,-25.765,-17.557,-15.035,-8.698,2.646,3.809,4.419,6.923,13.141,18.662,26.601,65.75,60.355,63.423,62.214,51.117,46.935,53.015,54.259,41.647,29.133,25.679,10.54,13.177,22.109,6.499,-0.562,0.909,7.389,4.721
"AR DIFF(P-B)",0.868,-4.544,-3.925,-7.003,-5.258,-2.333,0.199,-4.591,-2.926,0.551,2.106,9.49,6.836,5.361,2.796,12.779,6.187,6.168,2.526,6.417,0.272,5.034,11.249,0.0360000000000005,5.178,11.956,17.861,21.218,52.243,46.389,71.101,59.445,43.732,38.995,36.582,60.795,51.654,35.01,28.019,23.027,9.682,8.811,2.32,0.0930000000000001,7.471,7.872,3.925
"P Volatility",17.25,16.33,17.77,16.95,15.85,16.09,15.81,15.4,13.67,15.46,12.14,13.25,15.67,15.33,14.85,15.08,17.88,32.39,40.04,40.47,40.95,39,41.35,42.9,43.48,45.8,46.11,43.51,26.57,22.25,22.9,22.03,22.42,23.98,22.06,21.66,21.43,20.52,19.72,13.52,16.03,15.17,13.54,15.89,18.45,20.53,20.58
"B Volatility",15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",1.58,0.25,2.31,2.41,1.68,1.39,1.08,0.870000000000001,0.859999999999999,1.45,-0.0999999999999996,1.43,4.02,3.61,3.26,3.5,6.8,3.03,7.57,8,7.39,4.61,7.18,8.91,9.4,9.8,9.51,7.31,10.05,5.33,6.54,6.39,7.03,8.32,6.43,6.02,8,6.42,5.88,2.23,2.5,-0.0999999999999996,-1.25,-0.140000000000001,1.33,3.36,3.43
"P Tracking Error",10.64,10.26,9.78,9.47,9.45,8.29,6.56,6.51,4.06,4.35,5.87,5.2,8.94,8.33,8.16,7.81,9.67,7.58,10.63,12.27,12.76,12.25,13.82,13.86,15.3,15.41,17.87,15.26,15.57,13.94,17.07,15.66,14.84,14.88,12.77,13.18,14.74,14.45,14.67,10.57,6.97,5.69,4.88,6.01,6.41,8,8.83
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.08,-0.44,-0.4,-0.74,-0.56,-0.28,0.03,-0.71,-0.72,0.13,0.36,1.82,0.76,0.64,0.34,1.64,0.64,0.81,0.24,0.52,0.02,0.41,0.81,0,0.34,0.78,1,1.39,3.36,3.33,4.17,3.8,2.95,2.62,2.86,4.61,3.5,2.42,1.91,2.18,1.39,1.55,0.48,0.02,1.17,0.98,0.44
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.19,-0.43,-0.25,-0.27,-0.2,-0.25,0.29,-0.18,-0.06,-0.12,0.19,0.43,0.64,0.29,0.32,0.53,0.19,0.3,0.91,1.19,0.71,0.13,0.94,0.53,0.6,0.9,1.29,1.56,0.82,2.21,3.26,2.85,2.43,1.48,1.39,1.92,1.8,2.32,2.22,1.87,0.65,0.67,0.63,0.13,0.36,0.6,0.72
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.88,0.81,0.96,0.97,0.9,0.94,0.98,0.96,1.02,1.06,0.88,1.03,1.11,1.1,1.07,1.12,1.42,1.08,1.21,1.21,1.17,1.08,1.15,1.21,1.21,1.22,1.17,1.13,1.35,1.02,0.94,0.99,1.1,1.22,1.16,1.1,1.17,1.03,0.95,0.78,1.07,0.92,0.86,0.92,1.01,1.11,1.09
