"","1 Y 2016-11-16 to 2017-11-17","1 Y 2016-12-16 to 2017-12-17","1 Y 2017-01-16 to 2018-01-17","1 Y 2017-02-16 to 2018-02-17","1 Y 2017-03-16 to 2018-03-17","1 Y 2017-04-17 to 2018-04-17","1 Y 2017-05-16 to 2018-05-17","1 Y 2017-06-16 to 2018-06-17","1 Y 2017-07-17 to 2018-07-17","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",34.367,35.202,33.211,26.674,22.339,23.017,19.347,19.018,8.274,16.599,7.752,3.854,2.022,2.528,-2.057,0.733,8.613,7.544,3.49,10.168,7.648,-2.523,0.198,17.48,13.369,8.069,16.459,24.234,-14.321,-8.745,-5.475,7.536,1.08,3.081,13.438,9.092,9.906,19.136,28.194,37.41,91.626,108.575,130.451,99.962,73.087,75.776,76.626,86.474,48.283,24.511,29.197,18.846,16.8,18.542,3.012,-8.799,-0.982,10.567,0.444
"B Annualized Returns",28.118,28.93,28.998,20.609,13.508,15.332,11.833,11.584,8.552,13.389,9.536,1.945,2.112,1.971,-0.19,1.609,10.528,8.623,2.675,8.351,5.828,-5.45,-4.603,6.533,8.533,8.425,11.497,14.205,-20.196,-22.484,-18.273,-14.759,-8.516,2.646,7.195,1.597,6.864,13.166,18.582,27.429,62.399,61.546,70.632,60.176,50.294,47.791,52.789,56.254,42.108,27.171,29.043,13.632,14.049,24.224,6.852,-2.498,1.466,8.47,2.819
"AR DIFF(P-B)",6.249,6.272,4.213,6.065,8.831,7.685,7.514,7.434,-0.278,3.21,-1.784,1.909,-0.0900000000000003,0.557,-1.867,-0.876,-1.915,-1.079,0.815,1.817,1.82,2.927,4.801,10.947,4.836,-0.356,4.962,10.029,5.875,13.739,12.798,22.295,9.596,0.435,6.243,7.495,3.042,5.97,9.612,9.981,29.227,47.029,59.819,39.786,22.793,27.985,23.837,30.22,6.175,-2.66,0.154,5.214,2.751,-5.682,-3.84,-6.301,-2.448,2.097,-2.375
"P Volatility",10.27,9.88,8.68,8.86,10.78,11.3,13.62,14.56,13.76,15.14,15.25,16.74,14.75,16.64,16.18,16.04,14.08,15.76,14.42,13.71,12.65,14.21,11.75,13.7,12.53,13.24,11.91,12.48,12.34,29.05,34.26,34.89,34.5,35.09,37.76,38.39,39.1,42.62,41.52,40.07,19.17,16.28,16.21,15.62,18.67,18.06,14.73,17.99,11.84,10.62,10.54,8.64,12.65,13.05,13.15,13.76,14.49,18.16,18.09
"B Volatility",11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",-1.16,-0.989999999999998,-1.19,-1.02,-1.28,-1.42,0.469999999999999,1.58,1.89,1.55,1.92,2.07,-0.92,0.560000000000002,0.719999999999999,1.5,-0.0899999999999999,1.06,-0.31,-0.819999999999999,-0.16,0.200000000000001,-0.49,1.88,0.879999999999999,1.52,0.32,0.9,1.26,-0.309999999999999,1.79,2.42,0.939999999999998,0.700000000000003,3.59,4.4,5.02,6.62,4.92,3.87,2.65,-0.640000000000001,-0.149999999999999,-0.0200000000000014,3.28,2.4,-0.9,2.35,-1.59,-3.48,-3.3,-2.65,-0.879999999999999,-2.22,-1.64,-2.27,-2.63,0.989999999999998,0.940000000000001
"P Tracking Error",4.83,4.96,4.23,5.48,6.14,5.44,7.06,8.35,8.69,6.36,7.51,6.94,5.55,6.36,4.21,5.91,5.17,5.62,6.85,6.57,6.42,6.69,5.09,5.98,5.64,5.76,4.92,5.05,7.42,7.11,9.43,10.39,8.88,8.82,8.82,9.36,10.24,10.07,9.94,8.74,7.5,14,14.97,13.38,14.19,12.95,8.97,9.31,8.87,8.71,8.79,9.35,5.62,7.61,8.05,6.49,4.98,5.59,5.76
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
