"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",1.173,-3.9,-7.811,-4.913,1.405,9.689,4.706,10.18,6.45,0.863,3.021,18.242,25.374,22.63,27.242,37.909,4.506,-2.753,-1.241,-0.228,8.275,23.305,34.632,18.682,22.949,34.299,54.046,63.804,104.483,78.448,110.883,101.826,76.805,99.955,111.423,98.478,101.013,80.238,74.029,47.311,34.389,38.54,10.6,0.612,17.859,21.912,12.971
"B Annualized Returns",1.963,3.304,-2.022,0.073,7.236,7.85,1.855,8.008,5.044,-5.45,-4.847,6.224,10.191,7.743,12.885,12.552,-16.266,-25.765,-17.557,-15.035,-8.698,2.646,3.809,4.419,6.923,13.141,18.662,26.601,65.75,60.355,63.423,62.214,51.117,46.935,53.015,54.259,41.647,29.133,25.679,10.54,13.177,22.109,6.499,-0.562,0.909,7.389,4.721
"AR DIFF(P-B)",-0.79,-7.204,-5.789,-4.986,-5.831,1.839,2.851,2.172,1.406,6.313,7.868,12.018,15.183,14.887,14.357,25.357,20.772,23.012,16.316,14.807,16.973,20.659,30.823,14.263,16.026,21.158,35.384,37.203,38.733,18.093,47.46,39.612,25.688,53.02,58.408,44.219,59.366,51.105,48.35,36.771,21.212,16.431,4.101,1.174,16.95,14.523,8.25
"P Volatility",20.96,21.2,21.68,18.88,17.94,19.01,20.37,20.37,17.84,17.59,13.49,12.13,16.08,14.37,14.27,15.08,15.68,31.42,36.45,36.16,35.72,32.35,34.86,34.04,35.52,40.09,41.95,40.08,24,17.29,20.6,18.93,22.8,24.8,24.64,30.14,34.48,30.22,28.81,22.71,20.4,17.91,17.95,22.99,26.29,27.33,26.44
"B Volatility",15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",5.29,5.12,6.22,4.34,3.77,4.31,5.64,5.84,5.03,3.58,1.25,0.31,4.43,2.65,2.68,3.5,4.6,2.06,3.98,3.69,2.16,-2.04,0.689999999999998,0.0499999999999972,1.44,4.09,5.35,3.88,7.48,0.369999999999997,4.24,3.29,7.41,9.14,9.01,14.5,21.05,16.12,14.97,11.42,6.87,2.64,3.16,6.96,9.17,10.16,9.29
"P Tracking Error",12.63,12.96,12.39,9.78,9.8,9.81,10.09,9.69,8.43,7.88,8.8,8.78,11.13,10.11,9.64,11.82,10.77,8.75,8.86,9.51,10.37,10.98,11.27,9.88,10.16,11.4,15.26,16.17,17.25,14.73,23.06,19.49,21.79,21.97,20.58,27.47,29.89,26.88,26.84,21.48,14.42,11.8,13.91,15.27,17.87,18.6,15.56
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
