"","2 Y 2018-05-15 to 2020-05-16","2 Y 2018-06-15 to 2020-06-16","2 Y 2018-07-16 to 2020-07-16","2 Y 2018-08-16 to 2020-08-16","2 Y 2018-09-17 to 2020-09-16","2 Y 2018-10-15 to 2020-10-16","2 Y 2018-11-15 to 2020-11-16","2 Y 2018-12-17 to 2020-12-16","2 Y 2019-01-15 to 2021-01-16","2 Y 2019-02-15 to 2021-02-16","2 Y 2019-03-15 to 2021-03-16","2 Y 2019-04-15 to 2021-04-16","2 Y 2019-05-15 to 2021-05-16","2 Y 2019-06-17 to 2021-06-16","2 Y 2019-07-15 to 2021-07-16","2 Y 2019-08-16 to 2021-08-16","2 Y 2019-09-16 to 2021-09-16","2 Y 2019-10-15 to 2021-10-16","2 Y 2019-11-15 to 2021-11-16","2 Y 2019-12-16 to 2021-12-16","2 Y 2020-01-15 to 2022-01-16","2 Y 2020-02-17 to 2022-02-16","2 Y 2020-03-16 to 2022-03-16","2 Y 2020-04-15 to 2022-04-16","2 Y 2020-05-15 to 2022-05-16","2 Y 2020-06-15 to 2022-06-16","2 Y 2020-07-15 to 2022-07-16","2 Y 2020-08-17 to 2022-08-16","2 Y 2020-09-15 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-1.422,0.382,4.036,6.431,8.012,12.967,14.895,20.677,23.799,31.804,28.213,26.921,38.973,40.842,38.227,51.544,59.051,49.978,44.05,42.742,42.999,34.219,62.171,76.011,68.227,55.168,57.573,58.494,47.483
"B Annualized Returns",-8.582,-5.383,-2.027,-0.913,-0.096,4.036,8.372,10.798,14.975,19.829,13.933,11.464,15.91,17.258,17.293,22.369,26.514,26.881,24.23,20.474,22.115,20.455,34.843,41.06,34.641,26.837,23.499,26.092,25.782
"AR DIFF(P-B)",7.16,5.765,6.063,7.344,8.108,8.931,6.523,9.879,8.824,11.975,14.28,15.457,23.063,23.584,20.934,29.175,32.537,23.097,19.82,22.268,20.884,13.764,27.328,34.951,33.586,28.331,34.074,32.402,21.701
"P Volatility",28.51,27.98,28.87,28.16,27.72,27.5,26.7,28.16,28.61,28.91,30.15,29.96,30.73,30.99,30.66,30.88,30.26,29.02,29.22,31.5,31.41,30.97,22.39,20.3,20.46,22.33,22.81,23.3,22.5
"B Volatility",24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",4.09,3.58,4.21,3.02,3.01,3.09,2.36,2.62,2.64,2.93,3.75,3.39,4.17,4.35,4.68,4.99,4.09,2.87,3.06,5,4.95,4.83,5.57,4.29,4.53,6.11,6.22,6.11,5.42
"P Tracking Error",10.72,9.76,8.87,9.62,8.86,7.55,9.98,9.28,9.73,9.38,10.42,11.91,12.38,11.58,11.47,12.3,11.57,11.95,10.76,11.77,12.13,11.1,12.69,11.82,12.58,13.11,13.28,12.35,11.14
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.67,0.59,0.68,0.76,0.92,1.18,0.65,1.06,0.91,1.28,1.37,1.3,1.86,2.04,1.83,2.37,2.81,1.93,1.84,1.89,1.72,1.24,2.15,2.96,2.67,2.16,2.57,2.62,1.95
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.76,0.59,0.64,0.56,0.62,0.73,0.64,0.67,0.7,0.47,0.84,1.15,1.47,1.52,1.52,1.76,1.95,1.16,1.18,1.45,1.33,1.11,1.69,1.82,2.17,1.69,1.88,1.66,1.3
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
