"","3 Y 2016-08-17 to 2019-08-18","3 Y 2016-09-19 to 2019-09-18","3 Y 2016-10-17 to 2019-10-18","3 Y 2016-11-17 to 2019-11-18","3 Y 2016-12-19 to 2019-12-18","3 Y 2017-01-17 to 2020-01-18","3 Y 2017-02-17 to 2020-02-18","3 Y 2017-03-17 to 2020-03-18","3 Y 2017-04-17 to 2020-04-18","3 Y 2017-05-17 to 2020-05-18","3 Y 2017-06-19 to 2020-06-18","3 Y 2017-07-17 to 2020-07-18","3 Y 2017-08-17 to 2020-08-18","3 Y 2017-09-18 to 2020-09-18","3 Y 2017-10-17 to 2020-10-18","3 Y 2017-11-17 to 2020-11-18","3 Y 2017-12-18 to 2020-12-18","3 Y 2018-01-17 to 2021-01-18","3 Y 2018-02-19 to 2021-02-18","3 Y 2018-03-19 to 2021-03-18","3 Y 2018-04-17 to 2021-04-18","3 Y 2018-05-17 to 2021-05-18","3 Y 2018-06-18 to 2021-06-18","3 Y 2018-07-17 to 2021-07-18","3 Y 2018-08-17 to 2021-08-18","3 Y 2018-09-17 to 2021-09-18","3 Y 2018-10-17 to 2021-10-18","3 Y 2018-11-19 to 2021-11-18","3 Y 2018-12-17 to 2021-12-18","3 Y 2019-01-17 to 2022-01-18","3 Y 2019-02-18 to 2022-02-18","3 Y 2019-03-18 to 2022-03-18","3 Y 2019-04-18 to 2022-04-18","3 Y 2019-05-17 to 2022-05-18","3 Y 2019-06-17 to 2022-06-18","3 Y 2019-07-17 to 2022-07-18","3 Y 2019-08-19 to 2022-08-18","3 Y 2019-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.557,8.499,8.308,16.346,14.967,13.483,13.283,1.799,5.282,2.681,3.141,6.022,8.285,6.269,6.787,6.504,8.638,10.361,15.586,18.913,13.02,16.319,24.307,27.526,19.295,22.065,30.93,21.293,22.901,37.609,22.678,20.809,21.416,23.495,32.96,26.545,23.672,32.905
"B Annualized Returns",7.594,6.591,9.916,12.955,13.619,12.876,9.745,-1.267,-1.199,-2.102,0.075,1.721,3.461,3.273,3.302,6.331,8.507,9.39,12.693,12.487,10.442,11.263,12.906,13.04,12.517,15.377,21.02,18.355,16.333,18.463,17.679,13.948,15.363,11.747,10.007,11.361,18.113,18.988
"AR DIFF(P-B)",1.963,1.908,-1.608,3.391,1.348,0.607000000000001,3.538,3.066,6.481,4.783,3.066,4.301,4.824,2.996,3.485,0.172999999999999,0.131,0.971,2.893,6.426,2.578,5.056,11.401,14.486,6.778,6.688,9.91,2.938,6.568,19.146,4.999,6.861,6.053,11.748,22.953,15.184,5.559,13.917
"P Volatility",13.72,14.4,12.89,13.32,12.32,12.4,12.42,14.53,19.98,23.2,23.13,21.35,22.67,22.69,22.39,22.22,22.25,22.97,23.3,24.45,22.77,23.83,25.79,24.85,22.78,22.92,23.7,21.22,24.37,24.05,23.31,22.82,23.48,25,29.32,23.02,26.92,28.54
"B Volatility",13.02,12.96,13.17,12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",0.700000000000001,1.44,-0.279999999999999,0.48,-0.390000000000001,0.0700000000000003,0.19,2.12,0.0300000000000011,2.19,2.13,0.0600000000000023,0.990000000000002,1.01,0.969999999999999,0.75,-0.100000000000001,0.299999999999997,0.870000000000001,1.65,-0.0700000000000003,0.989999999999998,2.91,2.24,0.200000000000003,0.490000000000002,1.59,-0.850000000000001,2.05,1.78,1.07,0.219999999999999,0.559999999999999,2.07,6.14,-0.0399999999999991,3.59,5.28
"P Tracking Error",5.99,7.43,5.6,6.51,5.81,5.31,5.99,7.94,6.48,7.48,7.11,7.07,7.14,7.8,7.3,6.93,7.55,7.72,7.13,7.77,8.67,8.24,9.51,9.62,7.65,8.31,7.65,7.54,7.71,11.83,7.55,8.98,7.38,8.75,18.08,9.65,9.4,10.7
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
