"","2 Y 2016-08-17 to 2018-08-18","2 Y 2016-09-19 to 2018-09-18","2 Y 2016-10-17 to 2018-10-18","2 Y 2016-11-17 to 2018-11-18","2 Y 2016-12-19 to 2018-12-18","2 Y 2017-01-17 to 2019-01-18","2 Y 2017-02-17 to 2019-02-18","2 Y 2017-03-17 to 2019-03-18","2 Y 2017-04-17 to 2019-04-18","2 Y 2017-05-17 to 2019-05-18","2 Y 2017-06-19 to 2019-06-18","2 Y 2017-07-17 to 2019-07-18","2 Y 2017-08-17 to 2019-08-18","2 Y 2017-09-18 to 2019-09-18","2 Y 2017-10-17 to 2019-10-18","2 Y 2017-11-17 to 2019-11-18","2 Y 2017-12-18 to 2019-12-18","2 Y 2018-01-17 to 2020-01-18","2 Y 2018-02-19 to 2020-02-18","2 Y 2018-03-19 to 2020-03-18","2 Y 2018-04-17 to 2020-04-18","2 Y 2018-05-17 to 2020-05-18","2 Y 2018-06-18 to 2020-06-18","2 Y 2018-07-17 to 2020-07-18","2 Y 2018-08-17 to 2020-08-18","2 Y 2018-09-17 to 2020-09-18","2 Y 2018-10-17 to 2020-10-18","2 Y 2018-11-19 to 2020-11-18","2 Y 2018-12-17 to 2020-12-18","2 Y 2019-01-17 to 2021-01-18","2 Y 2019-02-18 to 2021-02-18","2 Y 2019-03-18 to 2021-03-18","2 Y 2019-04-18 to 2021-04-18","2 Y 2019-05-17 to 2021-05-18","2 Y 2019-06-17 to 2021-06-18","2 Y 2019-07-17 to 2021-07-18","2 Y 2019-08-19 to 2021-08-18","2 Y 2019-09-17 to 2021-09-18","2 Y 2019-10-17 to 2021-10-18","2 Y 2019-11-18 to 2021-11-18","2 Y 2019-12-17 to 2021-12-18","2 Y 2020-01-17 to 2022-01-18","2 Y 2020-02-17 to 2022-02-18","2 Y 2020-03-17 to 2022-03-18","2 Y 2020-04-17 to 2022-04-18","2 Y 2020-05-18 to 2022-05-18","2 Y 2020-06-17 to 2022-06-18","2 Y 2020-07-17 to 2022-07-18","2 Y 2020-08-17 to 2022-08-18","2 Y 2020-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",14.358,25.114,19.583,26.729,30.117,23.273,7.327,7.256,10.864,3.011,10.765,3.07,0.281,1.945,8.492,4.324,5.425,4.891,4.638,-11.576,-2.872,-4.334,-0.753,-7.114,-10.659,-0.38,0.824,58.716,47.471,19.286,88.848,77.029,37.665,28.973,24.278,20.91,36.22,50.983,60.273,43.066,27.678,17.505,18.204,101.978,138.378,97.903,36.917,25.026,24.185,20.247
"B Annualized Returns",14.725,13.66,10.991,14.543,15.797,13.61,9.102,10.695,11.927,7.133,8.564,7.261,3.569,1.723,4.792,5.454,6.116,5.071,6.262,-6.816,-8.635,-8.192,-5.046,-1.928,-1.963,0.363,5.813,8.3,11.296,14.944,19.454,13.085,12.131,12.826,16.421,17.218,23.007,27.977,25.971,23.556,19.964,22.858,20.573,37.71,38.871,36.388,25.13,21.447,27.003,25.851
"AR DIFF(P-B)",-0.366999999999999,11.454,8.592,12.186,14.32,9.663,-1.775,-3.439,-1.063,-4.122,2.201,-4.191,-3.288,0.222,3.7,-1.13,-0.691,-0.18,-1.624,-4.76,5.763,3.858,4.293,-5.186,-8.696,-0.743,-4.989,50.416,36.175,4.342,69.394,63.944,25.534,16.147,7.857,3.692,13.213,23.006,34.302,19.51,7.714,-5.353,-2.369,64.268,99.507,61.515,11.787,3.579,-2.818,-5.604
"P Volatility",15.13,14.79,18.02,18.4,19.49,16.43,13.65,13.19,13.49,12.71,13.54,13.4,16.78,13.92,17.23,12.92,14.87,13.44,16.57,14.65,28.29,28.83,26.28,32.18,33.02,28.38,31.5,40.31,44.16,35.91,44.45,38.57,28.11,26.2,37.73,37.53,34.52,39.87,41.44,32.08,28.24,27.54,27.95,31.37,36.22,28.94,23.03,17.19,19.24,19.58
"B Volatility",12.54,12.33,13.64,13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",2.59,2.46,4.38,4.72,5.85,3.32,0.66,0.289999999999999,0.120000000000001,-0.619999999999999,0.25,0.65,3.12,0.289999999999999,3.91,-0.58,1.4,0.24,3.94,1.89,5.5,4.41,1.88,7.52,7.88,3.67,7.09,15.97,18.62,9.94,18.47,12.17,1.54,-0.359999999999999,11.09,11.55,8.63,13.7,15.29,5.92,1.74,1.08,1.81,14.55,20.21,13.01,6.81,0.600000000000001,2.05,2.5
"P Tracking Error",10.11,6.3,8.05,9.89,11.53,10.45,11.09,10.82,13.37,12.36,11.36,8.99,9.83,8.19,11.17,7.2,7.85,5.98,7.6,7.14,11.36,10.59,9.6,10.96,13.02,10.12,12.34,25,29.47,16.97,30.8,23.75,13.68,13.24,17.76,17.69,15.88,22.2,22.95,18.58,11.67,8.93,10.48,21.2,26.67,19.66,12.92,7.95,10.17,8.14
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.04,1.82,1.07,1.23,1.24,0.92,-0.16,-0.32,-0.08,-0.33,0.19,-0.47,-0.33,0.03,0.33,-0.16,-0.09,-0.03,-0.21,-0.67,0.51,0.36,0.45,-0.47,-0.67,-0.07,-0.4,2.02,1.23,0.26,2.25,2.69,1.87,1.22,0.44,0.21,0.83,1.04,1.49,1.05,0.66,-0.6,-0.23,3.03,3.73,3.13,0.91,0.45,-0.28,-0.69
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.1,0.72,0.46,0.56,0.74,0.82,0.23,0.12,0.33,0.24,0.46,0.05,-0.37,-0.02,0.05,0.08,0,0.08,-0.24,-0.31,0.37,0.49,0.41,-0.34,-0.86,0.06,-0.43,3.06,3.1,0.23,3.75,3.99,1.86,1,0.29,0.23,0.83,1.48,1.35,1.18,0.74,-0.28,0.19,2.36,2.73,2.58,0.48,0.28,0.09,-0.26
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.9,1.09,1.2,1.14,1.16,0.97,0.69,0.67,0.51,0.53,0.65,0.8,1,0.84,0.98,0.82,0.94,0.92,1.18,1,1.15,1.1,1,1.25,1.23,1.08,1.21,1.34,1.33,1.24,1.26,1.16,0.93,0.86,1.28,1.31,1.2,1.3,1.37,1,0.97,0.98,0.99,1.45,1.67,1.39,1.19,0.92,0.95,1.04
