"","2 Y 2018-05-15 to 2020-05-16","2 Y 2018-06-15 to 2020-06-16","2 Y 2018-07-16 to 2020-07-16","2 Y 2018-08-16 to 2020-08-16","2 Y 2018-09-17 to 2020-09-16","2 Y 2018-10-15 to 2020-10-16","2 Y 2018-11-15 to 2020-11-16","2 Y 2018-12-17 to 2020-12-16","2 Y 2019-01-15 to 2021-01-16","2 Y 2019-02-15 to 2021-02-16","2 Y 2019-03-15 to 2021-03-16","2 Y 2019-04-15 to 2021-04-16","2 Y 2019-05-15 to 2021-05-16","2 Y 2019-06-17 to 2021-06-16","2 Y 2019-07-15 to 2021-07-16","2 Y 2019-08-16 to 2021-08-16","2 Y 2019-09-16 to 2021-09-16","2 Y 2019-10-15 to 2021-10-16","2 Y 2019-11-15 to 2021-11-16","2 Y 2019-12-16 to 2021-12-16","2 Y 2020-01-15 to 2022-01-16","2 Y 2020-02-17 to 2022-02-16","2 Y 2020-03-16 to 2022-03-16","2 Y 2020-04-15 to 2022-04-16","2 Y 2020-05-15 to 2022-05-16","2 Y 2020-06-15 to 2022-06-16","2 Y 2020-07-15 to 2022-07-16","2 Y 2020-08-17 to 2022-08-16","2 Y 2020-09-15 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-0.066,-0.898,2.637,8.003,3.281,4.126,5.564,10.785,8.269,16.098,15.809,5.253,17.77,22.114,16.319,34.66,38.711,41.663,38.576,33.29,31.397,37.45,71.446,84.08,76.285,55.858,46.092,44.819,32.317
"B Annualized Returns",-8.582,-5.383,-2.027,-0.913,-0.096,4.036,8.372,10.798,14.975,19.829,13.933,11.464,15.91,17.258,17.293,22.369,26.514,26.881,24.23,20.474,22.115,20.455,34.843,41.06,34.641,26.837,23.499,26.092,25.782
"AR DIFF(P-B)",8.516,4.485,4.664,8.916,3.377,0.0900000000000007,-2.808,-0.0129999999999999,-6.706,-3.731,1.876,-6.211,1.86,4.856,-0.974,12.291,12.197,14.782,14.346,12.816,9.282,16.995,36.603,43.02,41.644,29.021,22.593,18.727,6.535
"P Volatility",25.94,26.25,27.99,28.29,28.41,26.38,28.75,29.36,30.19,32.37,32.67,33.39,35.85,34.64,33.53,37.72,36.7,35.4,35.78,38.4,38,37.39,28.75,26.86,26.59,25.98,26.21,27.23,25.23
"B Volatility",24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",1.52,1.85,3.33,3.15,3.7,1.97,4.41,3.82,4.22,6.39,6.27,6.82,9.29,8,7.55,11.83,10.53,9.25,9.62,11.9,11.54,11.25,11.93,10.85,10.66,9.76,9.62,10.04,8.15
"P Tracking Error",15.31,13.41,12.87,13.42,12.61,10.01,15.49,14.14,14.61,14.78,15.47,14.95,16.6,15.53,16.36,18.51,18.91,18.16,18.26,20.27,19.9,18.4,19.54,19.16,19.3,18.23,17.35,17.58,15.81
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
