"","1 Y 2016-08-17 to 2017-08-18","1 Y 2016-09-19 to 2017-09-18","1 Y 2016-10-17 to 2017-10-18","1 Y 2016-11-17 to 2017-11-18","1 Y 2016-12-19 to 2017-12-18","1 Y 2017-01-17 to 2018-01-18","1 Y 2017-02-17 to 2018-02-18","1 Y 2017-03-17 to 2018-03-18","1 Y 2017-04-17 to 2018-04-18","1 Y 2017-05-17 to 2018-05-18","1 Y 2017-06-19 to 2018-06-18","1 Y 2017-07-17 to 2018-07-18","1 Y 2017-08-17 to 2018-08-18","1 Y 2017-09-18 to 2018-09-18","1 Y 2017-10-17 to 2018-10-18","1 Y 2017-11-17 to 2018-11-18","1 Y 2017-12-18 to 2018-12-18","1 Y 2018-01-17 to 2019-01-18","1 Y 2018-02-19 to 2019-02-18","1 Y 2018-03-19 to 2019-03-18","1 Y 2018-04-17 to 2019-04-18","1 Y 2018-05-17 to 2019-05-18","1 Y 2018-06-18 to 2019-06-18","1 Y 2018-07-17 to 2019-07-18","1 Y 2018-08-17 to 2019-08-18","1 Y 2018-09-17 to 2019-09-18","1 Y 2018-10-17 to 2019-10-18","1 Y 2018-11-19 to 2019-11-18","1 Y 2018-12-17 to 2019-12-18","1 Y 2019-01-17 to 2020-01-18","1 Y 2019-02-18 to 2020-02-18","1 Y 2019-03-18 to 2020-03-18","1 Y 2019-04-18 to 2020-04-18","1 Y 2019-05-17 to 2020-05-18","1 Y 2019-06-17 to 2020-06-18","1 Y 2019-07-17 to 2020-07-18","1 Y 2019-08-19 to 2020-08-18","1 Y 2019-09-17 to 2020-09-18","1 Y 2019-10-17 to 2020-10-18","1 Y 2019-11-18 to 2020-11-18","1 Y 2019-12-17 to 2020-12-18","1 Y 2020-01-17 to 2021-01-18","1 Y 2020-02-17 to 2021-02-18","1 Y 2020-03-17 to 2021-03-18","1 Y 2020-04-17 to 2021-04-18","1 Y 2020-05-18 to 2021-05-18","1 Y 2020-06-17 to 2021-06-18","1 Y 2020-07-17 to 2021-07-18","1 Y 2020-08-17 to 2021-08-18","1 Y 2020-09-17 to 2021-09-18","1 Y 2020-10-19 to 2021-10-18","1 Y 2020-11-17 to 2021-11-18","1 Y 2020-12-17 to 2021-12-18","1 Y 2021-01-18 to 2022-01-18","1 Y 2021-02-17 to 2022-02-18","1 Y 2021-03-17 to 2022-03-18","1 Y 2021-04-19 to 2022-04-18","1 Y 2021-05-17 to 2022-05-18","1 Y 2021-06-17 to 2022-06-18","1 Y 2021-07-19 to 2022-07-18","1 Y 2021-08-17 to 2022-08-18","1 Y 2021-09-17 to 2022-09-18"
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.24,1.32,1.26,1.04,1.15,1.13,0.85,0.93,0.98,1.08,1.06,0.92,0.7,0.75,0.99,1.03,0.88,0.82,0.93,0.97,1.06,1.14,1.16,1.25,1.1,0.61,0.46,0.79,0.72,1.3,0.9,1.45,1.18,1.21,1.2,1.27,0.87,0.78,0.81,1.09,1.3,1.28,1.07,0.75,0.39,0.41,0.94,0.96,1,1.02,0.69,1.43,1.55,1.1,0.68,1.15,0.93,1.03,1.2,0.85,1.02,1.03
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",57.01,68.79,65.12,50.86,47.97,38.14,24.56,55.64,60.09,68.17,63.64,33.1,39.18,53.56,60.11,43.08,42.4,52.1,62.17,71.62,84.92,79.58,89.09,96.14,85.15,38.51,26.34,65.53,46.06,73.65,80.04,85.35,88.77,88.91,94.54,92.86,81.01,73.11,69.5,70.79,84.18,85.61,87.54,33.75,14.49,24.51,59.76,26.31,26.67,29.8,10.35,33.58,39.91,32.39,5.07,49.66,66.69,82.53,64.96,77.69,66.9,55.79
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-10.4822,-12.1445,-11.5444,-6.0454,-6.2164,-6.4294,-8.6943,-9.2287,-10.4176,-9.8152,-9.1771,-9.5434,-7.5685,-7.7623,-16.4068,-16.4531,-17.2357,-13.6802,-12.9534,-15.1966,-18.6273,-19.4198,-17.9157,-18.6815,-17.121,-10.9889,-8.3209,-8.4914,-6.6829,-11.1104,-8.883,-32.3685,-41.891,-38.1954,-39.1221,-37.851,-32.6131,-28.0095,-32.6094,-38.9293,-41.9356,-40.4405,-34.7554,-9.0695,-7.6644,-7.2361,-7.609,-12.1552,-13.2633,-13.6846,-12.3434,-16.0328,-14.9441,-12.8309,-14.2999,-13.2611,-11.9362,-13.9645,-19.131,-24.9103,-31.8951,-29.7622
"B Max Drawdown",-12.0518,-11.1021,-10.1571,-4.7705,-4.4894,-4.4894,-6.1438,-8.9935,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.0962,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-27.0129,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.7074,-37.1618,-15.472,-7.3471,-6.9017,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",1.5696,-1.0424,-1.3873,-1.2749,-1.727,-1.94,-2.5505,-0.235200000000001,-1.0493,-0.446900000000001,0.1912,-0.1751,1.7998,1.606,-3.3106,-2.4742,-3.2568,0.2987,1.0255,-1.2177,-4.6484,-5.4409,-3.9368,-4.7026,-3.1421,0.301600000000001,2.9566,2.7861,4.5946,0.1671,2.3945,-5.3556,-3.5855,0.110100000000003,-0.816600000000001,0.454500000000003,5.6924,10.296,5.6961,-0.623799999999996,-3.6301,-2.7331,2.4064,6.4025,-0.317299999999999,-0.3344,-0.7072,-5.2534,-6.3615,-7.3471,-6.0059,-9.6953,-6.6502,-2.5887,-4.0577,1.0723,2.3972,0.3689,-2.4409,-7.7174,-14.7022,-12.5693
