"","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",1.896,2.597,-0.767,-1.617,8.254,3.811,-1.376,7.507,6.584,-6.312,-1.195,6.168,7.592,6.275,13.198,17.197,-8.647,-16.974,-8.709,-6.333,-0.922,8.382,9.929,5.015,9.012,16.336,22.127,32.021,84.63,79.359,92.831,95.08,82.864,65.852,77.466,82.222,54.133,35.106,33.509,15.919,10.829,19.954,1.609,-6.007,-0.782,5.837,0.68
"B Annualized Returns",1.963,3.304,-2.022,0.073,7.236,7.85,1.855,8.008,5.044,-5.45,-4.847,6.224,10.191,7.743,12.885,12.552,-16.266,-25.765,-17.557,-15.035,-8.698,2.646,3.809,4.419,6.923,13.141,18.662,26.601,65.75,60.355,63.423,62.214,51.117,46.935,53.015,54.259,41.647,29.133,25.679,10.54,13.177,22.109,6.499,-0.562,0.909,7.389,4.721
"AR DIFF(P-B)",-0.0670000000000002,-0.707,1.255,-1.69,1.018,-4.039,-3.231,-0.500999999999999,1.54,-0.862,3.652,-0.056,-2.599,-1.468,0.313000000000001,4.645,7.619,8.791,8.848,8.702,7.776,5.736,6.12,0.596,2.089,3.195,3.465,5.42,18.88,19.004,29.408,32.866,31.747,18.917,24.451,27.963,12.486,5.973,7.83,5.379,-2.348,-2.155,-4.89,-5.445,-1.691,-1.552,-4.041
"P Volatility",16.95,16.81,15.75,15.7,15.82,15.06,14.09,14.14,14.03,14.57,12.07,12.37,12.38,12.77,11.87,11.87,11.94,29.77,35.82,35.45,34.89,38.01,36.93,36.32,34.86,36.08,37.48,37.02,18.01,13.94,14.58,15.07,16.16,15.81,15.29,15.63,9.7,9.75,10.33,9.09,11.09,13.19,11.64,13.24,13.91,16.27,16.64
"B Volatility",15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",1.28,0.73,0.289999999999999,1.16,1.65,0.360000000000001,-0.640000000000001,-0.389999999999999,1.22,0.56,-0.17,0.549999999999999,0.73,1.05,0.279999999999999,0.289999999999999,0.859999999999999,0.41,3.35,2.98,1.33,3.62,2.76,2.33,0.780000000000001,0.0799999999999983,0.879999999999995,0.82,1.49,-2.98,-1.78,-0.57,0.77,0.15,-0.340000000000002,-0.00999999999999979,-3.73,-4.35,-3.51,-2.2,-2.44,-2.08,-3.15,-2.79,-3.21,-0.900000000000002,-0.509999999999998
"P Tracking Error",8.71,8.1,6.08,5.82,5.86,6.24,5.3,5.3,6.38,5.67,5.13,5.26,3.98,5.15,4.05,5.15,5.94,7.39,9.82,8.97,9.84,10,9.64,10.44,8.37,8.54,6.65,6.51,7.83,8.25,9.98,10.89,10.33,10.26,9.81,8.9,9.16,9.44,8.9,9.52,5.63,6.53,6.25,5.82,5.27,4.89,5.27
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
