"","1 Y 2020-02-06 to 2021-02-07","1 Y 2020-03-06 to 2021-03-07","1 Y 2020-04-07 to 2021-04-07","1 Y 2020-05-06 to 2021-05-07","1 Y 2020-06-08 to 2021-06-07","1 Y 2020-07-06 to 2021-07-07","1 Y 2020-08-06 to 2021-08-07","1 Y 2020-09-07 to 2021-09-07","1 Y 2020-10-06 to 2021-10-07","1 Y 2020-11-06 to 2021-11-07","1 Y 2020-12-07 to 2021-12-07","1 Y 2021-01-06 to 2022-01-07","1 Y 2021-02-08 to 2022-02-07","1 Y 2021-03-08 to 2022-03-07","1 Y 2021-04-06 to 2022-04-07","1 Y 2021-05-06 to 2022-05-07","1 Y 2021-06-07 to 2022-06-07","1 Y 2021-07-06 to 2022-07-07","1 Y 2021-08-06 to 2022-08-07","1 Y 2021-09-06 to 2022-09-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",36.513,99.513,121.644,107.744,95.79,85.689,81.422,74.832,79.1,78.96,55.534,44.705,37.868,20.639,27.475,20.365,5.509,8.071,18.896,10.955
"B Annualized Returns",22.708,46.097,67.804,59.533,56.336,48.697,47.083,54.168,52.232,45.614,27.831,25.734,17.364,10.915,22.25,14.662,4.899,1.17,7.409,2.879
"AR DIFF(P-B)",13.805,53.416,53.84,48.211,39.454,36.992,34.339,20.664,26.868,33.346,27.703,18.971,20.504,9.724,5.225,5.703,0.61,6.901,11.487,8.076
"P Volatility",42,24.41,20.87,19.52,19.55,21.19,19.47,18.13,17.65,17.06,17.82,16.84,12.87,14.42,14.75,13.1,15.79,17.25,19.27,18.46
"B Volatility",36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",5.8,7.89,3.95,3.16,3.91,5.8,3.81,2.5,2.01,3.63,3.72,3,1.58,0.890000000000001,-0.52,-1.69,-0.240000000000002,0.129999999999999,2.1,1.31
"P Tracking Error",13.54,13.78,12.9,12.22,11.89,13.26,9.62,9.15,8.3,11.37,12.37,11.92,10.82,5.53,4.79,5.14,6.35,5.67,6.4,6.3
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.02,3.88,4.17,3.95,3.32,2.79,3.57,2.26,3.24,2.93,2.24,1.59,1.9,1.76,1.09,1.11,0.1,1.22,1.79,1.28
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.48,1.12,2.31,2.01,1.92,2.2,1.38,1.15,1.38,1.57,2,1.93,1.93,0.72,0.64,0.7,0.39,0.49,0.81,0.76
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.1,1.24,0.97,0.93,0.99,1.08,1.08,1,1,0.95,0.91,0.87,0.69,0.98,0.92,0.83,0.91,0.95,1.06,1.01
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",89.33,67.61,57.63,56.81,58.91,56.88,73.41,71.69,75.45,50.88,46.97,45.58,29.63,83.68,89.11,86.9,83.06,88.25,88.07,87.07
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-38.5279,-22.016,-8.802,-8.8119,-8.3693,-8.4565,-8.2663,-7.8141,-6.6675,-6.6576,-6.9097,-7.153,-7.5675,-12.8739,-12.7833,-12.2841,-12.8152,-16.6428,-16.9904,-17.2359
"B Max Drawdown",-37.6068,-27.1726,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.294,-10.2422,-10.2422,-12.5,-14.3334,-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.921100000000003,5.1566,-1.4549,-1.9101,-1.4675,-1.5547,-1.3645,-0.9123,-0.33,-0.3201,1.3843,3.0892,2.6747,-0.373900000000001,1.5501,2.0493,1.5182,0.5501,0.202500000000001,-0.0429999999999993
