"","1 Y 2020-11-06 to 2021-11-07","1 Y 2020-12-07 to 2021-12-07","1 Y 2021-01-06 to 2022-01-07","1 Y 2021-02-08 to 2022-02-07","1 Y 2021-03-08 to 2022-03-07","1 Y 2021-04-06 to 2022-04-07","1 Y 2021-05-06 to 2022-05-07","1 Y 2021-06-07 to 2022-06-07","1 Y 2021-07-06 to 2022-07-07","1 Y 2021-08-06 to 2022-08-07","1 Y 2021-09-06 to 2022-09-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",101.127,58.357,49.002,35.875,16.738,24.767,16.397,-0.241,3.544,15.096,7.422
"B Annualized Returns",45.614,27.831,25.734,17.364,10.915,22.25,14.662,4.899,1.17,7.409,2.879
"AR DIFF(P-B)",55.513,30.526,23.268,18.511,5.823,2.517,1.735,-5.14,2.374,7.687,4.543
"P Volatility",18.7,17.36,17.75,14.19,14.85,14.89,13.42,15.07,17.4,19.38,19.06
"B Volatility",13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",5.27,3.26,3.91,2.9,1.32,-0.379999999999999,-1.37,-0.960000000000001,0.279999999999998,2.21,1.91
"P Tracking Error",12.47,11.9,12.7,11.16,6.68,5.18,3.68,4.72,5.14,6.1,5.76
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",4.45,2.57,1.83,1.66,0.87,0.49,0.47,-1.09,0.46,1.26,0.79
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.24,2.21,2.11,1.65,0.39,0.58,0.31,-0.14,0.17,0.54,0.42
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.04,0.9,0.9,0.8,0.98,0.92,0.88,0.9,0.97,1.07,1.06
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",50.66,48.5,43.75,34.08,77.56,87.36,93.55,90.4,90.38,89.45,90.17
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-8.3311,-7.2618,-7.4591,-7.8852,-12.964,-13.3636,-13.37,-14.6106,-17.7437,-17.982,-18.9609
"B Max Drawdown",-6.3375,-8.294,-10.2422,-10.2422,-12.5,-14.3334,-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-1.9936,1.0322,2.7831,2.357,-0.464,0.969799999999999,0.9634,-0.277200000000001,-0.550799999999999,-0.789099999999998,-1.768
