"","2 Y 2016-08-17 to 2018-08-18","2 Y 2016-09-19 to 2018-09-18","2 Y 2016-10-17 to 2018-10-18","2 Y 2016-11-17 to 2018-11-18","2 Y 2016-12-19 to 2018-12-18","2 Y 2017-01-17 to 2019-01-18","2 Y 2017-02-17 to 2019-02-18","2 Y 2017-03-17 to 2019-03-18","2 Y 2017-04-17 to 2019-04-18","2 Y 2017-05-17 to 2019-05-18","2 Y 2017-06-19 to 2019-06-18","2 Y 2017-07-17 to 2019-07-18","2 Y 2017-08-17 to 2019-08-18","2 Y 2017-09-18 to 2019-09-18","2 Y 2017-10-17 to 2019-10-18","2 Y 2017-11-17 to 2019-11-18","2 Y 2017-12-18 to 2019-12-18","2 Y 2018-01-17 to 2020-01-18","2 Y 2018-02-19 to 2020-02-18","2 Y 2018-03-19 to 2020-03-18","2 Y 2018-04-17 to 2020-04-18","2 Y 2018-05-17 to 2020-05-18","2 Y 2018-06-18 to 2020-06-18","2 Y 2018-07-17 to 2020-07-18","2 Y 2018-08-17 to 2020-08-18","2 Y 2018-09-17 to 2020-09-18","2 Y 2018-10-17 to 2020-10-18","2 Y 2018-11-19 to 2020-11-18","2 Y 2018-12-17 to 2020-12-18","2 Y 2019-01-17 to 2021-01-18","2 Y 2019-02-18 to 2021-02-18","2 Y 2019-03-18 to 2021-03-18","2 Y 2019-04-18 to 2021-04-18","2 Y 2019-05-17 to 2021-05-18","2 Y 2019-06-17 to 2021-06-18","2 Y 2019-07-17 to 2021-07-18","2 Y 2019-08-19 to 2021-08-18","2 Y 2019-09-17 to 2021-09-18","2 Y 2019-10-17 to 2021-10-18","2 Y 2019-11-18 to 2021-11-18","2 Y 2019-12-17 to 2021-12-18","2 Y 2020-01-17 to 2022-01-18","2 Y 2020-02-17 to 2022-02-18","2 Y 2020-03-17 to 2022-03-18","2 Y 2020-04-17 to 2022-04-18","2 Y 2020-05-18 to 2022-05-18","2 Y 2020-06-17 to 2022-06-18","2 Y 2020-07-17 to 2022-07-18","2 Y 2020-08-17 to 2022-08-18","2 Y 2020-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",18.627,23.63,16.409,22.844,26.724,21.141,11.729,15.627,16.226,9.99,12.532,7.745,5.058,4.05,9.376,10.621,8.483,10.159,10.203,-7.483,-1.883,-1.389,1.118,-0.512,-0.193,6.198,30.261,41.788,36.976,19.787,65.621,53.43,55.108,57.344,33.568,46.575,61.966,58.671,57.304,58.687,46.333,43.92,38.258,82.579,94.043,69.077,32.965,47.393,51.791,51.9
"B Annualized Returns",14.725,13.66,10.991,14.543,15.797,13.61,9.102,10.695,11.927,7.133,8.564,7.261,3.569,1.723,4.792,5.454,6.116,5.071,6.262,-6.816,-8.635,-8.192,-5.046,-1.928,-1.963,0.363,5.813,8.3,11.296,14.944,19.454,13.085,12.131,12.826,16.421,17.218,23.007,27.977,25.971,23.556,19.964,22.858,20.573,37.71,38.871,36.388,25.13,21.447,27.003,25.851
"AR DIFF(P-B)",3.902,9.97,5.418,8.301,10.927,7.531,2.627,4.932,4.299,2.857,3.968,0.484,1.489,2.327,4.584,5.167,2.367,5.088,3.941,-0.667,6.752,6.803,6.164,1.416,1.77,5.835,24.448,33.488,25.68,4.843,46.167,40.345,42.977,44.518,17.147,29.357,38.959,30.694,31.333,35.131,26.369,21.062,17.685,44.869,55.172,32.689,7.835,25.946,24.788,26.049
"P Volatility",16.52,15.22,19.65,18.4,18.32,16.53,16.92,14.02,14.67,15.14,14.89,15.44,15.79,14.12,15.71,15.51,16.2,13.27,14.48,13.24,26.35,27.14,25.46,28.82,29.8,27.72,30.96,33.51,31.63,33.02,35.57,36.04,33.99,32.36,34.03,36.84,32.36,31.25,33.39,33.49,32.37,32.07,28.57,22.68,24.16,19.51,19.81,21.18,22.4,22.95
"B Volatility",12.54,12.33,13.64,13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",3.98,2.89,6.01,4.72,4.68,3.42,3.93,1.12,1.3,1.81,1.6,2.69,2.13,0.489999999999998,2.39,2.01,2.73,0.0700000000000003,1.85,0.48,3.56,2.72,1.06,4.16,4.66,3.01,6.55,9.17,6.09,7.05,9.59,9.64,7.42,5.8,7.39,10.86,6.47,5.08,7.24,7.33,5.87,5.61,2.43,5.86,8.15,3.58,3.59,4.59,5.21,5.87
"P Tracking Error",9.95,6.94,10.29,10.2,10.49,10.06,10.76,7.09,9.09,8.96,8.69,9.23,8.37,7.27,9.04,8.89,9.04,5.98,7.47,6.03,7.92,8.08,6.58,7.09,8.78,8.1,15.16,16.15,16,10.52,19.19,17.21,17.13,17.16,13.32,18.5,17.91,17.03,16.95,17.64,13.11,12.55,11.07,13.32,15.61,11.34,9.55,11.06,11.14,11.61
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
