"","2 Y 2020-02-06 to 2022-02-07","2 Y 2020-03-06 to 2022-03-07","2 Y 2020-04-07 to 2022-04-07","2 Y 2020-05-06 to 2022-05-07","2 Y 2020-06-08 to 2022-06-07","2 Y 2020-07-06 to 2022-07-07","2 Y 2020-08-06 to 2022-08-07","2 Y 2020-09-07 to 2022-09-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",42.444,58.687,71.382,59.626,43.065,42.695,45.939,39.081
"B Annualized Returns",20.667,26.472,43.196,35.28,28.043,22.652,25.446,25.904
"AR DIFF(P-B)",21.777,32.215,28.186,24.346,15.022,20.043,20.493,13.177
"P Volatility",30.87,21.14,18.33,17.42,19.86,21.71,20.24,19.84
"B Volatility",26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",4.73,4.32,2.32,1.49,3.64,5.12,3.05,2.76
"P Tracking Error",13.37,11.67,10.27,9.33,10.2,10.78,8.69,7.8
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.63,2.76,2.74,2.61,1.47,1.86,2.36,1.69
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.82,1.93,1.57,1.54,0.91,1.23,1.1,0.78
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.07,1.05,0.95,0.93,1.05,1.14,1.07,1.07
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",80.69,68.26,67.32,70.42,72.59,75.45,81.02,84.21
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-38.5279,-22.016,-11.794,-12.4007,-14.3305,-18.0665,-16.6207,-17.5654
"B Max Drawdown",-37.6068,-27.1726,-14.3334,-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-0.921100000000003,5.1566,2.5394,1.9327,0.00289999999999857,-0.8736,0.572200000000002,-0.372499999999999
