"","1 Y 2017-05-16 to 2018-05-17","1 Y 2017-06-16 to 2018-06-17","1 Y 2017-07-17 to 2018-07-17","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.19,1.11,1.05,1.31,1.23,1.34,1.17,1.08,1.16,1.24,1.17,0.97,0.82,0.89,0.88,0.92,0.61,0.73,0.68,0.66,0.91,0.62,0.91,1.01,1.2,1.21,1.16,0.99,0.91,0.99,1.14,1.16,1.13,1.14,0.99,0.54,0.45,0.62,0.56,0.64,0.79,0.59,0.97,0.47,0.39,0.54,1.04,1,0.9,1.17,1.19,1.26,1.35
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",53.61,46.32,38.72,61.39,66.26,77.96,56.42,52.33,73.96,67.83,52.55,68.42,76.54,88.78,84.06,62.4,50.68,54.75,31.76,28.64,52.62,36.35,59.93,94.23,96.22,93.35,92.34,90.14,85.7,78.88,85.22,87.69,84.81,88.15,47.72,26.64,9.38,33.09,27.76,35.26,15.93,19.5,10.16,-0.71,-3.78,0.72,63.45,68.5,57.08,59.5,60.89,59.74,73.38
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.8791,-15.57,-16.6083,-15.9177,-12.7986,-17.6794,-20.5592,-21.1003,-18.7057,-18.7869,-18.8044,-18.4961,-16.3504,-16.8665,-15.5734,-15.6809,-12.0637,-7.7336,-6.699,-6.3631,-8.8727,-6.5564,-23.4848,-36.4064,-38.4362,-38.5762,-36.2692,-34.8361,-33.0007,-36.5604,-39.2011,-38.7934,-38.8134,-37.948,-13.818,-7.9048,-7.7572,-8.9407,-8.4326,-7.0434,-11.3216,-8.8168,-12.0488,-8.7708,-9.5029,-10.6146,-12.175,-11.5398,-17.1879,-23.0396,-21.8424,-22.3465,-23.0504
"B Max Drawdown",-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.0962,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2905,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-25.3341,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.1618,-17.3725,-7.3471,-6.9017,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.2939,-10.2422,-10.2422,-14.3334,-14.3334,-14.3334,-16.6901,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-6.5108,-6.2017,-7.24,-6.5494,-3.4303,-4.5832,-6.5803,-7.1214,-4.7268,-4.808,-4.8255,-4.5172,-2.3715,-2.8876,-1.5945,-1.702,-0.773200000000001,3.5439,4.5785,4.9144,2.4048,4.7211,1.8493,1.8991,-0.130699999999997,-0.270699999999998,2.0363,3.4694,5.3048,1.7451,-0.895599999999995,-0.487899999999996,-0.507899999999999,-0.786200000000001,3.5545,-0.5577,-0.8555,-2.0389,-1.5308,-0.1416,-4.4198,-2.4793,-5.7113,-0.476899999999999,0.7393,-0.372399999999999,2.1584,2.7936,-2.8545,-6.3495,-4.6495,-5.1536,-5.8575
