"","3 Y 2017-02-14 to 2020-02-15","3 Y 2017-03-14 to 2020-03-15","3 Y 2017-04-17 to 2020-04-15","3 Y 2017-05-15 to 2020-05-15","3 Y 2017-06-14 to 2020-06-15","3 Y 2017-07-14 to 2020-07-15","3 Y 2017-08-14 to 2020-08-15","3 Y 2017-09-14 to 2020-09-15","3 Y 2017-10-16 to 2020-10-15","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",12.657,5.092,2.665,-3.256,-0.511,6.532,14.901,14.435,10.578,20.948,25.871,27.35,31.769,24.247,25.564,29.325,20.516,36.976,30.796,35.475,41.322,38.076,36.64,44.869,42.434,40.893,44.248,24.11,20.865,59.026,40.196,69.415
"B Annualized Returns",10.596,1.098,-2.267,-1.87,0.25,1.361,3.65,3.18,4.162,6.305,8.527,9.462,11.978,12.366,9.851,10.781,13.105,13.197,12.65,14.89,19.884,18.884,16.583,18.907,16.076,13.931,14.883,12.542,10.846,11.663,17.502,18.5
"AR DIFF(P-B)",2.061,3.994,4.932,-1.386,-0.761,5.171,11.251,11.255,6.416,14.643,17.344,17.888,19.791,11.881,15.713,18.544,7.411,23.779,18.146,20.585,21.438,19.192,20.057,25.962,26.358,26.962,29.365,11.568,10.019,47.363,22.694,50.915
"P Volatility",18.4,19.6,27.88,28.31,27.72,29.34,28.15,30.45,25.86,25.64,27.59,26.01,25.62,26.5,26.55,23.83,23,24.76,23.2,23.84,23.48,22.11,21.33,26.35,26.22,30.15,30.16,27.04,31.47,41.5,31.12,36.88
"B Volatility",12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",6.17,7.19,7.93,7.3,6.72,8.05,6.47,8.77,4.44,4.17,5.24,3.34,3.19,3.7,3.71,0.989999999999998,0.120000000000001,2.15,0.620000000000001,1.41,1.37,0.0399999999999991,-0.990000000000002,4.08,3.98,7.55,7.24,4.11,8.29,18.44,7.79,13.62
"P Tracking Error",10.69,12.14,12.92,13.09,12,11.96,12.44,13.98,9.67,12.07,12.62,13.14,12.34,11.16,13.54,12.95,11.35,12.55,11.74,10.36,10.84,12.08,11.25,12.29,13.75,15.3,15.62,13.29,15.1,31.14,16.68,26.54
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.19,0.33,0.38,-0.11,-0.06,0.43,0.9,0.81,0.66,1.21,1.37,1.36,1.6,1.06,1.16,1.43,0.65,1.89,1.55,1.99,1.98,1.59,1.78,2.11,1.92,1.76,1.88,0.87,0.66,1.52,1.36,1.92
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
