"","3 Y 2016-08-17 to 2019-08-18","3 Y 2016-09-19 to 2019-09-18","3 Y 2016-10-17 to 2019-10-18","3 Y 2016-11-17 to 2019-11-18","3 Y 2016-12-19 to 2019-12-18","3 Y 2017-01-17 to 2020-01-18","3 Y 2017-02-17 to 2020-02-18","3 Y 2017-03-17 to 2020-03-18","3 Y 2017-04-17 to 2020-04-18","3 Y 2017-05-17 to 2020-05-18","3 Y 2017-06-19 to 2020-06-18","3 Y 2017-07-17 to 2020-07-18","3 Y 2017-08-17 to 2020-08-18","3 Y 2017-09-18 to 2020-09-18","3 Y 2017-10-17 to 2020-10-18","3 Y 2017-11-17 to 2020-11-18","3 Y 2017-12-18 to 2020-12-18","3 Y 2018-01-17 to 2021-01-18","3 Y 2018-02-19 to 2021-02-18","3 Y 2018-03-19 to 2021-03-18","3 Y 2018-04-17 to 2021-04-18","3 Y 2018-05-17 to 2021-05-18","3 Y 2018-06-18 to 2021-06-18","3 Y 2018-07-17 to 2021-07-18","3 Y 2018-08-17 to 2021-08-18","3 Y 2018-09-17 to 2021-09-18","3 Y 2018-10-17 to 2021-10-18","3 Y 2018-11-19 to 2021-11-18","3 Y 2018-12-17 to 2021-12-18","3 Y 2019-01-17 to 2022-01-18","3 Y 2019-02-18 to 2022-02-18","3 Y 2019-03-18 to 2022-03-18","3 Y 2019-04-18 to 2022-04-18","3 Y 2019-05-17 to 2022-05-18","3 Y 2019-06-17 to 2022-06-18","3 Y 2019-07-17 to 2022-07-18","3 Y 2019-08-19 to 2022-08-18","3 Y 2019-09-17 to 2022-09-18"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",14.435,10.21,19.247,19.079,19.857,19.906,22.595,6.272,5.631,5.822,6.477,11.724,14.5,14.513,10.908,23.794,24.162,26.206,26.917,19.583,18.207,19.959,19.289,17.435,35.439,40.701,60.533,41.414,30.929,31.445,37.854,32.427,76.946,73.271,26.107,61.614,83.56,53.24
"B Annualized Returns",7.594,6.591,9.916,12.955,13.619,12.876,9.745,-1.267,-1.199,-2.102,0.075,1.721,3.461,3.273,3.302,6.331,8.507,9.39,12.693,12.487,10.442,11.263,12.906,13.04,12.517,15.377,21.02,18.355,16.333,18.463,17.679,13.948,15.363,11.747,10.007,11.361,18.113,18.988
"AR DIFF(P-B)",6.841,3.619,9.331,6.124,6.238,7.03,12.85,7.539,6.83,7.924,6.402,10.003,11.039,11.24,7.606,17.463,15.655,16.816,14.224,7.096,7.765,8.696,6.383,4.395,22.922,25.324,39.513,23.059,14.596,12.982,20.175,18.479,61.583,61.524,16.1,50.253,65.447,34.252
"P Volatility",22.58,18.63,20.9,18.98,19.37,18.9,20.66,18.07,27.02,26.29,26.1,25.95,24.03,25.54,25.57,27.52,29.22,27.45,24.68,23.2,25.83,24.66,23.65,24.07,28.11,28.21,31.52,28.75,23.7,30.54,28.61,32.91,38.54,40.03,31.03,39.73,35.48,32.29
"B Volatility",13.02,12.96,13.17,12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",9.56,5.67,7.73,6.14,6.66,6.57,8.43,5.66,7.07,5.28,5.1,4.66,2.35,3.86,4.15,6.05,6.87,4.78,2.25,0.399999999999999,2.99,1.82,0.77,1.46,5.53,5.78,9.41,6.68,1.38,8.27,6.37,10.31,15.62,17.1,7.85,16.67,12.15,9.03
"P Tracking Error",14.35,10.35,13.6,12.08,13.17,13.09,13.39,9.27,11.45,10.48,11.05,11.78,9.32,10.05,11.03,14.85,14.11,12.29,11.26,9.46,9.92,11.1,10.12,9.27,13.21,12.94,21.69,15.03,14.52,14.54,17.5,17.21,26.35,30.21,15.76,28.59,27.19,26.89
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
