"","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.568,8.164,8.251,9.494,10.168,7.853,14.268,13.103,13.971,19.527,16.751,24.443,15.717,18.091,26.034,21.509,18.096,24.332,21.118,18.925,20.648,26.598,14.828,18.587,16.681,17.341
"B Annualized Returns",3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",4.918,4.647,4.917,3.248,1.75,-1.826,1.36,0.0779999999999994,3.459,8.513,3.632,11.103,2.739,2.714,6.463,2.954,1.763,5.894,3.41,4.977,5.285,14.018,4.821,7.174,-1.166,-0.945999999999998
"P Volatility",22.97,23.02,22.51,21.77,23.91,23.8,23.12,22.51,23.16,25.48,23.35,25.72,24.21,23.72,25.53,24.26,25.44,24.33,24.32,22.98,23.58,24.24,23.56,23.34,22.81,23.83
"B Volatility",21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",1.29,1.34,1.09,0.300000000000001,1.56,1.13,0.690000000000001,-0.289999999999999,0.32,2.64,0.470000000000002,3.11,1.63,1.29,3.42,2.19,3.12,2.06,2.08,0.379999999999999,0.659999999999997,1.31,0.379999999999999,0.280000000000001,-0.52,0.569999999999997
"P Tracking Error",7.53,8.59,8.17,7.12,6.27,5.62,6.67,6.68,8.36,8.9,7.8,8.79,8.13,8.18,9.17,8.28,7.86,8.67,8.58,8.62,8.36,9.08,8.79,9.43,8.1,7.64
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.65,0.54,0.6,0.46,0.28,-0.32,0.2,0.01,0.41,0.96,0.47,1.26,0.34,0.33,0.7,0.36,0.22,0.68,0.4,0.58,0.63,1.54,0.55,0.76,-0.14,-0.12
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.35,0.43,0.44,0.32,0.13,-0.07,0.17,0,0.27,0.59,0.29,0.79,0.3,0.25,0.26,0.14,0.14,0.53,0.23,0.4,0.39,1.02,0.42,0.51,0.01,0.06
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1,0.99,0.98,0.96,1.03,1.02,0.99,0.94,0.95,1.05,0.96,1.07,1.01,0.99,1.08,1.03,1.09,1.02,1.02,0.94,0.96,0.98,0.94,0.93,0.92,0.97
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",88.92,85.67,86.46,89.15,93.01,94.29,91.45,91.26,86.87,87.62,88.65,88.38,88.38,87.76,87.23,88.11,90.77,86.94,87.21,85.8,87.18,85.58,85.96,83.71,87.73,89.5
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-34.5307,-34.6713,-34.6712,-33.985,-36.4966,-37.0778,-35.1665,-34.7605,-35.5389,-38.2156,-35.6913,-37.9959,-37.2965,-36.5421,-37.5782,-37.7825,-38.7502,-37.7201,-37.6585,-36.1971,-36.2358,-36.1115,-34.817,-34.8617,-34.3295,-35.2329
