"","2 Y 2018-05-15 to 2020-05-16","2 Y 2018-06-15 to 2020-06-16","2 Y 2018-07-16 to 2020-07-16","2 Y 2018-08-16 to 2020-08-16","2 Y 2018-09-17 to 2020-09-16","2 Y 2018-10-15 to 2020-10-16","2 Y 2018-11-15 to 2020-11-16","2 Y 2018-12-17 to 2020-12-16","2 Y 2019-01-15 to 2021-01-16","2 Y 2019-02-15 to 2021-02-16","2 Y 2019-03-15 to 2021-03-16","2 Y 2019-04-15 to 2021-04-16","2 Y 2019-05-15 to 2021-05-16","2 Y 2019-06-17 to 2021-06-16","2 Y 2019-07-15 to 2021-07-16","2 Y 2019-08-16 to 2021-08-16","2 Y 2019-09-16 to 2021-09-16","2 Y 2019-10-15 to 2021-10-16","2 Y 2019-11-15 to 2021-11-16","2 Y 2019-12-16 to 2021-12-16","2 Y 2020-01-15 to 2022-01-16","2 Y 2020-02-17 to 2022-02-16","2 Y 2020-03-16 to 2022-03-16","2 Y 2020-04-15 to 2022-04-16","2 Y 2020-05-15 to 2022-05-16","2 Y 2020-06-15 to 2022-06-16","2 Y 2020-07-15 to 2022-07-16","2 Y 2020-08-17 to 2022-08-16","2 Y 2020-09-15 to 2022-09-16"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-2.807,1.651,5.434,4.829,12.506,21.153,23.555,29.877,37.634,46.035,39.488,45.381,57.523,57.331,57.076,66.609,76.699,57.904,49.453,51.644,53.587,30.924,52.523,67.48,59.968,54.481,68.362,71.071,61.226
"B Annualized Returns",-8.582,-5.383,-2.027,-0.913,-0.096,4.036,8.372,10.798,14.975,19.829,13.933,11.464,15.91,17.258,17.293,22.369,26.514,26.881,24.23,20.474,22.115,20.455,34.843,41.06,34.641,26.837,23.499,26.092,25.782
"AR DIFF(P-B)",5.775,7.034,7.461,5.742,12.602,17.117,15.183,19.079,22.659,26.206,25.555,33.917,41.613,40.073,39.783,44.24,50.185,31.023,25.223,31.17,31.472,10.469,17.68,26.42,25.327,27.644,44.863,44.979,35.444
"P Volatility",33.01,31.35,31.7,30.09,28.69,29.67,27.16,28.76,28.74,27.55,29.47,28.83,28.68,29.67,30.28,27.78,28.57,27.19,27.26,29.94,30.04,28.84,22.64,23.4,23.39,27.05,27.88,28.27,28.74
"B Volatility",24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",8.59,6.95,7.04,4.95,3.98,5.26,2.82,3.22,2.77,1.57,3.07,2.26,2.12,3.03,4.3,1.89,2.4,1.04,1.1,3.44,3.58,2.7,5.82,7.39,7.46,10.83,11.29,11.08,11.66
"P Tracking Error",12.72,11.71,10.84,11.07,9.8,9.84,10,9.17,9.55,9.06,9.56,13.12,13.68,12.58,12.2,13.48,14.17,15.24,13.44,14.87,15.31,14.2,16.79,19.27,19.22,20.55,21.79,21.4,21.41
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.45,0.6,0.69,0.52,1.29,1.74,1.52,2.08,2.37,2.89,2.67,2.59,3.04,3.19,3.26,3.28,3.54,2.04,1.88,2.1,2.06,0.74,1.05,1.37,1.32,1.35,2.06,2.1,1.66
