"","1 Y 2016-11-16 to 2017-11-17","1 Y 2016-12-16 to 2017-12-17","1 Y 2017-01-16 to 2018-01-17","1 Y 2017-02-16 to 2018-02-17","1 Y 2017-03-16 to 2018-03-17","1 Y 2017-04-17 to 2018-04-17","1 Y 2017-05-16 to 2018-05-17","1 Y 2017-06-16 to 2018-06-17","1 Y 2017-07-17 to 2018-07-17","1 Y 2017-08-16 to 2018-08-17","1 Y 2017-09-18 to 2018-09-17","1 Y 2017-10-16 to 2018-10-17","1 Y 2017-11-16 to 2018-11-17","1 Y 2017-12-18 to 2018-12-17","1 Y 2018-01-16 to 2019-01-17","1 Y 2018-02-16 to 2019-02-17","1 Y 2018-03-16 to 2019-03-17","1 Y 2018-04-16 to 2019-04-17","1 Y 2018-05-16 to 2019-05-17","1 Y 2018-06-18 to 2019-06-17","1 Y 2018-07-16 to 2019-07-17","1 Y 2018-08-16 to 2019-08-17","1 Y 2018-09-17 to 2019-09-17","1 Y 2018-10-16 to 2019-10-17","1 Y 2018-11-16 to 2019-11-17","1 Y 2018-12-17 to 2019-12-17","1 Y 2019-01-16 to 2020-01-17","1 Y 2019-02-18 to 2020-02-17","1 Y 2019-03-18 to 2020-03-17","1 Y 2019-04-16 to 2020-04-17","1 Y 2019-05-16 to 2020-05-17","1 Y 2019-06-17 to 2020-06-17","1 Y 2019-07-16 to 2020-07-17","1 Y 2019-08-16 to 2020-08-17","1 Y 2019-09-16 to 2020-09-17","1 Y 2019-10-16 to 2020-10-17","1 Y 2019-11-18 to 2020-11-17","1 Y 2019-12-16 to 2020-12-17","1 Y 2020-01-16 to 2021-01-17","1 Y 2020-02-17 to 2021-02-17","1 Y 2020-03-16 to 2021-03-17","1 Y 2020-04-16 to 2021-04-17","1 Y 2020-05-18 to 2021-05-17","1 Y 2020-06-16 to 2021-06-17","1 Y 2020-07-16 to 2021-07-17","1 Y 2020-08-17 to 2021-08-17","1 Y 2020-09-16 to 2021-09-17","1 Y 2020-10-16 to 2021-10-17","1 Y 2020-11-17 to 2021-11-17","1 Y 2020-12-16 to 2021-12-17","1 Y 2021-01-18 to 2022-01-17","1 Y 2021-02-16 to 2022-02-17","1 Y 2021-03-16 to 2022-03-17","1 Y 2021-04-16 to 2022-04-17","1 Y 2021-05-17 to 2022-05-17","1 Y 2021-06-16 to 2022-06-17","1 Y 2021-07-16 to 2022-07-17","1 Y 2021-08-16 to 2022-08-17","1 Y 2021-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",43.863,44.398,49.355,14.355,4.877,23.016,7.3,8.686,5.944,10.918,14.07,-13.823,-6.722,-12.135,-10.803,-16.43,0.802,-3.552,2.371,3.313,9.943,-10.449,-6.822,17.911,0.792,7.968,7.549,42.525,-18.498,-21.849,-4.067,-15.546,-8.41,10.062,-4.692,-8.115,2.669,16.947,10.448,23.874,103.435,95.156,142.203,140.934,149.83,100.239,74.229,69.452,39.631,17.499,12.466,8.396,7.199,6.323,5.765,-8.228,7.502,19.829,5.454
"B Annualized Returns",28.118,28.93,28.998,20.609,13.508,15.332,11.833,11.584,8.552,13.389,9.536,1.945,2.112,1.971,-0.19,1.609,10.528,8.623,2.675,8.351,5.828,-5.45,-4.603,6.533,8.533,8.425,11.497,14.205,-20.196,-22.484,-18.273,-14.759,-8.516,2.646,7.195,1.597,6.864,13.166,18.582,27.429,62.399,61.546,70.632,60.176,50.294,47.791,52.789,56.254,42.108,27.171,29.043,13.632,14.049,24.224,6.852,-2.498,1.466,8.47,2.819
"AR DIFF(P-B)",15.745,15.468,20.357,-6.254,-8.631,7.684,-4.533,-2.898,-2.608,-2.471,4.534,-15.768,-8.834,-14.106,-10.613,-18.039,-9.726,-12.175,-0.304,-5.038,4.115,-4.999,-2.219,11.378,-7.741,-0.457000000000001,-3.948,28.32,1.698,0.635000000000002,14.206,-0.786999999999999,0.106,7.416,-11.887,-9.712,-4.195,3.781,-8.134,-3.555,41.036,33.61,71.571,80.758,99.536,52.448,21.44,13.198,-2.477,-9.672,-16.577,-5.236,-6.85,-17.901,-1.087,-5.73,6.036,11.359,2.635
"P Volatility",15.84,12.52,12.82,13.63,11.13,10.95,12.81,15.4,14.61,14.13,15.73,15.67,21.15,16.07,17.08,14.43,17.82,14.9,16.76,16.5,16.93,17.31,15.36,16.06,20.16,19.22,18.58,24.64,31.12,33.71,49,47.01,44.78,48.01,51.44,51.04,41.53,41.97,44.65,39.35,29.54,33.04,37.14,33.57,33.53,35.57,25.85,16.75,17.18,14.16,13.45,12.32,13.77,15.27,13.35,14.39,14.87,17.79,17.12
"B Volatility",11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",4.41,1.65,2.95,3.75,-0.93,-1.77,-0.34,2.42,2.74,0.540000000000001,2.4,1,5.48,-0.00999999999999801,1.62,-0.109999999999999,3.65,0.200000000000001,2.03,1.97,4.12,3.3,3.12,4.24,8.51,7.5,6.99,13.06,20.04,4.35,16.53,14.54,11.22,13.62,17.27,17.05,7.45,5.97,8.05,3.15,13.02,16.12,20.78,17.93,18.14,19.91,10.22,1.11,3.75,0.0600000000000005,-0.390000000000001,1.03,0.24,0,-1.44,-1.64,-2.25,0.619999999999997,-0.0299999999999976
"P Tracking Error",8.72,6.93,9.82,10.53,10.23,11.61,11.43,11.55,10.77,12.65,9.7,7.64,13.17,11.7,12.11,5.92,7.26,9.16,4.01,6.45,7.39,6.18,9.36,8.12,12.97,11.64,12.49,19.42,23.9,14.67,23.24,19.29,19.93,21.58,22.79,22.03,16.27,15.46,16.33,12.64,17.89,21.94,25.94,24.33,23.5,24.12,15.59,9.74,12.25,10.96,8.87,10.67,8.92,9.95,10.88,11.51,12.25,11.77,12.34
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
