"","3 Y 2017-02-14 to 2020-02-15","3 Y 2017-03-14 to 2020-03-15","3 Y 2017-04-17 to 2020-04-15","3 Y 2017-05-15 to 2020-05-15","3 Y 2017-06-14 to 2020-06-15","3 Y 2017-07-14 to 2020-07-15","3 Y 2017-08-14 to 2020-08-15","3 Y 2017-09-14 to 2020-09-15","3 Y 2017-10-16 to 2020-10-15","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.028,4.003,2.866,1.355,3.991,6.531,14.353,13.091,7.133,13.419,16.931,16.585,22.012,17.327,17.265,20.537,16.786,29.66,26.057,29.544,39.254,31.155,29.298,33.496,32.069,30.112,32.501,46.348,39.187,40.69,33.935,50.991
"B Annualized Returns",10.596,1.098,-2.267,-1.87,0.25,1.361,3.65,3.18,4.162,6.305,8.527,9.462,11.978,12.366,9.851,10.781,13.105,13.197,12.65,14.89,19.884,18.884,16.583,18.907,16.076,13.931,14.883,12.542,10.846,11.663,17.502,18.5
"AR DIFF(P-B)",2.432,2.905,5.133,3.225,3.741,5.17,10.703,9.911,2.971,7.114,8.404,7.123,10.034,4.961,7.414,9.756,3.681,16.463,13.407,14.654,19.37,12.271,12.715,14.589,15.993,16.181,17.618,33.806,28.341,29.027,16.433,32.491
"P Volatility",14.08,14.59,23.24,24.08,24.07,24.92,24.91,26.3,23.51,23.15,24.77,23.79,23.79,25.31,25.31,24.14,24.12,26.48,25.91,23.65,25.22,23.92,23.36,27.75,26.44,29.69,28.23,34.72,37.8,35.1,29.97,33.69
"B Volatility",12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",1.85,2.18,3.29,3.07,3.07,3.63,3.23,4.62,2.09,1.68,2.42,1.12,1.36,2.51,2.47,1.3,1.24,3.87,3.33,1.22,3.11,1.85,1.04,5.48,4.2,7.09,5.31,11.79,14.62,12.04,6.64,10.43
"P Tracking Error",7.44,8.78,9.31,9.64,9.49,9.3,10.86,11.23,8.07,9.64,10.75,9.87,9.23,9.45,10.38,9.45,8.74,11.46,10.77,8.62,9.52,9.67,8.71,10.8,11.19,12.81,12.81,23.81,25.48,22.66,12.06,19.71
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.33,0.33,0.55,0.33,0.39,0.56,0.99,0.88,0.37,0.74,0.78,0.72,1.09,0.52,0.71,1.03,0.42,1.44,1.24,1.7,2.03,1.27,1.46,1.35,1.43,1.26,1.38,1.42,1.11,1.28,1.36,1.65
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.19,0.16,0.27,0.39,0.35,0.52,0.71,0.73,0.43,0.57,0.57,0.67,0.68,0.29,0.52,0.73,0.26,1.19,0.98,1.09,1.11,0.76,1.04,0.94,0.91,1.19,1.19,2.76,2.05,2.04,0.94,2.23
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.98,0.94,1.07,1.05,1.05,1.09,1.04,1.1,1.03,0.98,1,0.96,0.98,1.03,1.01,0.97,0.98,1.06,1.04,0.98,1.06,0.99,0.97,1.16,1.08,1.2,1.1,1.11,1.23,1.18,1.19,1.19
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",71.31,62.92,83.84,83.71,84.24,86.26,80.52,81.96,87.95,82.19,80.58,82.45,84.54,85.7,82.69,84.28,86.49,80.96,82.34,86.33,85.57,83.16,85.75,86.05,81.99,83.26,79.51,52.05,55.16,58.44,85.6,66.52
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-17.0079,-24.092,-37.5108,-36.1969,-36.0674,-36.767,-35.2171,-36.2986,-35.6584,-34.1643,-34.4447,-32.9156,-33.2953,-35.6298,-35.5947,-33.8608,-35.663,-34.9395,-35.1846,-35.7625,-36.128,-34.4861,-34.7399,-38.5806,-38.3272,-41.0831,-38.7495,-39.5479,-40.3413,-39.2393,-40.8884,-41.4451
"B Max Drawdown",-13.9789,-22.2918,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",-3.029,-1.8002,0.794699999999999,2.1086,2.2381,1.5385,3.0884,2.0069,2.6471,4.1412,3.8608,5.3899,5.0102,2.6757,2.7108,4.4447,2.64250000000001,3.366,3.1209,2.543,2.1775,3.8194,3.5656,-0.275099999999995,-0.0216999999999956,-2.7776,-0.443999999999996,-1.2424,-2.03579999999999,-0.933799999999998,-2.5829,-3.13959999999999
