"","1 Y 2020-05-06 to 2021-05-07","1 Y 2020-06-08 to 2021-06-07","1 Y 2020-07-06 to 2021-07-07","1 Y 2020-08-06 to 2021-08-07","1 Y 2020-09-07 to 2021-09-07","1 Y 2020-10-06 to 2021-10-07","1 Y 2020-11-06 to 2021-11-07","1 Y 2020-12-07 to 2021-12-07","1 Y 2021-01-06 to 2022-01-07","1 Y 2021-02-08 to 2022-02-07","1 Y 2021-03-08 to 2022-03-07","1 Y 2021-04-06 to 2022-04-07","1 Y 2021-05-06 to 2022-05-07","1 Y 2021-06-07 to 2022-06-07","1 Y 2021-07-06 to 2022-07-07","1 Y 2021-08-06 to 2022-08-07","1 Y 2021-09-06 to 2022-09-07"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",126.683,116.581,88.822,89.302,87.156,91.777,85.153,57.864,48.486,38.733,18.673,26.879,16.928,2.137,5.419,13.534,8.837
"B Annualized Returns",59.533,56.336,48.697,47.083,54.168,52.232,45.614,27.831,25.734,17.364,10.915,22.25,14.662,4.899,1.17,7.409,2.879
"AR DIFF(P-B)",67.15,60.245,40.125,42.219,32.988,39.545,39.539,30.033,22.752,21.369,7.758,4.629,2.266,-2.762,4.249,6.125,5.958
"P Volatility",19.87,21.11,22.3,22.93,20.66,20.14,16.78,17.76,17.32,13,14.59,14.73,13.28,15.3,17.51,19.03,20
"B Volatility",16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",3.51,5.47,6.91,7.27,5.03,4.5,3.35,3.66,3.48,1.71,1.06,-0.539999999999999,-1.51,-0.73,0.390000000000001,1.86,2.85
"P Tracking Error",15.11,14.59,14.41,13.86,11.76,11.56,10.22,12.1,12.07,10.63,5.59,4.79,3.91,5.61,5.36,6.43,7.36
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",4.44,4.13,2.78,3.05,2.81,3.42,3.87,2.48,1.89,2.01,1.39,0.97,0.58,-0.49,0.79,0.95,0.81
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",3.34,2.84,2.3,1.48,1.49,1.74,1.71,2.13,2.01,1.91,0.58,0.61,0.38,0.1,0.32,0.43,0.58
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.81,0.98,1.11,1.18,1.09,1.06,0.99,0.92,0.9,0.72,1,0.92,0.87,0.89,0.97,1.04,1.09
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",38.41,46.94,54.28,61.09,64.51,63.57,58.75,48.78,46.71,32.29,83.71,89.09,92.77,86.44,89.66,87.49,85.59
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-8.6373,-8.6048,-8.6795,-9.2351,-7.7191,-6.9714,-6.6781,-6.6749,-7.4722,-8.0108,-13.6795,-13.1974,-12.7434,-14.0868,-17.345,-18.2409,-19.0148
"B Max Drawdown",-6.9018,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-8.294,-10.2422,-10.2422,-12.5,-14.3334,-14.3334,-14.3334,-17.1929,-17.1929,-17.1929
"MD DIFF(P-B)",-1.7355,-1.703,-1.7777,-2.3333,-0.8173,-0.6339,-0.340599999999999,1.6191,2.77,2.2314,-1.1795,1.136,1.59,0.246599999999999,-0.152099999999997,-1.048,-1.8219
