"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",21.882
"B Annualized Returns",15.03
"AR DIFF(P-B)",6.852
"P Volatility",19.16
"B Volatility",16.74
"V DIFF(P-B)",2.42
"P Tracking Error",7.3
"B Tracking Error",NA
"IR",NA
"P Information Ratio",0.94
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",0.4
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.06
"B Beta Stat",NA
"RS",NA
"P R-Squared",85.62
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-38.175
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",-0.104900000000001
