"","NA","Var.2","Core20-80V20_G60","NA","NA","NA","NA"
"1",NA,"Annualized Returns",NA,NA,NA,NA,NA
"2",NA,"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","25.302","17.987","10.813","22.457","17.676"
"3",NA,"2020-01-06_to_2024-11-04_^BSESN","24.412","14.41","9.92","18.999","14.967"
"4",NA,"Volatility",NA,NA,NA,NA,NA
"5",NA,"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","14.51","13.91","16.92","16.17","21.68"
"6",NA,"2020-01-06_to_2024-11-04_^BSESN","12.84","11.27","12.38","13.1","19.11"
"7",NA,"Tracking Error",NA,NA,NA,NA,NA
"8",NA,"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","5.86","5.75","7.62","6.85","6.52"
"9",NA,"2020-01-06_to_2024-11-04_^BSESN","-","-","-","-","-"
"10",NA,"Information Ratio",NA,NA,NA,NA,NA
"11",NA,"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","0.15","0.62","0.12","0.5","0.42"
"12",NA,"2020-01-06_to_2024-11-04_^BSESN","-","-","-","-","-"
"13",NA,"Alpha Stat",NA,NA,NA,NA,NA
"14",NA,"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.2","0.25","-0.16","0.05","0.12"
"15",NA,"2020-01-06_to_2024-11-04_^BSESN","-","-","-","-","-"
"16",NA,"Beta Stat",NA,NA,NA,NA,NA
"17",NA,"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.03","1.13","1.24","1.13","1.09"
"18",NA,"2020-01-06_to_2024-11-04_^BSESN","-","-","-","-","-"
"19",NA,"R-Squared",NA,NA,NA,NA,NA
"20",NA,"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","81.96","83.24","82.37","82.7","91.39"
"21",NA,"2020-01-06_to_2024-11-04_^BSESN","-","-","-","-","-"
"22",NA,"Max Drawdown",NA,NA,NA,NA,NA
"23",NA,"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-10.1002","-11.1003","-24.4076","-24.4076","-38.6962"
"24",NA,"2020-01-06_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268","-16.8462","-38.0701"
