"","NA","Var.2","Core20-80V20_G60","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1",NA,"Annualized Returns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"2009-01-05_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.88","4.504","1.864","20.339","12.915","18.706","18.835","22.742","25.099","25.125","26.873","26.039","26.181","23.502","25.756","29.901"
"3",NA,"2009-01-05_to_2024-11-04_^BSESN","24.412","14.41","9.92","18.999","14.627","14.693","13.097","14.267","12.993","11.083","12.91","12.816","12.338","10.036","11.271","13.815"
"4",NA,"Volatility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"2009-01-05_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","19.14","19.27","24.74","24.53","37.15","35.16","33.92","32.65","32.02","30.69","29.36","28.54","27.83","27.71","27.09","27.86"
"6",NA,"2009-01-05_to_2024-11-04_^BSESN","12.84","11.27","12.38","13.1","18.81","17.64","17.37","16.59","16.52","16.23","15.85","15.62","15.79","16.39","16.36","18.39"
"7",NA,"Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"2009-01-05_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","13.03","14.7","18.56","17.44","24.36","23.4","22.92","22.44","21.77","20.84","20.09","19.44","18.77","18.26","17.72","17.52"
"9",NA,"2009-01-05_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10",NA,"Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"2009-01-05_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-1.73","-0.67","-0.43","0.08","-0.07","0.17","0.25","0.38","0.56","0.67","0.7","0.68","0.74","0.74","0.82","0.92"
"12",NA,"2009-01-05_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13",NA,"Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"2009-01-05_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-1.4","-0.5","-0.86","-0.63","-0.43","-0.08","0.18","0.35","0.58","0.84","0.78","0.75","0.84","0.88","0.96","1.07"
"15",NA,"2009-01-05_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16",NA,"Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"2009-01-05_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.1","1.11","1.37","1.37","1.61","1.61","1.54","1.52","1.51","1.46","1.41","1.4","1.35","1.31","1.28","1.19"
"18",NA,"2009-01-05_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19",NA,"R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"2009-01-05_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","48.96","39.46","45.56","52.27","66","64.48","61.39","59.36","60.3","59.56","57.8","58","58.12","59.67","59.94","61.9"
"21",NA,"2009-01-05_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22",NA,"Max Drawdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"2009-01-05_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-11.8539","-18.8704","-30.4091","-30.4091","-53.0706","-53.0706","-53.0706","-53.0706","-53.0706","-53.0706","-53.0706","-53.0706","-53.0706","-53.0706","-53.0706","-53.0706"
"24",NA,"2009-01-05_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268","-16.8462","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701"
