"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",18.716
"B Annualized Returns",10.315
"AR DIFF(P-B)",8.401
"P Volatility",18.84
"B Volatility",16.15
"V DIFF(P-B)",2.69
"P Tracking Error",8.98
"B Tracking Error",NA
"IR",NA
"P Information Ratio",0.94
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",0.62
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.03
"B Beta Stat",NA
"RS",NA
"P R-Squared",77.21
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-37.8481
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",0.221999999999994
