"","1 Years","2 Years","2022-01-2024-11"
"Annualized Returns",,,
"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","26.463","18.567","12.607"
"2022-01-03_to_2024-11-04_^BSESN","24.412","14.41","11.101"
"Volatility",,,
"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","16.15","14.02","16.52"
"2022-01-03_to_2024-11-04_^BSESN","12.84","11.27","12.72"
"Tracking Error",,,
"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","6.17","5.13","6.48"
"2022-01-03_to_2024-11-04_^BSESN","-","-","-"
"Information Ratio",,,
"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","0.33","0.81","0.23"
"2022-01-03_to_2024-11-04_^BSESN","-","-","-"
"Alpha Stat",,,
"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.3","0.23","-0.01"
"2022-01-03_to_2024-11-04_^BSESN","-","-","-"
"Beta Stat",,,
"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.18","1.17","1.21"
"2022-01-03_to_2024-11-04_^BSESN","-","-","-"
"R-Squared",,,
"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","85.94","87.97","86.94"
"2022-01-03_to_2024-11-04_^BSESN","-","-","-"
"Max Drawdown",,,
"2022-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-11.912","-11.912","-21.9123"
"2022-01-03_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268"
