"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",20.862
"B Annualized Returns",13.713
"AR DIFF(P-B)",7.149
"P Volatility",20.41
"B Volatility",16.55
"V DIFF(P-B)",3.86
"P Tracking Error",9.01
"B Tracking Error",NA
"IR",NA
"P Information Ratio",0.79
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",0.45
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.11
"B Beta Stat",NA
"RS",NA
"P R-Squared",81.16
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-38.5179
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",-0.447800000000001
