"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",21.191
"B Annualized Returns",13.219
"AR DIFF(P-B)",7.972
"P Volatility",18.8
"B Volatility",15.92
"V DIFF(P-B)",2.88
"P Tracking Error",8.17
"B Tracking Error",NA
"IR",NA
"P Information Ratio",0.98
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",0.55
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.07
"B Beta Stat",NA
"RS",NA
"P R-Squared",81.26
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-38.5186
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",-0.448500000000003
