"","2023-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","2023-01-03_to_2024-11-04_^BSESN"
"2023-01-03",0,0
"2023-01-04",-0.808211855440877,-1.03884
"2023-01-05",-1.03770263052028,-1.5351
"2023-01-06",-1.99475178569015,-2.274
"2023-01-09",-0.803624636729316,-0.89224
"2023-01-10",-1.62305027038615,-1.92305
"2023-01-11",-2.0102659869677,-1.93932999999999
"2023-01-12",-2.04720476858621,-2.17993
"2023-01-13",-1.58242867984397,-1.68535
"2023-01-16",-1.76603439563269,-1.95978
"2023-01-17",-1.38051436225699,-1.04166999999999
"2023-01-18",-0.987616127468993,-0.405359999999999
"2023-01-19",-1.55017170119502,-0.710949999999999
"2023-01-20",-2.18392726524033,-1.09705
"2023-01-23",-1.72691895333837,-0.575140000000007
"2023-01-24",-1.87758492378017,-0.514650000000005
"2023-01-25",-2.87470630991529,-1.77691
"2023-01-27",-3.73369392390739,-3.20308
"2023-01-30",-3.26153506892786,-2.92652
"2023-01-31",-2.58605174929446,-2.84578000000001
"2023-02-01",-3.90043369704368,-2.58772
"2023-02-02",-3.90653422101611,-2.22201
"2023-02-03",-1.94201048240111,-0.737949999999998
"2023-02-06",-2.20736798790914,-1.28446
"2023-02-07",-2.63689254000967,-1.64479
"2023-02-08",-2.10345219350392,-1.0285
"2023-02-09",-1.99322619830929,-0.796130000000006
"2023-02-10",-2.12229915330314,-0.997649999999994
"2023-02-13",-2.34911776261177,-1.40692
"2023-02-14",-2.08299133177284,-0.427339999999998
"2023-02-15",-1.50715985426407,-0.0311800000000084
"2023-02-16",-1.24992646949729,0
"2023-02-17",-2.04392270695951,-0.516876529993127
"2023-02-20",-2.21281422343662,-1.02410704379092
"2023-02-21",-2.29604653480977,-1.05479436992523
"2023-02-22",-3.74703860132714,-2.56774951944848
"2023-02-23",-4.00529900669381,-2.79472577825359
"2023-02-24",-4.25477527731832,-3.02609022473719
"2023-02-27",-4.52189088916217,-3.31242196972651
"2023-02-28",-5.07500647210508,-3.84444224535269
"2023-03-01",-4.17366309538896,-3.11228462644929
"2023-03-02",-4.8411557720111,-3.93049670486091
"2023-03-03",-3.45784643625636,-2.46340261472012
"2023-03-06",-2.83454233246406,-1.78581245945425
"2023-03-08",-2.57343105579565,-1.58419572716468
"2023-03-09",-3.44392584026368,-2.46778080652691
"2023-03-10",-3.94432169946856,-3.56229877060774
"2023-03-13",-5.21725178656869,-5.02558443362893
"2023-03-14",-5.89091101081024,-5.57623701411317
"2023-03-15",-6.06005725097731,-6.13771512365394
"2023-03-16",-5.53608277217367,-6.00897829196543
"2023-03-17",-5.13070811394284,-5.42994743171071
"2023-03-20",-5.91787828573671,-6.01858432467392
"2023-03-21",-5.5866072861619,-5.29168453428736
"2023-03-22",-5.35678785793454,-5.06351876674934
"2023-03-23",-5.45878769580194,-5.53532391122467
"2023-03-24",-6.37047202268008,-6.18467572892397
"2023-03-27",-6.33282958356064,-5.97796110206485
"2023-03-28",-6.87627544611845,-6.04341406998911
"2023-03-29",-5.82742246469523,-5.47855735581205
"2023-03-31",-4.90891317873572,-3.79650204465557
"2023-04-03",-4.34451371062488,-3.60907945018708
"2023-04-05",-3.97143944872701,-2.65854202214486
"2023-04-06",-3.66269897401508,-2.4242587811234
"2023-04-10",-3.15290004436009,-2.40217790052708
"2023-04-11",-2.60826542466936,-1.89465750644985
"2023-04-12",-2.62047386616823,-1.51133581830704
"2023-04-13",-2.84404186333417,-1.44899156648304
"2023-04-17",-3.090070151742,-2.29741116918712
"2023-04-18",-3.22748726567905,-2.5970574152875
"2023-04-19",-3.73317512205044,-2.8567001828245
"2023-04-20",-3.45031009515807,-2.75142366202759
"2023-04-21",-3.76080488610383,-2.71439895323232
"2023-04-24",-3.29127243620105,-2.0603790634468
"2023-04-25",-2.91230220255374,-1.93869931718201
"2023-04-26",-2.73661323632728,-1.66168372462174
"2023-04-27",-2.07872976349824,-1.09285864937781
"2023-04-28",-1.44106086683928,-0.337690533809543
"2023-05-02",-1.19975445917002,0
"2023-05-03",-1.56509373967161,0
"2023-05-04",-0.82971595242386,0
"2023-05-05",-1.13663359813195,0
"2023-05-08",0,0
"2023-05-09",0,0
"2023-05-10",0,0
"2023-05-11",0,0
"2023-05-12",0,0
"2023-05-15",0,0
"2023-05-16",0,0
"2023-05-17",0,0
"2023-05-19",0,0
"2023-05-22",0,0
"2023-05-23",0,0
"2023-05-24",0,0
"2023-05-25",0,0
"2023-05-26",0,0
"2023-05-30",0,0
"2023-05-31",0,0
"2023-06-01",0,0
"2023-06-02",0,0
"2023-06-05",0,0
"2023-06-06",0,0
"2023-06-07",0,0
"2023-06-08",0,0
"2023-06-09",0,0
"2023-06-12",0,0
"2023-06-13",0,0
"2023-06-14",0,0
"2023-06-15",0,0
"2023-06-16",0,0
"2023-06-19",0,0
"2023-06-20",0,0
"2023-06-21",0,0
"2023-06-22",0,0
"2023-06-23",0,0
"2023-06-26",0,0
"2023-06-27",0,0
"2023-06-28",0,0
"2023-06-30",0,0
"2023-07-07",0,0
"2023-07-10",0,0
"2023-07-14",0,0
"2023-07-17",0,0
"2023-07-19",0,0
"2023-07-20",0,0
"2023-07-21",0,-1.31362020124651
"2023-07-24",0,-1.75681825541666
"2023-07-26",0,-1.27966759647035
"2023-07-28",0,-2.08916917350216
"2023-08-03",0,-3.44997651074804
"2023-08-04",0,-2.73877693156804
"2023-08-07",0,-2.39510545490368
"2023-08-08",0,-2.55342092676007
"2023-08-09",0,-2.33245233142279
"2023-08-10",0,-2.78772383388495
"2023-08-11",0,-3.32867055732253
"2023-08-14",0,-3.2113558264729
"2023-08-16",0,-3.00786697182588
"2023-08-17",0,-3.58266651947522
"2023-08-18",0,-3.88214427707213
"2023-08-21",0,-3.48636920387174
"2023-08-22",0,-3.48053657633473
"2023-08-23",0,-3.1649215801867
"2023-08-24",0,-3.43272354406777
"2023-08-25",0,-3.97411474456493
"2023-08-28",0,-3.81119122482548
"2023-08-29",0,-3.69395813261945
"2023-08-30",0,-3.67704079147395
"2023-08-31",0,-4.05566267855846
"2023-09-01",0,-3.23319869911542
"2023-09-04",0,-2.87657389100027
"2023-09-05",0,-2.65145079579989
"2023-09-06",0,-2.5030680255812
"2023-09-07",0,-1.9332484351913
"2023-09-08",0,-1.43993332481268
"2023-09-11",0,-0.658288667168416
"2023-09-12",0,-0.519094779834639
"2023-09-13",0,-0.155249487241282
"2023-09-14",0,-0.0782823882496286
"2023-09-15",0,0
"2023-09-18",0,-0.356415257793208
"2023-09-20",-0.560162673666087,-1.52978376372055
"2023-09-21",-1.50832046810783,-2.3709064243473
"2023-09-22",-1.47966853131771,-2.69680949298626
"2023-09-25",-1.39500506076135,-2.67537777469373
"2023-09-26",-1.49839224140469,-2.79068620169596
"2023-09-27",-1.43440621303575,-2.53533974694671
"2023-09-28",-2.56154851782548,-3.43507436227989
"2023-09-29",-1.80442751046229,-2.96324225395176
"2023-10-03",-2.05192862930459,-3.4294995856414
"2023-10-04",-3.19963193374959,-3.85118581010631
"2023-10-05",-2.67865304222811,-3.25339266269042
"2023-10-06",-1.61032851517814,-2.71674135241009
"2023-10-09",-2.40636562195243,-3.42907492680509
"2023-10-10",-1.47212692359757,-2.59331923104585
"2023-10-11",-0.993380356290408,-2.01299130768539
"2023-10-12",-1.00580757833824,-2.10829559290866
"2023-10-13",-0.75449366717204,-2.29351009260454
"2023-10-16",-0.859040201571404,-2.46423198009922
"2023-10-17",-0.437548892549666,-2.07925615673995
"2023-10-18",-0.987495634964741,-2.89157429885212
"2023-10-19",-1.29748454383004,-3.25682607455853
"2023-10-20",-1.55738405932629,-3.59826081425351
