"","NA","Var.2","Core20-80V20_G60","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1",NA,"Annualized Returns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"2010-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","10.631","9.003","4.723","20.705","13.45","17.843","17.44","20.83","22.41","22.023","23.445","22.575","22.435","20.097","21.451"
"3",NA,"2010-01-04_to_2024-11-04_^BSESN","24.412","14.41","9.92","18.999","14.627","14.693","13.097","14.267","12.993","11.083","12.91","12.816","12.338","10.036","10.737"
"4",NA,"Volatility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"2010-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","16.89","16.79","21.35","21.3","31.21","29.72","28.71","27.77","27.35","26.27","25.15","24.6","23.97","23.97","23.53"
"6",NA,"2010-01-04_to_2024-11-04_^BSESN","12.84","11.27","12.38","13.1","18.81","17.64","17.37","16.59","16.52","16.23","15.85","15.62","15.79","16.39","16.33"
"7",NA,"Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"2010-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","8.74","10.62","13.92","13.07","17.65","17.35","17.1","17.16","16.66","16","15.48","15.03","14.54","14.16","13.8"
"9",NA,"2010-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10",NA,"Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"2010-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-1.58","-0.51","-0.37","0.13","-0.07","0.18","0.25","0.38","0.57","0.68","0.68","0.65","0.69","0.71","0.78"
"12",NA,"2010-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13",NA,"Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"2010-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.95","-0.3","-0.68","-0.51","-0.34","-0.07","0.1","0.28","0.46","0.66","0.6","0.55","0.63","0.66","0.71"
"15",NA,"2010-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16",NA,"Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"2010-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.13","1.17","1.35","1.32","1.44","1.44","1.38","1.37","1.36","1.32","1.28","1.28","1.23","1.2","1.18"
"18",NA,"2010-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19",NA,"R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"2010-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","71.38","59.41","60.48","65.58","74.48","72.23","69.43","66.21","67.38","66.63","65.04","65.48","65.25","66.74","67.03"
"21",NA,"2010-01-04_to_2024-11-04_^BSESN","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22",NA,"Max Drawdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"2010-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-11.1574","-17.4985","-28.9102","-28.9102","-46.4141","-46.4141","-46.4141","-46.4141","-46.4141","-46.4141","-46.4141","-46.4141","-46.4141","-46.4141","-46.4141"
"24",NA,"2010-01-04_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268","-16.8462","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701","-38.0701"
