"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",18.176
"B Annualized Returns",11.296
"AR DIFF(P-B)",6.88
"P Volatility",19.4
"B Volatility",16.2
"V DIFF(P-B)",3.2
"P Tracking Error",8.63
"B Tracking Error",NA
"IR",NA
"P Information Ratio",0.8
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",0.45
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.08
"B Beta Stat",NA
"RS",NA
"P R-Squared",80.44
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-38.2061
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",-0.136000000000003
