"","1 Years","2 Years","3 Years","4 Years","2020-01-2024-11"
"Annualized Returns",,,,,
"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","25.302","17.987","10.813","22.457","17.676"
"2020-01-06_to_2024-11-04_^BSESN","24.412","14.41","9.92","18.999","14.967"
"Volatility",,,,,
"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","14.51","13.91","16.92","16.17","21.68"
"2020-01-06_to_2024-11-04_^BSESN","12.84","11.27","12.38","13.1","19.11"
"Tracking Error",,,,,
"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","5.86","5.75","7.62","6.85","6.52"
"2020-01-06_to_2024-11-04_^BSESN","-","-","-","-","-"
"Information Ratio",,,,,
"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","0.15","0.62","0.12","0.5","0.42"
"2020-01-06_to_2024-11-04_^BSESN","-","-","-","-","-"
"Alpha Stat",,,,,
"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.2","0.25","-0.16","0.05","0.12"
"2020-01-06_to_2024-11-04_^BSESN","-","-","-","-","-"
"Beta Stat",,,,,
"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.03","1.13","1.24","1.13","1.09"
"2020-01-06_to_2024-11-04_^BSESN","-","-","-","-","-"
"R-Squared",,,,,
"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","81.96","83.24","82.37","82.7","91.39"
"2020-01-06_to_2024-11-04_^BSESN","-","-","-","-","-"
"Max Drawdown",,,,,
"2020-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-10.1002","-11.1003","-24.4076","-24.4076","-38.6962"
"2020-01-06_to_2024-11-04_^BSESN","-7.5109","-9.0972","-16.2268","-16.8462","-38.0701"
