"","2021-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","2021-01-04_to_2024-11-04_^BSESN"
"2021-01-04",0,0
"2021-01-05",0,0
"2021-01-06",0,0
"2021-01-07",0,0
"2021-01-08",0,0
"2021-01-11",0,0
"2021-01-12",0,0
"2021-01-13",0,0
"2021-01-14",0,0
"2021-01-15",0,-1.10819690862644
"2021-01-18",0,-2.05689321271294
"2021-01-19",0,-0.37485945563811
"2021-01-20",0,0
"2021-01-21",0,-0.336120224976755
"2021-01-22",0,-1.83479128306995
"2021-01-25",0,-2.9011280767158
"2021-01-27",0,-4.78427794478917
"2021-01-28",0,-5.85988395100671
"2021-01-29",0,-7.04197947033901
"2021-02-01",0,-2.39297591069046
"2021-02-02",0,0
"2021-02-03",0,0
"2021-02-04",0,0
"2021-02-05",0,0
"2021-02-08",0,0
"2021-02-09",0,0
"2021-02-10",0,0
"2021-02-11",0,0
"2021-02-12",0,0
"2021-02-15",0,0
"2021-02-16",0,-0.0957824942042329
"2021-02-17",0,-0.863400344129717
"2021-02-18",0,-1.5903552044239
"2021-02-19",0,-2.42428827528605
"2021-02-22",0,-4.62055158486358
"2021-02-23",0,-4.6069541471677
"2021-02-24",0,-2.63150140191245
"2021-02-25",0,-2.13755046039612
"2021-02-26",0,-5.85598780073361
"2021-03-01",0,-4.41822503740912
"2021-03-02",0,-3.56105993135327
"2021-03-03",0,-1.36035343731125
"2021-03-04",0,-2.50804368805003
"2021-03-05",0,-3.35315400049642
"2021-03-08",0,-3.28460333124291
"2021-03-09",0,-2.1640617689472
"2021-03-10",0,-1.67698344539673
"2021-03-12",0,-2.61158558963506
"2021-03-15",0,-3.37279269108164
"2021-03-16",0,-3.43245699140617
"2021-03-17",0,-4.51068207130729
"2021-03-18",0,-5.63255381772543
"2021-03-19",0,-4.40212426709395
"2021-03-22",0,-4.56884067710437
"2021-03-23",0,-4.03167722638874
"2021-03-24",0,-5.70198203900414
"2021-03-25",0,-7.12121459851209
"2021-03-26",0,-6.03140583187822
"2021-03-30",0,-3.86843407492021
"2021-03-31",0,-5.07146552758566
"2021-04-01",0,-4.07311615675814
"2021-04-05",0,-5.74222934609719
"2021-04-06",0,-5.66155922150605
"2021-04-07",0,-4.77884349543197
"2021-04-08",0,-4.61692129069613
"2021-04-09",0,-4.91391260819639
"2021-04-12",0,-8.18870583153642
"2021-04-13",0,-6.92192715228179
"2021-04-15",0,-6.42413345663402
"2021-04-16",0,-6.36977141801969
"2021-04-19",0,-8.06207969299351
"2021-04-20",0,-8.52919601731789
"2021-04-22",0,-7.81041624694276
"2021-04-23",0,-8.19815568123948
"2021-04-26",0,-7.22400827152827
"2021-04-27",0,-6.15480812140221
"2021-04-28",0,-4.64064290754601
"2021-04-29",0,-4.57909417971472
"2021-04-30",0,-6.46500890622932
"2021-05-03",0,-6.58741355766149
"2021-05-04",0,-7.47901565266455
"2021-05-05",0,-6.66596832000239
"2021-05-06",0,-6.14402808757675
"2021-05-07",0,-6.14402808757675
"2021-05-10",0,-5.08438863583061
"2021-05-11",0,-5.73745361560211
"2021-05-12",0,-6.64056549822
"2021-05-14",0,-6.56051427874138
"2021-05-17",0,-4.93421639084283
"2021-05-18",0,-3.75962686118392
"2021-05-19",0,-4.31699248325884
"2021-05-20",0,-4.96464435264327
"2021-05-21",0,-3.09399903136731
"2021-05-24",0,-2.88036591887226
"2021-05-25",0,-2.90791181507412
"2021-05-26",0,-2.17932193679612
"2021-05-27",0,-1.99199691027788
"2021-05-28",0,-1.40209720154201
"2021-05-31",0,-0.415470078293345
"2021-06-01",0,-0.420384369634519
"2021-06-02",0,-0.58412634014896
"2021-06-03",0,0
"2021-06-04",0,0
"2021-06-07",0,0
"2021-06-08",0,0
"2021-06-09",0,0
"2021-06-10",0,0
"2021-06-11",0,0
"2021-06-14",0,0
"2021-06-15",0,0
"2021-06-16",0,0
"2021-06-17",0,0
"2021-06-18",0,0
"2021-06-21",0,0
"2021-06-22",0,0
"2021-06-23",0,0
"2021-06-24",0,0
"2021-06-25",0,0
"2021-06-28",0,0
"2021-06-29",0,0
"2021-06-30",0,0
"2021-07-01",0,0
