"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",23.105
"B Annualized Returns",13.393
"AR DIFF(P-B)",9.712
"P Volatility",18.63
"B Volatility",15.57
"V DIFF(P-B)",3.06
"P Tracking Error",9.29
"B Tracking Error",NA
"IR",NA
"P Information Ratio",1.05
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",0.69
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.04
"B Beta Stat",NA
"RS",NA
"P R-Squared",75.06
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-38.4973
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",-0.427200000000006
