"","2014-01-06_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","2014-01-06_to_2024-11-04_^BSESN"
"2014-01-06",0,0
"2014-01-07",0,0
"2014-01-08",0,0
"2014-01-09",0,0
"2014-01-10",0,0
"2014-01-13",0,0
"2014-01-14",0,0
"2014-01-15",0,0
"2014-01-16",0,0
"2014-01-17",0,0
"2014-01-20",0,0
"2014-01-21",0,0
"2014-01-22",0,0
"2014-01-23",0,0
"2014-01-24",0,-1.12334318478098
"2014-01-27",0,-3.11697754422356
"2014-01-28",0,-3.22897827248118
"2014-01-29",0,-3.39838958591632
"2014-01-30",0,-4.09574875735211
"2014-01-31",0,-4.02275766100154
"2014-02-03",0,-5.44782979623959
"2014-02-04",0,-5.4353420457114
"2014-02-05",0,-5.20562189970197
"2014-02-06",0,-4.97304240894543
"2014-02-07",0,-4.66508903454906
"2014-02-10",0,-4.86295763618165
"2014-02-11",0,-4.72680808817207
"2014-02-12",0,-4.32855193834398
"2014-02-13",0,-5.52227001628854
"2014-02-14",0,-4.71066348857955
"2014-02-17",0,-4.25570672692948
"2014-02-18",0,-3.45963208208148
"2014-02-19",0,-3.04435602304438
"2014-02-20",0,-3.91612549839159
"2014-02-21",0,-3.14831362849293
"2014-02-24",0,-2.630441556744
"2014-02-25",0,-2.43846670652893
"2014-02-26",0,-1.80909964096746
"2014-02-28",0,-1.18622931789262
"2014-03-03",0,-1.99783584560161
"2014-03-04",0,-0.766975462931807
"2014-03-05",0,-0.452904646882601
"2014-03-06",0,0
"2014-03-07",0,0
"2014-03-10",0,0
"2014-03-11",0,0
"2014-03-12",0,0
"2014-03-13",0,0
"2014-03-14",0,0
"2014-03-18",0,0
"2014-03-19",0,0
"2014-03-20",0,0
"2014-03-21",0,0
"2014-03-24",0,0
"2014-03-25",0,0
"2014-03-26",0,0
"2014-03-27",0,0
"2014-03-28",0,0
"2014-03-31",0,0
"2014-04-01",0,0
"2014-04-02",0,0
"2014-04-03",0,0
"2014-04-04",0,0
"2014-04-07",0,0
"2014-04-09",0,0
"2014-04-10",0,0
"2014-04-11",0,0
"2014-04-15",0,0
"2014-04-16",0,0
"2014-04-17",0,0
"2014-04-21",0,0
"2014-04-22",0,0
"2014-04-23",0,0
"2014-04-25",0,-0.823848676812611
"2014-04-28",0,-1.07065344062341
"2014-04-29",0,-1.79375750507381
"2014-04-30",0,-2.00527848338787
"2014-05-02",0,-2.0660869027915
"2014-05-05",0,-1.88586063404499
"2014-05-06",0,-1.60915143086519
"2014-05-07",0,-2.41574440109568
"2014-05-08",0,-2.3277121286536
"2014-05-09",0,0
"2014-05-12",0,0
"2014-05-13",0,0
"2014-05-14",0,0
"2014-05-15",0,0
"2014-05-16",0,0
"2014-05-19",0,0
"2014-05-20",0,0
"2014-05-21",0,0
"2014-05-22",0,0
"2014-05-23",0,0
"2014-05-26",0,0
"2014-05-27",0,-0.677152739085185
"2014-05-28",0,-0.650526160865406
"2014-05-29",0,-1.95303344091334
"2014-05-30",0,-2.02104643461624
"2014-06-02",0,-0.129592212188423
