"Inception";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year1";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year2";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year3";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year4";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin";"Year5";"SymbolGuid";"SymbolTimeIndexValue";"UnitsFraction";"Bin"
"2019-01-04";"JSWSTEEL.BO";"288.100006103516";"0.004083549335";"Core";NA;"JSWSTEEL.BO";"268.200012207031";"0.005574687929";"Core";NA;"JSWSTEEL.BO";"389.549987792969";"0.004383045504";"Core";NA;"JSWSTEEL.BO";"667.099975585938";"0.029467142451";"Growth";NA;"JSWSTEEL.BO";"774.799987792969";"0.002421203079";"Core";NA;"JSWSTEEL.BO";"877.349975585938";"0.002612802287";"Core"
"2019-01-04";"KOTAKBANK.BO";"1246.699951171880";"0.000943667790";"Core";NA;"KOTAKBANK.BO";"1674.599975585940";"0.006504896778";"Growth";NA;"KOTAKBANK.BO";"1994.300048828120";"0.007705328952";"Growth";NA;"KOTAKBANK.BO";"1823.949951171880";"0.001197494482";"Core";NA;"KOTAKBANK.BO";"1825.849975585940";"0.001027438257";"Core";NA;"KOTAKBANK.BO";"1910.900024414060";"0.001199613791";"Core"
"2019-01-04";"LT.BO";"1389.300048828120";"0.000846808139";"Core";NA;"LT.BO";"1310.099975585940";"0.001141234561";"Core";NA;"LT.BO";"1296.750000000000";"0.001316688122";"Core";NA;"LT.BO";"1922.099975585940";"0.001136345679";"Core";NA;"LT.BO";"2088.800048828120";"0.000898098464";"Core";NA;"LT.BO";"3522.350097656250";"0.009761985433";"Growth"
"2019-01-04";"M.M.BO";"726.150024414062";"0.001620148108";"Core";NA;"M.M.BO";"536.599975585938";"0.002786305327";"Core";NA;"M.M.BO";"732.900024414062";"0.002329670168";"Core";NA;"M.M.BO";"829.700012207031";"0.002632481582";"Core";NA;"M.M.BO";"1262.900024414060";"0.022281432576";"Growth";NA;"M.M.BO";"1703.599975585940";"0.020183805376";"Growth"
"2019-01-04";"MARUTI.BO";"7237.399902343750";"0.000162554316";"Core";NA;"MARUTI.BO";"7311.850097656250";"0.000204480583";"Core";NA;"MARUTI.BO";"7691.600097656250";"0.000221984412";"Core";NA;"MARUTI.BO";"7519.700195312500";"0.000290459718";"Core";NA;"MARUTI.BO";"8406.650390625000";"0.000223150486";"Core";NA;"MARUTI.BO";"10281.750000000000";"0.000222952515";"Core"
"2019-01-04";"NESTLEIND.BO";"1087.829956054690";"0.007879382732";"Growth";NA;"NESTLEIND.BO";"1477.790039062500";"0.007371209508";"Growth";NA;"NESTLEIND.BO";"1845.104980468750";"0.008328381348";"Growth";NA;"NESTLEIND.BO";"1967.099975585940";"0.001110350276";"Core";NA;"NESTLEIND.BO";"1956.395019531250";"0.000958880031";"Core";NA;"NESTLEIND.BO";"2736.534912109380";"0.000837680533";"Core"
"2019-01-04";"NTPC.BO";"121.374511718750";"0.027463206946";"Value";NA;"NTPC.BO";"121.500000000000";"0.027463206946";"Value";NA;"NTPC.BO";"99.000000000000";"0.027463206946";"Value";NA;"NTPC.BO";"126.000000000000";"0.027463206946";"Value";NA;"NTPC.BO";"168.000000000000";"0.027463206946";"Value";NA;"NTPC.BO";"309.500000000000";"0.027463206946";"Value"
"2019-01-04";"POWERGRID.BO";"109.996871948242";"0.030303892050";"Value";NA;"POWERGRID.BO";"109.940628051758";"0.030303892050";"Value";NA;"POWERGRID.BO";"106.565628051758";"0.030303892050";"Value";NA;"POWERGRID.BO";"153.675003051758";"0.030303892050";"Value";NA;"POWERGRID.BO";"161.324996948242";"0.030303892050";"Value";NA;"POWERGRID.BO";"237.750000000000";"0.030303892050";"Value"
"2019-01-04";"RELIANCE.BO";"549.525024414062";"0.015597885793";"Growth";NA;"RELIANCE.BO";"754.849975585938";"0.014430814517";"Growth";NA;"RELIANCE.BO";"993.575012207031";"0.001718456384";"Core";NA;"RELIANCE.BO";"1202.175048828120";"0.001816848556";"Core";NA;"RELIANCE.BO";"1287.574951171880";"0.001456962264";"Core";NA;"RELIANCE.BO";"1294.925048828120";"0.001770250738";"Core"
"2019-01-04";"SBIN.BO";"297.500000000000";"0.003954522986";"Core";NA;"SBIN.BO";"334.350006103516";"0.004471755177";"Core";NA;"SBIN.BO";"279.350006103516";"0.006112100538";"Core";NA;"SBIN.BO";"470.850006103516";"0.004638780870";"Core";NA;"SBIN.BO";"612.250000000000";"0.045960345846";"Growth";NA;"SBIN.BO";"641.950012207031";"0.003570904244";"Core"
"2019-01-04";"SUNPHARMA.BO";"432.799987792969";"0.007701787032";"Value";NA;"SUNPHARMA.BO";"434.200012207031";"0.007701787032";"Value";NA;"SUNPHARMA.BO";"596.099975585938";"0.007701787032";"Value";NA;"SUNPHARMA.BO";"848.250000000000";"0.007701787032";"Value";NA;"SUNPHARMA.BO";"997.099975585938";"0.007701787032";"Value";NA;"SUNPHARMA.BO";"1259.900024414060";"0.007701787032";"Value"
"2019-01-04";"TATAMOTORS.BO";"170.750000000000";"0.019521717911";"Value";NA;"TATAMOTORS.BO";"184.399993896484";"0.019521717911";"Value";NA;"TATAMOTORS.BO";"186.449996948242";"0.019521717911";"Value";NA;"TATAMOTORS.BO";"497.450012207031";"0.019521717911";"Value";NA;"TATAMOTORS.BO";"394.799987792969";"0.019521717911";"Value";NA;"TATAMOTORS.BO";"790.500000000000";"0.019521717911";"Value"
"2019-01-04";"TATASTEEL.BO";"48.770000457764";"0.024122833242";"Core";NA;"TATASTEEL.BO";"46.775001525879";"0.031964325427";"Core";NA;"TATASTEEL.BO";"64.309997558594";"0.026549765006";"Core";NA;"TATASTEEL.BO";"114.315002441406";"0.171959319335";"Growth";NA;"TATASTEEL.BO";"119.250000000000";"0.015731221101";"Core";NA;"TATASTEEL.BO";"139.899993896484";"0.016385576290";"Core"
"2019-01-04";"TCS.BO";"1873.949951171880";"0.004573990125";"Growth";NA;"TCS.BO";"2169.800048828120";"0.000689064124";"Core";NA;"TCS.BO";"2928.199951171880";"0.000583093829";"Core";NA;"TCS.BO";"3818.149902343750";"0.000572049306";"Core";NA;"TCS.BO";"3260.649902343750";"0.000575329512";"Core";NA;"TCS.BO";"3810.600097656250";"0.000601569822";"Core"
"2019-01-04";"TECHM.BO";"681.250000000000";"0.001726929304";"Core";NA;"TECHM.BO";"761.950012207031";"0.001962243384";"Core";NA;"TECHM.BO";"977.549987792969";"0.001746627123";"Core";NA;"TECHM.BO";"1785.099975585940";"0.011012005086";"Growth";NA;"TECHM.BO";"1009.500000000000";"0.001858294320";"Core";NA;"TECHM.BO";"1298.099975585940";"0.001765921012";"Core"
"2019-01-04";"TITAN.BO";"928.549987792969";"0.009230982375";"Growth";NA;"TITAN.BO";"1154.849975585940";"0.001294654199";"Core";NA;"TITAN.BO";"1558.599975585940";"0.001095480142";"Core";NA;"TITAN.BO";"2523.750000000000";"0.000865446261";"Core";NA;"TITAN.BO";"2565.800048828120";"0.010967036093";"Growth";NA;"TITAN.BO";"3675.050048828120";"0.000623758042";"Core"
"2019-01-04";"ULTRACEMCO.BO";"3911.600097656250";"0.000852166185";"Value";NA;"ULTRACEMCO.BO";"4062.800048828120";"0.000852166185";"Value";NA;"ULTRACEMCO.BO";"5289.899902343750";"0.000852166185";"Value";NA;"ULTRACEMCO.BO";"7721.700195312500";"0.000852166185";"Value";NA;"ULTRACEMCO.BO";"7010.250000000000";"0.000852166185";"Value";NA;"ULTRACEMCO.BO";"10461.299804687500";"0.000852166185";"Value"
