"","2018-01-04_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","2018-01-04_to_2024-11-04_^BSESN"
"2018-01-04",0,0
"2018-01-05",0,0
"2018-01-08",0,0
"2018-01-09",0,0
"2018-01-10",0,0
"2018-01-11",0,0
"2018-01-12",0,0
"2018-01-15",0,0
"2018-01-16",0,0
"2018-01-17",0,0
"2018-01-18",0,0
"2018-01-19",0,0
"2018-01-22",0,0
"2018-01-23",0,0
"2018-01-24",0,0
"2018-01-25",0,0
"2018-01-29",0,0
"2018-01-30",0,-0.687692565949094
"2018-01-31",0,-0.877064783985826
"2018-02-01",0,-1.03790992690722
"2018-02-02",0,-3.35277861856866
"2018-02-05",0,-4.206044313305
"2018-02-07",0,-6.06488238409577
"2018-02-08",0,-5.1541318711093
"2018-02-09",0,-6.27696765898508
"2018-02-12",0,-5.46472777427679
"2018-02-14",0,-5.86303015584284
"2018-02-15",0,-5.47299472778084
"2018-02-16",0,-6.26318628236225
"2018-02-19",0,-6.91389757272697
"2018-02-20",0,-7.10977662279688
"2018-02-21",0,-6.72042464615706
"2018-02-22",0,-6.79031457583741
"2018-02-23",0,-5.90106937677938
"2018-02-26",0,-5.06431886435464
"2018-02-27",0,-5.33815818829573
"2018-02-28",0,-5.78561289817013
"2018-03-01",0,-6.16346791115994
"2018-03-07",0,-8.95773564492208
"2018-03-08",0,-8.07997804716583
"2018-03-09",0,-8.20242819991722
"2018-03-12",0,-6.51900308592361
"2018-03-13",0,-6.6875721661506
"2018-03-14",0,-6.7455625512062
"2018-03-15",0,-7.15952814139319
"2018-03-16",0,-8.5638616540779
"2018-03-19",0,-9.26082294479369
"2018-03-20",0,-9.05786595944736
"2018-03-21",0,-8.67361646260337
"2018-03-22",0,-9.03166074669783
"2018-03-23",0,-10.1609097431243
"2018-03-26",0,-8.8659003709456
"2018-03-27",0,-8.56829940714803
"2018-03-28",0,-9.13525513007531
"2018-04-02",0,-8.3451384742799
"2018-04-03",0,-8.02744591113952
