"","2024-11-2023-11","2023-01-2024-11"
"Annualized Returns",,
"2023-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","29.05","22.544"
"2023-01-03_to_2024-11-04_^BSESN","24.412","15.447"
"Volatility",,
"2023-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","16.01","13.74"
"2023-01-03_to_2024-11-04_^BSESN","12.84","10.91"
"Tracking Error",,
"2023-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","5.92","5.36"
"2023-01-03_to_2024-11-04_^BSESN","-","-"
"Information Ratio",,
"2023-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","0.78","1.32"
"2023-01-03_to_2024-11-04_^BSESN","-","-"
"Alpha Stat",,
"2023-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-0.15","0.28"
"2023-01-03_to_2024-11-04_^BSESN","-","-"
"Beta Stat",,
"2023-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","1.17","1.17"
"2023-01-03_to_2024-11-04_^BSESN","-","-"
"R-Squared",,
"2023-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","86.9","85.96"
"2023-01-03_to_2024-11-04_^BSESN","-","-"
"Max Drawdown",,
"2023-01-03_to_2024-11-04_Core20-80V20_G60Portfolio_7QRank","-10.6981","-10.6981"
"2023-01-03_to_2024-11-04_^BSESN","-7.5109","-7.5109"
