"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",29.901
"B Annualized Returns",13.815
"AR DIFF(P-B)",16.086
"P Volatility",27.86
"B Volatility",18.39
"V DIFF(P-B)",9.47
"P Tracking Error",17.52
"B Tracking Error",NA
"IR",NA
"P Information Ratio",0.92
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",1.07
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.19
"B Beta Stat",NA
"RS",NA
"P R-Squared",61.9
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-53.0706
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",-15.0005
