"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",19.37
"B Annualized Returns",12.5
"AR DIFF(P-B)",6.87
"P Volatility",18.81
"B Volatility",15.73
"V DIFF(P-B)",3.08
"P Tracking Error",8.93
"B Tracking Error",NA
"IR",NA
"P Information Ratio",0.77
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",0.5
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.05
"B Beta Stat",NA
"RS",NA
"P R-Squared",77.52
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-38.4719
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",-0.401800000000001
