"","Core20-80V20_G60"
"1",NA
"P Annualized Returns",19.179
"B Annualized Returns",14.778
"AR DIFF(P-B)",4.401
"P Volatility",20.24
"B Volatility",17.88
"V DIFF(P-B)",2.36
"P Tracking Error",6.93
"B Tracking Error",NA
"IR",NA
"P Information Ratio",0.64
"B Information Ratio",NA
"AS",NA
"P Alpha Stat",0.27
"B Alpha Stat",NA
"BS",NA
"P Beta Stat",1.07
"B Beta Stat",NA
"RS",NA
"P R-Squared",88.44
"B R-Squared",NA
"MD",NA
"P Max Drawdown",-37.6274
"B Max Drawdown",-38.0701
"MD DIFF(P-B)",0.442699999999995
