"","1 Y 2018-01-23 to 2019-01-24","1 Y 2018-02-23 to 2019-02-24","1 Y 2018-03-23 to 2019-03-24","1 Y 2018-04-23 to 2019-04-24","1 Y 2018-05-23 to 2019-05-24","1 Y 2018-06-25 to 2019-06-24","1 Y 2018-07-23 to 2019-07-24","1 Y 2018-08-23 to 2019-08-24","1 Y 2018-09-24 to 2019-09-24","1 Y 2018-10-23 to 2019-10-24","1 Y 2018-11-26 to 2019-11-24","1 Y 2018-12-24 to 2019-12-24","1 Y 2019-01-23 to 2020-01-24","1 Y 2019-02-25 to 2020-02-24","1 Y 2019-03-25 to 2020-03-24","1 Y 2019-04-23 to 2020-04-24","1 Y 2019-05-23 to 2020-05-24","1 Y 2019-06-24 to 2020-06-24","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-5.679,-6.241,10.148,19.078,37.011,24.213,3.417,-5.003,10.818,28.711,17.901,31.781,33.249,54.611,-9.412,4.923,-1.444,8.799,25.544,16.671,12.157,7.77,31.621,109.212,93.456,124.737,156.542,77.19,75.475,119.329,98.702,163.461,189.706,74.796,144.561,125.515,142.649,85.424,82.808,64.533
"B Annualized Returns",-3.943,-0.118,11.754,6.82,9.439,8.097,1.152,-8.968,4.912,12.907,10.617,11.865,10.988,10.81,-33.434,-20.638,-21.569,-10.354,-0.721,2.883,-4.179,1.995,6.971,11.512,19.711,24.805,95.341,54.886,67.243,50.783,43.514,44.169,61.075,56.706,37.425,26.499,28.604,16.09,16.42,22.09
"AR DIFF(P-B)",-1.736,-6.123,-1.606,12.258,27.572,16.116,2.265,3.965,5.906,15.804,7.284,19.916,22.261,43.801,24.022,25.561,20.125,19.153,26.265,13.788,16.336,5.775,24.65,97.7,73.745,99.932,61.201,22.304,8.232,68.546,55.188,119.292,128.631,18.09,107.136,99.016,114.045,69.334,66.388,42.443
"P Volatility",28.13,24.53,22.92,24.77,26.28,25.63,22,21.68,15.58,17.55,21.36,21.22,20.24,20.9,22.59,36.78,37.43,37.95,32.61,31.8,36.25,35.22,40.15,57.03,46.81,53.78,26.99,22.22,20.86,31.52,39.69,38.45,40.82,27.3,52.11,51.82,49.87,37.59,30.96,32.7
"B Volatility",15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",12.67,9.99,8.75,10.07,11.55,11.1,9.19,7.67,3.34,5.73,9.71,9.5,8.65,9.32,11.51,7.42,4.96,5.48,-0.950000000000003,-2.59,2.08,1.23,6.07,21.03,10.21,17.58,10.47,5.3,4.5,15.88,24.3,22.79,25.19,11.66,38.68,37.72,36.03,26.3,17.43,17.43
"P Tracking Error",22.26,17.09,16.46,19.12,18.53,17.5,16.3,13.58,13.96,12.34,15.45,14.65,16.48,16.45,14.94,13.19,12.1,13.26,10.6,10.89,13.5,14.25,15.18,32.21,26.03,29.79,24.44,22.98,19.62,34.2,39.19,36.51,37.7,23.19,48.23,48.56,46.33,36.12,24.23,25.96
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.08,-0.36,-0.1,0.64,1.49,0.92,0.14,0.29,0.42,1.28,0.47,1.36,1.35,2.66,1.61,1.94,1.66,1.44,2.48,1.27,1.21,0.41,1.62,3.03,2.83,3.35,2.5,0.97,0.42,2,1.41,3.27,3.41,0.78,2.22,2.04,2.46,1.92,2.74,1.63
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.3,-0.32,0.43,1.07,1.54,1.21,0.99,-0.32,0.78,0.35,0.83,1.24,1.14,2.38,2.63,3.23,2.63,2.21,2.06,0.87,1.73,0.71,0.96,6.45,4.79,4.54,4.06,3.55,1.65,8.09,5.32,6.03,6.15,1.43,3.56,5.72,5.63,6.03,3.02,2.07
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.12,1.23,1.13,1.07,1.3,1.33,1.16,1.23,0.66,1.06,1.3,1.36,1.01,1.12,1.67,1.18,1.1,1.1,0.92,0.88,0.98,0.95,1.09,1.36,1.06,1.26,0.74,0.44,0.59,0.14,0.58,0.8,1,0.92,1.58,1.33,1.39,0.93,1.52,1.35
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",30.87,48.17,43.46,34.06,47.89,52.09,39.99,58.83,18.76,45.21,44.79,51.4,26.27,31.7,63.37,88.08,89.15,87.25,88.97,88.93,84.61,82.08,84.82,70.15,65.92,69.43,11.69,1.33,12.95,-10.57,-5.42,0.57,5.21,20.01,7.35,3.33,5.36,-2.52,37.57,32.89
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.0231,-15.9258,-16.5045,-16.6405,-18.7478,-17.8115,-19.9622,-18.2905,-10.761,-11.1375,-11.3842,-11.558,-8.9538,-11.2836,-38.8964,-36.3363,-35.648,-35.8558,-32.0081,-31.6987,-35.3026,-36.2077,-40.2146,-41.6864,-36.5882,-38.3081,-8.778,-9.0386,-8.2083,-12.7454,-26.8003,-23.302,-21.2175,-13.9553,-23.0708,-22.3239,-23.1664,-21.1841,-17.4656,-15.9628
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-10.2422,-14.3334,-14.3333
"MD DIFF(P-B)",-4.0442,-1.9469,-2.5256,-2.6616,-4.7689,-3.8326,-5.9833,-4.3116,0.516500000000001,0.140000000000001,-0.1067,-0.2805,2.3237,-0.00609999999999999,-0.590899999999998,1.9692,2.6575,2.4497,6.2974,6.6068,3.0029,2.0978,-1.9091,-3.3809,1.0186,-2.64980000000001,-1.4309,-1.6915,-1.3065,-5.8436,-19.8985,-16.4002,-14.88,-7.6178,-16.7333,-12.0817,-12.9242,-10.9419,-3.1322,-1.6295
