"","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",3.819,8.582,2.157,4.532,10.696,-3.997,-3.715,-1.303,0.793,3.305,0.627,5.198,9.41,15.717,20.643,25.099,36.433,35.79,21.364,42.86,43.693,55.745,77.64,110.787,96.487,83.648,71.725,64.366,51.917,101.11,99.05
"B Annualized Returns",4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-1.144,3.253,-3.558,1.258,6.289,9.497,3.774,6.352,3.654,3.789,2.366,6.909,2.508,5.983,8.956,9.865,19.342,22.706,10.545,29.489,27.598,36.41,54.67,86.552,70.866,62.698,52.293,45.182,34.359,52.062,60.853
"P Volatility",17.68,19.84,17.45,19.64,17.96,18.38,28.58,29.09,28.67,27.42,31.2,33.9,27.65,27.51,30.08,29.9,30.06,34,32.82,39.44,36.49,41.62,40.99,46.89,43.59,42.83,42.2,41.56,34.5,23.39,23.14
"B Volatility",13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",4.36,6.34,3.98,6.44,5.33,5.62,5.79,4.67,4.27,2.76,6.06,9.19,3.24,3.17,4.54,3.93,4.08,7.6,6.25,12.88,9.85,15.64,15.1,20.72,17.44,16.67,15.7,15.1,8.36,6.57,7.13
"P Tracking Error",13.2,13.22,14.23,15.92,11.11,10.99,10.38,11.98,13.33,12.38,10.35,14.23,10.63,11.64,11.12,11.86,11.55,12.96,13.51,19.93,17.3,23.75,23.17,31.5,26.91,26.37,25.03,22.11,17.27,15.59,17.15
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
