"","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.277,5.385,6.299,10.43,19.706,14.551,14.844,23.487,31.613,17.954,36.321,48.213,35.784,52.155,36.967,42.824,40.727,46.819,45.866,44.358,43.906,58.644,62.518,120.772,47.286
"B Annualized Returns",-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",8.764,6.859,4.307,7.46,15.699,12.42,10.777,16.973,23.991,9.474,24.895,36.249,25.969,39.516,23.733,30.416,28.759,29.453,25.075,26.621,27.476,42.509,48.345,105.903,32.701
"P Volatility",33.55,32.5,31.62,36.59,38.11,37.96,36.38,30.46,31.02,24.09,32.89,36.98,28.75,34.41,30.26,29.61,26.43,27.15,24.69,23.3,25.68,32.04,35.27,45.39,37.29
"B Volatility",19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",13.6,11.49,10.62,15.3,16.43,16.28,14.96,8.99,8.67,1.42,10.46,14.18,5.91,11.57,7.38,7,3.85,4.72,2.58,1.23,3.36,9.77,13.03,22.79,14.37
"P Tracking Error",19.51,19.07,20.04,20.67,22.1,23.4,21.84,18.11,16.81,11.73,17.75,19.96,17.36,22.53,16.77,16.83,16.99,15.54,14.87,16.8,17.96,23.62,24.2,37.52,23.39
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
