"","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.299,15.755,16.453,5.994,5.746,8.137,6.696,5.842,4.48,14.195,14.499,-4.874,-5.365,-1.568,5.288,6.847,5.28,7.156,15.781,16.153,19.953,19.762,23.143,20.259,65.049,27.791,73.531,57.747,76.617,80.086,50.686,40.36,40.801,39.755,45.549,86.312,105.857
"B Annualized Returns",11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-1.134,5.343,6.786,1.127,3.213,1.155,1.733,0.513,-1.235,10.921,10.092,8.62,2.124,6.087,8.149,7.331,7.019,8.867,8.879,6.419,8.266,4.528,6.052,7.175,54.23,14.42,57.436,38.412,53.647,55.851,25.065,19.41,21.369,20.571,27.991,37.264,67.66
"P Volatility",13.77,14.71,15.45,13.11,15.31,15.01,14.06,14.8,15.54,17.95,15.91,14.66,27.04,28.7,29.23,28.63,29.45,26.1,27.44,29.01,29.52,29.86,28.12,28.42,32.79,25.47,30.84,31.46,36.44,35.96,30.48,28.38,30.8,31.06,32.38,23.89,30.21
"B Volatility",13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",0.4,1.38,2.16,0.359999999999999,1.65,1.38,0.74,1.3,2.07,4.75,3.28,1.9,4.25,4.28,4.83,3.97,4.31,1.39,3.03,4.67,3.98,3.89,2.14,2.02,6.22,-1.09,4.2,5.48,10.55,9.79,4.33,2.22,4.3,4.6,6.24,7.07,14.2
"P Tracking Error",7.19,7.48,7.9,6.87,7.75,8.8,8.08,8.34,7.53,9.1,8.4,6.86,9.33,10.47,10.76,10.82,10.77,8.85,8.82,9.84,9.04,8.37,6.87,5.53,18.08,10.49,19.66,19.1,23.83,22.35,13.57,13.66,18.18,16.79,20.3,14.82,23.7
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
