"","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-10.313,-12.011,-16.681,-15.882,-18.909,-5.751,-3.576,-6.659,-15.427,-6.472,-29.682,-15.802,-2.74,1.671,5.296,9.047,2.529,-36.643,-44.439,-42.899,-21.003,-14.588,5.767,-5.877,6.295,3.747,12.398,32.443,69.921,229.027,235.018,231.989,190.466,151.41,107.749,149.824,203.798,100.346,46.332,19.969,-3.357,1.574,10.602
"B Annualized Returns",-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-8.94,-12.184,-18.783,-12.051,-18.791,-17.505,-11.414,-15.387,-22.342,-6.226,-19.776,-20.55,-14.445,-8.946,-6.569,-1.878,-5.532,-4.871,-23.801,-19.267,-8.6,-13.867,1.729,-0.24,4.002,-4.206,-0.326000000000001,11.971,42.613,141.597,178.926,162.664,136.602,105.952,62.469,83.805,147.092,64.835,21.821,-3.39,-11.911,-16.951,-11.488
"P Volatility",21.79,20.1,17.92,23,18.6,16.86,14.76,18.38,19.96,19.61,17.81,14.77,17.25,23.2,23.57,26.11,26.13,29.44,45.2,54.48,49.07,56.38,59.33,61.98,57.96,53.19,62.42,57.32,51.93,36.33,39.8,42.37,34.99,33.79,36.92,29.16,34.49,22.91,19.46,19.74,19,17.71,18.4
"B Volatility",14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",7.12,4.43,1.84,7.54,4.06,2.69,0.0600000000000005,3.65,5.43,6.8,3.8,2.53,5.43,11.55,11.85,14.52,14.55,18.36,15.84,22.01,16.6,22.82,24.94,27.81,23.97,19.11,26.42,20.72,15.73,19.81,22.88,26.01,19.35,18.4,21.26,13.53,18.85,9.48,5.36,5.9,7.71,4.18,3.13
"P Tracking Error",18.26,16.75,17.43,21.32,17.41,14.61,10.18,16.88,20.57,16.96,9.84,14.46,12.48,15.24,15.71,20.96,18.62,21.28,23.65,28.33,24.1,28.39,31.61,34.83,29.75,26.82,31.95,27.86,23.54,27.05,30.55,32.6,27.72,25.47,27.64,20.84,24.39,15.26,11.27,11.49,15.92,8.97,8.47
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
