"","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.691,5.704,9.971,12.996,7.895,-9.322,-3.603,-3.651,3.859,1.82,4.425,5.132,15.016,12.633,17.5,23.407,31.024,25.556,40.566,32.098,37.485,35.452,26.275,29.562,29.884,33.812,27.472,32.894,55.263,104.155,103.957
"B Annualized Returns",4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",3.728,0.375,4.256,9.722,3.488,4.172,3.886,4.004,6.72,2.304,6.164,6.843,8.114,2.899,5.813,8.173,13.933,12.472,29.747,18.727,21.39,16.117,3.305,5.327,4.263,12.862,8.04,13.71,37.705,55.107,65.76
"P Volatility",16.03,15.51,17.46,17.21,15.66,15.44,21.68,28.14,28.32,29.54,26.71,23.27,29.09,29.26,30.76,31.1,30.24,29.34,30.91,26.71,28.42,25.49,25.58,25.07,25.95,25.67,25.26,25.3,33.07,31.46,30.78
"B Volatility",13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",2.71,2.01,3.99,4.01,3.03,2.68,-1.11,3.72,3.92,4.88,1.57,-1.44,4.68,4.92,5.22,5.13,4.26,2.94,4.34,0.150000000000002,1.78,-0.490000000000002,-0.310000000000002,-1.1,-0.199999999999999,-0.489999999999998,-1.24,-1.16,6.93,14.64,14.77
"P Tracking Error",8.32,9.12,9.14,8.3,8.69,8.66,9.85,10.26,8.82,9.49,10.86,9.49,9.34,8.45,9.88,9.96,9.35,8.95,13.77,11.51,11.03,11.03,8.14,8.63,8.85,8.57,8.8,11.26,20.54,24.35,23.77
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.45,0.04,0.47,1.17,0.4,0.48,0.39,0.39,0.76,0.24,0.57,0.72,0.87,0.34,0.59,0.82,1.49,1.39,2.16,1.63,1.94,1.46,0.41,0.62,0.48,1.5,0.91,1.22,1.84,2.26,2.77
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.08,0.13,0.35,0.56,0.2,-0.11,0.02,0.55,0.81,0.56,0.45,0.63,0.59,0.21,0.42,0.6,0.52,0.74,1.97,1.29,1.66,1.26,0.31,0.52,0.45,0.8,0.87,1.27,2.81,2.66,2.89
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.03,0.93,1.11,1.15,1.03,1,0.86,1.08,1.11,1.14,0.97,0.87,1.14,1.16,1.15,1.14,1.11,1.06,1.04,0.91,0.98,0.89,0.94,0.9,0.94,0.93,0.9,0.87,0.99,1.2,1.25
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",71.84,64.11,72.04,77.04,67.84,67.07,80.66,86.51,90.76,90.68,82.74,84.57,90.59,93.16,90.82,90.75,90.97,90.57,79.35,81.34,84.25,81.67,89.78,88.63,88.26,88.9,88.45,81.28,59.59,38.43,39.25
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.7116,-16.9375,-19.3216,-20.1229,-18.1593,-33.4913,-33.0102,-37.1674,-37.1074,-38.1206,-34.0743,-33.0196,-37.4854,-38.3434,-37.3597,-38.5034,-37.5562,-35.6123,-36.1284,-34.5581,-34.9382,-33.2552,-34.3219,-32.5695,-33.8901,-32.4456,-32.28,-33.6634,-31.9136,-18.2735,-17.0185
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-1.7327,-2.9586,-5.3427,-6.144,-4.1804,4.8142,5.2953,1.1381,1.1981,0.184899999999999,4.2312,5.28590000000001,0.820100000000004,-0.0379000000000005,0.945800000000006,-0.197899999999997,0.749300000000005,2.6932,2.1771,3.7474,3.3673,5.0503,3.9836,5.736,4.41540000000001,5.8599,6.0255,3.9434,3.5389,-3.9401,-2.6851
