"","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.07,1.01,1.08,0.99,1,0.99,1.09,1.1,1.07,1.03,1.09,1.08,1.09,1.11,1.05,1.06,1.08,1.06,1.16,1.03,1.1,1.19,1.26,1.29,1.15,1.22,1.16,1.27,1.23,1.18,1.17,1.22,1.07,1.02
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",55.85,50.79,49.81,49.37,54.3,54,67.46,63.57,55.48,86.68,88.38,87.06,86.95,88.16,83.77,89.01,88.94,88.92,90.03,88.69,87.53,80.33,81.57,60.54,77.22,78.25,82.23,69.01,76.23,63.25,61.17,69.41,56.35,49.52
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-17.9249,-17.2426,-16.8532,-16.5412,-16.0918,-16.7504,-16.9393,-15.8858,-36.4854,-36.3874,-35.3066,-35.5752,-35.6814,-37.6764,-37.131,-37.4054,-37.3323,-36.8941,-37.8495,-35.3619,-36.7922,-38.8436,-40.2624,-40.4449,-38.8469,-41.9376,-40.8129,-40.9987,-41.4168,-40.4773,-39.8403,-37.4794,-11.7893,-11.8841
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-3.946,-3.2637,-2.8743,-2.5623,-2.1129,-2.7715,-2.9604,-1.9069,1.8201,1.9181,2.9989,2.7303,2.62410000000001,0.629100000000001,1.1745,0.900100000000002,0.973200000000006,1.4114,0.456000000000003,2.9436,1.5133,-0.5381,-1.9569,-2.13939999999999,-0.541399999999996,-3.6321,-2.5074,-2.6932,-3.1113,-2.1718,-2.2335,-2.0269,2.5441,2.4493
