"","2 Y 2018-01-23 to 2020-01-24","2 Y 2018-02-23 to 2020-02-24","2 Y 2018-03-23 to 2020-03-24","2 Y 2018-04-23 to 2020-04-24","2 Y 2018-05-23 to 2020-05-24","2 Y 2018-06-25 to 2020-06-24","2 Y 2018-07-23 to 2020-07-24","2 Y 2018-08-23 to 2020-08-24","2 Y 2018-09-24 to 2020-09-24","2 Y 2018-10-23 to 2020-10-24","2 Y 2018-11-26 to 2020-11-24","2 Y 2018-12-24 to 2020-12-24","2 Y 2019-01-23 to 2021-01-24","2 Y 2019-02-25 to 2021-02-24","2 Y 2019-03-25 to 2021-03-24","2 Y 2019-04-23 to 2021-04-24","2 Y 2019-05-23 to 2021-05-24","2 Y 2019-06-24 to 2021-06-24","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",0.506,-1.294,-17.073,-7.4,-3.022,-3.326,-3.66,-5.275,-5.26,-1.748,-6.809,-3.903,15.033,22.669,16.316,10.533,27.418,27.05,34.842,53.3,50.35,72.096,63.616,54.396,35.536,44.356,136.975,132.709
"B Annualized Returns",3.253,5.693,-14.526,-7.489,-7.332,-2.111,-0.484,-1.85,0.185,7.313,9.236,11.687,15.261,16.143,14.115,11.458,13.695,16.263,18.891,22.471,24.235,25.403,21.266,18.759,21.249,20.369,50.803,37.754
"AR DIFF(P-B)",-2.747,-6.987,-2.547,0.0889999999999995,4.31,-1.215,-3.176,-3.425,-5.445,-9.061,-16.045,-15.59,-0.228,6.526,2.201,-0.925000000000001,13.723,10.787,15.951,30.829,26.115,46.693,42.35,35.637,14.287,23.987,86.172,94.955
"P Volatility",17.5,16.29,18.5,23.44,31.45,31.77,33.34,34.84,38.7,33.81,37.89,41.43,37.89,39.86,44.75,38.74,48.78,43.69,47.82,49.21,45.97,46.09,47,45.8,39.97,36.83,31.68,31.14
"B Volatility",13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",4.3,3.66,5.74,0.650000000000002,7.03,7.37,8.68,9.7,13.99,9.4,13.55,15.89,11.92,13.88,18.35,12.17,22.22,17.05,21.84,23.32,19.8,19.94,20.84,19.3,13.51,10.69,14.86,15.13
"P Tracking Error",16.4,16.11,16.68,15.04,19.14,18.66,20.66,19.21,19.71,16.08,20.99,24.94,22.17,23.08,29.09,20.66,29.91,25.06,29.37,31.19,28.42,28.03,29.22,29.46,25.18,22.33,23.7,24.76
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.17,-0.43,-0.15,0.01,0.23,-0.07,-0.15,-0.18,-0.28,-0.56,-0.76,-0.63,-0.01,0.28,0.08,-0.04,0.46,0.43,0.54,0.99,0.92,1.67,1.45,1.21,0.57,1.07,3.64,3.84
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.12,-0.29,-0.54,-0.73,0.53,0.28,0.13,-0.36,-0.29,-0.46,-1.27,-1.24,-0.53,0.1,0.16,0.03,1,0.42,1.22,1.86,1.51,1.54,2.14,2.38,1.3,2.63,3.72,3.95
