"","1 Y 2018-01-23 to 2019-01-24","1 Y 2018-02-23 to 2019-02-24","1 Y 2018-03-23 to 2019-03-24","1 Y 2018-04-23 to 2019-04-24","1 Y 2018-05-23 to 2019-05-24","1 Y 2018-06-25 to 2019-06-24","1 Y 2018-07-23 to 2019-07-24","1 Y 2018-08-23 to 2019-08-24","1 Y 2018-09-24 to 2019-09-24","1 Y 2018-10-23 to 2019-10-24","1 Y 2018-11-26 to 2019-11-24","1 Y 2018-12-24 to 2019-12-24","1 Y 2019-01-23 to 2020-01-24","1 Y 2019-02-25 to 2020-02-24","1 Y 2019-03-25 to 2020-03-24","1 Y 2019-04-23 to 2020-04-24","1 Y 2019-05-23 to 2020-05-24","1 Y 2019-06-24 to 2020-06-24","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-6.126,-7.378,3.707,5.118,13.801,4.846,-2.989,-15.065,1.257,16.727,7.418,10.45,20.347,28.493,-28.063,-12.196,-20.522,-3.538,4.243,8.776,0.83,6.534,17.696,52.755,49.136,81.844,191.086,149.245,165.227,144.984,119.668,128.007,158.753,131.447,128.652,92.353,84.912,32.882,37.897,30.457
"B Annualized Returns",-3.943,-0.118,11.754,6.82,9.439,8.097,1.152,-8.968,4.912,12.907,10.617,11.865,10.988,10.81,-33.434,-20.638,-21.569,-10.354,-0.721,2.883,-4.179,1.995,6.971,11.512,19.711,24.805,95.341,54.886,67.243,50.783,43.514,44.169,61.075,56.706,37.425,26.499,28.604,16.09,16.42,22.09
"AR DIFF(P-B)",-2.183,-7.26,-8.047,-1.702,4.362,-3.251,-4.141,-6.097,-3.655,3.82,-3.199,-1.415,9.359,17.683,5.371,8.442,1.047,6.816,4.964,5.893,5.009,4.539,10.725,41.243,29.425,57.039,95.745,94.359,97.984,94.201,76.154,83.838,97.678,74.741,91.227,65.854,56.308,16.792,21.477,8.367
"P Volatility",19.82,17.59,16.89,16.95,17.64,16.85,16.21,16.88,12.91,14.3,17.99,18.1,17.33,18.85,20.87,35.02,40.68,40.85,39.52,41.21,42.69,42.71,43.65,52.47,46.48,46.38,26.79,24.1,26.92,24.9,27.43,28.93,28.2,23.94,26.19,26.42,28.89,20.21,19.22,19.68
"B Volatility",15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",4.36,3.05,2.72,2.25,2.91,2.32,3.4,2.87,0.67,2.48,6.34,6.38,5.74,7.27,9.79,5.66,8.21,8.38,5.96,6.82,8.52,8.72,9.57,16.47,9.88,10.18,10.27,7.18,10.56,9.26,12.04,13.27,12.57,8.3,12.76,12.32,15.05,8.92,5.69,4.41
"P Tracking Error",13.36,9.94,10.8,10.88,10.34,8.79,9.77,7.05,8.57,6.95,11.23,11.71,11.97,12.67,13.16,10.01,12.55,14.02,11.72,13.4,15.26,14.63,16.28,24.64,21.23,19.29,17.94,17.25,19.22,21.03,21.83,22.46,20.95,15.29,21.32,21.67,23.65,18.44,10.74,10.48
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
