"","1 Y 2018-01-23 to 2019-01-24","1 Y 2018-02-23 to 2019-02-24","1 Y 2018-03-23 to 2019-03-24","1 Y 2018-04-23 to 2019-04-24","1 Y 2018-05-23 to 2019-05-24","1 Y 2018-06-25 to 2019-06-24","1 Y 2018-07-23 to 2019-07-24","1 Y 2018-08-23 to 2019-08-24","1 Y 2018-09-24 to 2019-09-24","1 Y 2018-10-23 to 2019-10-24","1 Y 2018-11-26 to 2019-11-24","1 Y 2018-12-24 to 2019-12-24","1 Y 2019-01-23 to 2020-01-24","1 Y 2019-02-25 to 2020-02-24","1 Y 2019-03-25 to 2020-03-24","1 Y 2019-04-23 to 2020-04-24","1 Y 2019-05-23 to 2020-05-24","1 Y 2019-06-24 to 2020-06-24","1 Y 2019-07-23 to 2020-07-24","1 Y 2019-08-23 to 2020-08-24","1 Y 2019-09-23 to 2020-09-24","1 Y 2019-10-23 to 2020-10-24","1 Y 2019-11-25 to 2020-11-24","1 Y 2019-12-23 to 2020-12-24","1 Y 2020-01-23 to 2021-01-24","1 Y 2020-02-24 to 2021-02-24","1 Y 2020-03-23 to 2021-03-24","1 Y 2020-04-23 to 2021-04-24","1 Y 2020-05-26 to 2021-05-24","1 Y 2020-06-23 to 2021-06-24","1 Y 2020-07-23 to 2021-07-24","1 Y 2020-08-24 to 2021-08-24","1 Y 2020-09-23 to 2021-09-24","1 Y 2020-10-23 to 2021-10-24","1 Y 2020-11-23 to 2021-11-24","1 Y 2020-12-23 to 2021-12-24","1 Y 2021-01-25 to 2022-01-24","1 Y 2021-02-23 to 2022-02-24","1 Y 2021-03-23 to 2022-03-24","1 Y 2021-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",1.446,0.954,7.955,-0.022,1.957,0.931,-3.174,-6.653,8.931,14.667,12.986,14.353,22.167,19.88,-20.473,-13.641,-6.529,0.876,9.59,18.8,6.323,10.739,17.062,22.986,20.649,33.872,132.848,127.151,195.066,112.889,112.227,67.841,95.441,107.83,33.499,27.607,36.705,10.21,15.971,25.205
"B Annualized Returns",-3.943,-0.118,11.754,6.82,9.439,8.097,1.152,-8.968,4.912,12.907,10.617,11.865,10.988,10.81,-33.434,-20.638,-21.569,-10.354,-0.721,2.883,-4.179,1.995,6.971,11.512,19.711,24.805,95.341,54.886,67.243,50.783,43.514,44.169,61.075,56.706,37.425,26.499,28.604,16.09,16.42,22.09
"AR DIFF(P-B)",5.389,1.072,-3.799,-6.842,-7.482,-7.166,-4.326,2.315,4.019,1.76,2.369,2.488,11.179,9.07,12.961,6.997,15.04,11.23,10.311,15.917,10.502,8.744,10.091,11.474,0.938000000000002,9.067,37.507,72.265,127.823,62.106,68.713,23.672,34.366,51.124,-3.92599999999999,1.108,8.101,-5.88,-0.449000000000002,3.115
"P Volatility",18.68,20.32,20.23,18.83,17.59,17.47,16.72,17.2,13.04,12.31,12.78,13.19,13.45,11.41,13.09,30.79,35.93,35.89,37.64,38.81,37.87,37.52,34.21,34.49,39.08,36,24.23,23.71,25.46,21.05,23.99,21.47,23.18,31.91,12.72,12.75,10.31,10.25,11.17,11.48
"B Volatility",15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",3.22,5.78,6.06,4.13,2.86,2.94,3.91,3.19,0.799999999999999,0.49,1.13,1.47,1.86,-0.17,2.01,1.43,3.46,3.42,4.08,4.42,3.7,3.53,0.130000000000003,-1.51,2.48,-0.200000000000003,7.71,6.79,9.1,5.41,8.6,5.81,7.55,16.27,-0.709999999999999,-1.35,-3.53,-1.04,-2.36,-3.79
"P Tracking Error",7.1,10.06,9.81,8.23,8.54,8.62,7.26,7.89,6.03,5.81,5.8,5.93,5.06,7.42,7.55,9.7,10.93,9.17,10.77,11.07,10.25,11.48,8.66,8.71,5.87,8.68,10.62,16.14,23.8,16.42,17.68,14.65,16.03,26.77,12.04,11.01,11.73,12.7,8.97,7.98
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.76,0.11,-0.39,-0.83,-0.88,-0.83,-0.6,0.29,0.67,0.3,0.41,0.42,2.21,1.22,1.72,0.72,1.38,1.22,0.96,1.44,1.02,0.76,1.17,1.32,0.16,1.04,3.53,4.48,5.37,3.78,3.89,1.62,2.14,1.91,-0.33,0.1,0.69,-0.46,-0.05,0.39
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.63,0.18,-0.05,-0.67,-0.81,-0.7,-0.38,-0.18,0.62,0,0.24,0.23,0.41,0.71,0.92,0.46,1.95,1.55,1.63,1.07,1.24,1.15,0.81,0.75,0.44,0.65,-0.05,3.15,6.33,3.87,3.36,1.42,1.54,2.49,1.12,1.12,1.88,1.54,0.07,0.98
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
